"","other","acetobacteraceae","bradyrhizobiaceae","caulobacteraceae","comamonadaceae","hyphomicrobiaceae","mycobacteriaceae","oxalobacteraceae","rhodospirillaceae","sphingomonadaceae","xanthomonadaceae"
"X24_cp239",0.921278975102785,0.00225381723045287,0.00619233746558058,0.00276879027655098,0.0124382441623836,0.0219473771225804,0.00218123923610764,0.00231413755141644,0.00960753018598762,0.0120162514233889,0.00700130024276565
"X24_cp326",0.92096259000118,0.00217518609966719,0.00616135989858635,0.00272275969924612,0.0126788529506705,0.0220385164886937,0.00218431082249561,0.00231896383365419,0.00952853813804885,0.0122330503391884,0.00699587172856906
"X24_cp246",0.925129150556136,0.00602830142986662,0.00708246246211464,0.00439305472730014,0.00725468681942933,0.0194492566073225,0.00208609711038189,0.00217189886893879,0.0120267629216691,0.00726261401752115,0.00711571447931995
"X24_cp259",0.922983182177877,0.00280659407745636,0.00638078818609577,0.00307123651719268,0.0110453839155364,0.021339588402828,0.00216145157666455,0.00228352957692602,0.0101024360927704,0.0107946492410786,0.00703116023557427
"X24_cp236",0.925188643614564,0.0052639570961068,0.00695643251192704,0.00412369970498894,0.00782198214232676,0.019790106218066,0.00210036640154739,0.00219246598900072,0.011666009827282,0.00779201706263879,0.00710431943155206
"X24_cp325",0.925208804271441,0.00565595304706588,0.00701791032777359,0.00426551984154149,0.0075168456744083,0.0195673671328811,0.00209263724922817,0.00218134142365363,0.0118497008157717,0.00753505922799184,0.00710886098824332
"X24_cp310",0.924843545327283,0.00693036963377621,0.00721346666971024,0.00468867663356736,0.00671151347409268,0.0191107550905735,0.00207068264561726,0.00215015085315381,0.0124024267230831,0.00674845443692807,0.00712995851221511
"X24_cp311",0.924354805652442,0.00361341734675884,0.00660710420795664,0.00345858147639365,0.00962332864113848,0.0206971348703175,0.00213776351449819,0.00224762136992616,0.0107057254344626,0.00949113735902582,0.00706338012708041
"X24_cp303",0.921902575410504,0.00242324069610979,0.00625115488124922,0.00286588923089274,0.0119608569478145,0.0217145732730267,0.00217463610795883,0.00230390387893997,0.00976520151054751,0.011627602774553,0.00701036528840404
"X24_cp240",0.921996632726195,0.00245668059465426,0.00626787088155697,0.00288368473905107,0.0118720881314044,0.0217263991892345,0.00217367702872755,0.00230233060776537,0.00980156123579551,0.0115049627365755,0.00701411212903948
"X24_cp312",0.92487487962653,0.00420357275477909,0.00674451282143986,0.00371283963029995,0.00885664728742186,0.0203143099909913,0.00212297794162083,0.0022256167979617,0.0110812161296277,0.0087829704963126,0.00708045652301566
"X24_cp251",0.925206301665191,0.00568442437274943,0.00702257648914791,0.00427552636042944,0.00749591150948465,0.0195547741470224,0.00209210829550061,0.0021805793944889,0.0118630705193845,0.00751544657340193,0.00710928067319952
"X24_cp264",0.922597853297608,0.00265459127913873,0.00633147300311571,0.00299174898099389,0.011384384589813,0.0214816308850117,0.00216650118452262,0.00229129782050101,0.00997343697630881,0.0111036286622782,0.00702345332070865
"X24_cp245",0.924796134049476,0.00712324957524664,0.00723346897525834,0.00474944498189048,0.00660969625063129,0.0189902890753874,0.00206777793191088,0.00214587175601408,0.0124765669582827,0.00668160107373948,0.00712589937216303
"X24_cp243",0.923521315569973,0.00306950720102304,0.0064653272692313,0.00320252420223788,0.0105197237765472,0.0211570496877983,0.00215344374470041,0.00227122562945708,0.0103184035979391,0.0102766564014184,0.00704482291967397
