"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"CPER_001-M-22-32-20140812",0.83741429970617,0.110675808031342,0.00979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00783545543584721,0.000979431929480901,0.00881488736532811,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0107737512242899,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_001-M-30-37-20140812",0.78256611165524,0.107737512242899,0.00979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0127326150832517,0.000979431929480901,0.0117531831537708,0.000979431929480901,0.0519098922624878,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_001-M-7-0-20140812",0.924583741429971,0.0568070519098923,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_002-M-10-34-20140812",0.910871694417238,0.0558276199804114,0.0039177277179236,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.00881488736532811,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618
"CPER_002-M-25-6-20140812",0.767874632713026,0.140058765915769,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0039177277179236,0.000979431929480901,0.0039177277179236,0.000979431929480901,0.0156709108716944,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.0528893241919687
"CPER_002-M-9-4-20140812",0.781586679725759,0.0950048971596474,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0039177277179236,0.000979431929480901,0.0117531831537708,0.000979431929480901,0.0920666013712047,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_003-M-15-7-20140812",0.519098922624878,0.213516160626836,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0127326150832517,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0117531831537708,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0107737512242899,0.000979431929480901,0.21743388834476,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_003-M-33-11-20140812",0.857982370225269,0.0832517140058766,0.00979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0117531831537708,0.000979431929480901,0.0127326150832517,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00979431929480901,0.000979431929480901,0.000979431929480901
"CPER_003-M-4-7-20140812",0.800195886385896,0.0852105778648384,0.00587659157688541,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0107737512242899,0.000979431929480901,0.00881488736532811,0.000979431929480901,0.0352595494613124,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0029382957884427,0.000979431929480901,0.0381978452497551,0.000979431929480901,0.000979431929480901,0.000979431929480901
"CPER_004-M-0-30-20140812",0.841332027424094,0.131243878550441,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901
