"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"STER_027",0.204435056077778,0.239955421655556,0.0317849789188889,0.316531377616667,0.0220382974672222,0.185254864118889
"STER_028",0.157458215733333,0.415275222111111,0.0238846246693333,0.187082055022222,0.0175044478537778,0.198795442055556
"STER_029",0.171915691088889,0.447538288098889,0.0165226904104256,0.111907520705967,0.0331048462930033,0.219010967996111
"STER_031",0.442494033111111,0.184747016045822,0.0393017504811889,0.182209385596156,0.0346456953787211,0.116602120995803
"STER_033",0.0792881274,0.455942456333333,0.0225912515902222,0.171718703633333,0.0110541237444444,0.259405339011111
"STER_034",0.1273117137,0.255879580822222,0.0209971347724444,0.31807925423,0.0135448281148889,0.264187486366667
"STER_035",0.143710322733333,0.350476418333333,0.0359499652905556,0.170199264011111,0.0169164894046667,0.282747532655556
"TALL_001",0.405250729666667,0.187569575777778,0.3008055047,0.0345586004855556,0.0340816753533333,0.0377339126222222
"TALL_002",0.218411066333333,0.265425531,0.438564992666667,0.0331181544566667,0.0211311965255556,0.02334905896
"TALL_003",0.216334070666667,0.344680494666667,0.343051358333333,0.0437434281344444,0.0224888467366667,0.0297018055766667
"TALL_004",0.195263807666667,0.170283326088889,0.568366725555556,0.0252532718688889,0.0207457485311111,0.0200871267255556
"TALL_006",0.140021278555556,0.280627724,0.525490386888889,0.0225094541066667,0.0154210575811111,0.0159300965054444
"TALL_007",0.106425572755556,0.206632781522222,0.646741180666667,0.0140978089385556,0.013279554642,0.0128231051767778
"TALL_009",0.0784310607888889,0.311077159888889,0.577939176,0.0122393192178889,0.00962777765411111,0.0106854995862222
"TALL_044",0.139183865955556,0.331979416522222,0.469227051744444,0.0304845977914,0.0144393931442556,0.0146856756315556
"TALL_051",0.0535822766222222,0.04108557078,0.881956863777778,0.00882827855711111,0.00724691700587778,0.00730009253573333
"TALL_054",0.120924699922222,0.0901966334088889,0.74610964,0.0157647620588889,0.0130038362991667,0.0140004297387778
"UNDE_001",0.285546196911111,0.553431117922222,0.0623928904222222,0.0363189867416667,0.032979171129,0.0293316329227778
"UNDE_006",0.186906545144444,0.671550179222222,0.0719394683966667,0.0192669013227778,0.0271647887356667,0.0231721118296667
"UNDE_007",0.185949937933333,0.651687889077778,0.0899062476045556,0.0219977336768333,0.0247138402953333,0.0257443553952222
"UNDE_008",0.195824319855556,0.216818620111111,0.498151560333333,0.0290130207244444,0.0283500427586667,0.0318424361144444
"UNDE_013",0.332239766777778,0.207564410088889,0.336967886255556,0.0446500299555556,0.0448717380133333,0.0337061702948889
"UNDE_014",0.384575756444444,0.409948429366667,0.0570161457118889,0.054816347715,0.0464923042828889,0.0471510160814556
