"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"STER_006-M-7-5-20140722",0.849409448818898,0.125,0.0127952755905512,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_006-M-9-17-20140722",0.808070866141732,0.166338582677165,0.0078740157480315,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00590551181102362,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_007-M-17-3-20140724",0.631889763779528,0.311023622047244,0.0403543307086614,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_018-M-15-7-20140820",0.922244094488189,0.0561023622047244,0.00885826771653543,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_018-M-4-7-20140820",0.786417322834646,0.179133858267717,0.0216535433070866,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_026-M-10-34-20140820",0.857283464566929,0.123031496062992,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00393700787401575,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_026-M-11-0-20140722",0.984251968503937,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_026-M-27-36-20140722",0.901574803149606,0.0807086614173228,0.00492125984251968,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_026-M-9-4-20140820",0.915354330708661,0.0639763779527559,0.0078740157480315,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_027-M-3-26-20140723",0.882874015748031,0.0875984251968504,0.0167322834645669,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_027-M-33-0-20140723",0.87992125984252,0.0856299212598425,0.0216535433070866,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_028-M-20-40-20140722",0.850393700787402,0.135826771653543,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_028-M-21-38-20140722",0.84251968503937,0.133858267716535,0.0108267716535433,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_028-M-33-4-20140722",0.867125984251969,0.107283464566929,0.0118110236220472,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00196850393700787,0.000984251968503937,0.000984251968503937,0.000984251968503937
"STER_029-M-33-2-20140724",0.818897637795276,0.141732283464567,0.0265748031496063,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937
