"","other","Mortierellomycetes","Tremellomycetes","Umbelopsidomycetes","Agaricomycetes","Sordariomycetes","Eurotiomycetes","Leotiomycetes","Pezizomycetes","Dothideomycetes"
"ORNL_029-O-9-2-20140714",0.29009900990099,0.0900990099009901,0.00099009900990099,0.00099009900990099,0.5,0.0762376237623762,0.00099009900990099,0.0267326732673267,0.00594059405940594,0.00792079207920792
"ORNL_031-O-11-3-20140714",0.306930693069307,0.0673267326732673,0.00099009900990099,0.00099009900990099,0.313861386138614,0.28019801980198,0.00396039603960396,0.0099009900990099,0.00099009900990099,0.0148514851485149
"ORNL_037-O-4-23-20140715",0.0554455445544554,0.00396039603960396,0.00099009900990099,0.0099009900990099,0.874257425742574,0.00594059405940594,0.00198019801980198,0.0415841584158416,0.00297029702970297,0.00297029702970297
"ORNL_043-O-2-27-20140715",0.00792079207920792,0.0099009900990099,0.00099009900990099,0.0485148514851485,0.927722772277228,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.00099009900990099
"OSBS_001-M-17-34-20140701",0.194059405940594,0.21980198019802,0.00099009900990099,0.0257425742574257,0.403960396039604,0.0524752475247525,0.0178217821782178,0.0831683168316832,0.00099009900990099,0.00099009900990099
"OSBS_001-M-17-34-20140818",0.0851485148514852,0.121782178217822,0.00099009900990099,0.0099009900990099,0.599009900990099,0.0722772277227723,0.0405940594059406,0.0633663366336634,0.00099009900990099,0.00594059405940594
"OSBS_001-M-26-3-20140701",0.464356435643564,0.221782178217822,0.00099009900990099,0.00891089108910891,0.271287128712871,0.0108910891089109,0.00495049504950495,0.0099009900990099,0.00099009900990099,0.00594059405940594
"OSBS_001-M-26-3-20140818",0.0198019801980198,0.0940594059405941,0.00099009900990099,0.00099009900990099,0.711881188118812,0.128712871287129,0.0178217821782178,0.0178217821782178,0.00099009900990099,0.00693069306930693
"OSBS_001-M-29-2-20140701",0.0584158415841584,0.127722772277228,0.00099009900990099,0.00099009900990099,0.765346534653465,0.0207920792079208,0.0168316831683168,0.00693069306930693,0.00099009900990099,0.00099009900990099
"OSBS_001-M-29-2-20140818",0.0782178217821782,0.16039603960396,0.00099009900990099,0.00297029702970297,0.633663366336634,0.103960396039604,0.00792079207920792,0.00396039603960396,0.00099009900990099,0.00693069306930693
"OSBS_002-M-12-7-20140701",0.0217821782178218,0.00099009900990099,0.00099009900990099,0.0722772277227723,0.848514851485148,0.0217821782178218,0.00891089108910891,0.0158415841584158,0.00693069306930693,0.00198019801980198
"OSBS_002-M-12-7-20140818",0.0475247524752475,0.00594059405940594,0.00099009900990099,0.0445544554455446,0.795049504950495,0.0356435643564356,0.00099009900990099,0.00693069306930693,0.0584158415841584,0.00396039603960396
"OSBS_002-M-35-24-20140701",0.29009900990099,0.00099009900990099,0.00099009900990099,0.101980198019802,0.385148514851485,0.0415841584158416,0.0257425742574257,0.10990099009901,0.00495049504950495,0.0386138613861386
"OSBS_002-M-35-24-20140818",0.0900990099009901,0.00099009900990099,0.00099009900990099,0.0297029702970297,0.632673267326733,0.11980198019802,0.00693069306930693,0.0465346534653465,0.0702970297029703,0.00198019801980198
"OSBS_002-M-5-26-20140701",0.0693069306930693,0.00099009900990099,0.00099009900990099,0.00891089108910891,0.903960396039604,0.00198019801980198,0.00297029702970297,0.00891089108910891,0.00099009900990099,0.00099009900990099
"OSBS_003-M-17-9-20140701",0.0128712871287129,0.0148514851485149,0.00099009900990099,0.0138613861386139,0.927722772277228,0.0158415841584158,0.00891089108910891,0.00297029702970297,0.00099009900990099,0.00099009900990099
"OSBS_003-M-17-9-20140818",0.0168316831683168,0.00297029702970297,0.00099009900990099,0.0168316831683168,0.927722772277228,0.00891089108910891,0.00891089108910891,0.0138613861386139,0.00099009900990099,0.00198019801980198
"OSBS_003-M-9-11-20140818",0.0376237623762376,0.00693069306930693,0.00099009900990099,0.0217821782178218,0.817821782178218,0.0386138613861386,0.0673267326732673,0.00495049504950495,0.00099009900990099,0.00297029702970297
"OSBS_022-M-15-33-20140701",0.95049504950495,0.00099009900990099,0.00099009900990099,0.00099009900990099,0.0108910891089109,0.0247524752475248,0.00099009900990099,0.00693069306930693,0.00099009900990099,0.00198019801980198
