"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"CPER_004-M-16-7-20140812",0.746520874751491,0.135188866799205,0.00099403578528827,0.0864811133200795,0.00099403578528827,0.0298210735586481
"CPER_004-M-23-38-20140812",0.418489065606362,0.414512922465209,0.0238568588469185,0.0884691848906561,0.00198807157057654,0.0526838966202783
"CPER_007-M-3-37-20140717",0.211729622266402,0.547713717693837,0.0159045725646123,0.101391650099404,0.0099403578528827,0.113320079522863
"CPER_047-M-33-17-20140717",0.234592445328032,0.567594433399602,0.00397614314115308,0.129224652087475,0.00795228628230616,0.0566600397614314
"DSNY_001-M-1-6-20140813",0.0516898608349901,0.0506958250497018,0.891650099403579,0.00397614314115308,0.00099403578528827,0.00099403578528827
"DSNY_001-M-17-9-20140701",0.327037773359841,0.0854870775347912,0.538767395626243,0.00596421471172962,0.00099403578528827,0.0417495029821074
"DSNY_001-M-22-32-20140909",0.218687872763419,0.369781312127237,0.156063618290258,0.164015904572565,0.00099403578528827,0.0904572564612326
"DSNY_001-M-29-37-20140701",0.620278330019881,0.0487077534791252,0.324055666003976,0.00099403578528827,0.00099403578528827,0.00497017892644135
"DSNY_001-M-7-0-20140909",0.0298210735586481,0.0099403578528827,0.957256461232604,0.00099403578528827,0.00099403578528827,0.00099403578528827
"DSNY_001-M-7-5-20140813",0.486083499005964,0.166998011928429,0.325049701789264,0.0129224652087475,0.00099403578528827,0.00795228628230616
"DSNY_001-M-9-11-20140701",0.394632206759443,0.203777335984095,0.265407554671968,0.0308151093439364,0.00099403578528827,0.104373757455268
"DSNY_002-M-10-34-20140910",0.52882703777336,0.0914512922465209,0.375745526838966,0.00198807157057654,0.00099403578528827,0.00099403578528827
"DSNY_002-M-11-0-20140813",0.936381709741551,0.0457256461232604,0.0149105367793241,0.00099403578528827,0.00099403578528827,0.00099403578528827
"DSNY_002-M-25-6-20140910",0.633200795228628,0.0636182902584493,0.275347912524851,0.0119284294234592,0.00099403578528827,0.0149105367793241
"DSNY_002-M-30-5-20140813",0.957256461232604,0.0318091451292246,0.00795228628230616,0.00099403578528827,0.00099403578528827,0.00099403578528827
"DSNY_002-M-9-4-20140910",0.976143141153082,0.0198807157057654,0.00099403578528827,0.00099403578528827,0.00099403578528827,0.00099403578528827
