"","other","Mortierella","Solicoccozyma","Saitozyma","Umbelopsis","Russula","Trichoderma","Penicillium","Cortinarius","Inocybe","Sebacina","Lactarius","Cladophialophora","Tomentella","Mycena","Cenococcum"
"DSNY_002",0.818899563333333,0.0185382654633333,0.0113930260154444,0.0113873137066667,0.0114817700787778,0.0125367623577778,0.0126888390644444,0.0115239258622222,0.0114330686244444,0.0113452683044444,0.0114189545155556,0.0114319754277778,0.0115381910288889,0.0113877876033333,0.0114703599266667,0.0115249298125556
"DSNY_003",0.805623243,0.0172624499017778,0.0112468972896667,0.0111870417335556,0.0111666441212222,0.0270568743788889,0.0133642497841111,0.011166267968,0.0111047877592222,0.0111703677857778,0.0110672023397778,0.011216274416,0.0113308767695556,0.0136313940458889,0.0112206580964444,0.011184775043
"DSNY_004",0.829296641333333,0.0161582669947389,0.0108633455859916,0.01083162660853,0.0111131908051956,0.0108123093169,0.0110692224247957,0.0111753631205244,0.0113719259147289,0.0109779134167156,0.0110635131824357,0.0110915609878238,0.0112017259595333,0.0110914439989156,0.0110254141201278,0.0108565343248711
"DSNY_009",0.817927294444444,0.0119668557766667,0.01140817813,0.0114888780111111,0.0113760897977778,0.0122608075444444,0.0202683274133333,0.0114253240318889,0.0115432854988889,0.0114329252511111,0.0114789069011111,0.0114568134277778,0.0115510918388889,0.0114549127166667,0.0114692083144444,0.0114911074088889
"DSNY_016",0.816488749111111,0.01238472031,0.0114096857711111,0.0114856667722222,0.0114514992922222,0.0113332172333333,0.0226981658822222,0.0114281167066667,0.0113987323244444,0.0114314496255556,0.0114956773444444,0.0114001369933333,0.0113817141453333,0.01142184936,0.0115115643844444,0.01127905255
"DSNY_043",0.829821283,0.0112834621748889,0.0113584400562222,0.0113474814948889,0.0114308086205222,0.0113699387363333,0.0113424845185667,0.0113839463216667,0.0114328212336667,0.0112787454004444,0.0111075394292444,0.0112863268576444,0.0114909691607778,0.0114774062069222,0.0113335651496667,0.0112547756800889
"HARV_001",0.653286831888889,0.0209407879877778,0.00967286357222222,0.00970331171222222,0.0265065048477778,0.143428302777778,0.0105087998711111,0.00968731665222222,0.0212971208477778,0.0198472567622222,0.0164320686566667,0.0154201208333333,0.0103067225177778,0.0133811473233333,0.00983514247,0.00974569595666667
"HARV_002",0.681199931444444,0.029795163428,0.0107685695201889,0.00984778768354445,0.0443495821507778,0.0308475177482222,0.00982171672834444,0.00978098459043333,0.0515785814233333,0.0131820058031111,0.0282266813085556,0.0361869146193333,0.00974043178444444,0.0149634332623333,0.00986266942995555,0.00984802828413333
"HARV_004",0.680339636333333,0.0415135873333333,0.0122052148022222,0.0100913440366667,0.0142967053055556,0.0914080966777778,0.0171910835077778,0.0100095286833333,0.0208091163555556,0.0167709113577778,0.0211335292555556,0.0175569725955556,0.01007268593,0.01501004721,0.0100106160411111,0.0115809223955556
"HARV_010",0.610944986888889,0.0347304537022222,0.00918770970322222,0.00923390776533333,0.0295252535244444,0.125973539333333,0.01340220281,0.00929909826988889,0.0821587215333333,0.01451958393,0.0120776833944444,0.00935280919933333,0.00919717209622222,0.0120179692555556,0.00917132649177778,0.00920757742622222
"HARV_013",0.698179679777778,0.0380795917933333,0.0101648720566667,0.0101730451466667,0.0138276106088889,0.0506767804111111,0.0186546909366667,0.0102224038,0.0101851800233333,0.0443206769466667,0.0378411257255556,0.0140189968722222,0.01071087998,0.0126106572655556,0.0101785388255556,0.0101552678611111
"HARV_016",0.743933294,0.0248682875822222,0.0111413062542222,0.010663547517,0.0139702439736667,0.0472276840133333,0.010677002847,0.010538134811,0.0117729996385556,0.0245811758601111,0.0133514451433333,0.0309127658284444,0.0106377896032222,0.013137116623,0.0105966969718889,0.0119905135384444
