"","other","acidimicrobiales","bacillales","burkholderiales","caulobacterales","myxococcales","rhizobiales","rhodospirillales","solirubrobacterales","sphingomonadales","xanthomonadales"
"X30_102",0.780969549584798,0.0238617819200713,0.00367661963509501,0.00952856811157957,0.00240447318271972,0.0194508508673991,0.0424372667972684,0.0149564427720903,0.0571093594811164,0.0346348071537411,0.0109702804941211
"X30_84",0.74848163291057,0.0299692752207838,0.00511865699833729,0.00639053346674584,0.00198029937268409,0.0160586793147268,0.0583832408304632,0.0214879868901425,0.0763630320834917,0.0255593861062352,0.0102072768058195
"NA.155",0.843462366389549,0.0077792309976247,0.00202957244655582,0.0162787262470309,0.00602933491686461,0.0237782808788599,0.0382774198337292,0.010529067695962,0.0192785480997625,0.0190285629453682,0.0135288895486936
"NA.156",0.832213034441805,0.00527937945368171,0.00177958729216152,0.0215284144893112,0.00252954275534442,0.0312778355106888,0.0237782808788599,0.0110290380047506,0.00427943883610451,0.0145288301662708,0.0517766181710214
"NA.157",0.885709857482185,0.0072792606888361,0.00227955760095012,0.0102790825415677,0.00127961698337292,0.0275280581947743,0.0172786668646081,0.0125289489311164,0.0122789637767221,0.0112790231591449,0.0122789637767221
"NA.158",0.81971377672209,0.00652930522565321,0.00477940914489311,0.0177786371733967,0.00227955760095012,0.0267781027315914,0.0275280581947743,0.0170286817102138,0.010529067695962,0.0147788153206651,0.05227658847981
"NA.159",0.853211787410926,0.0072792606888361,0.00252954275534442,0.0112790231591449,0.00152960213776722,0.034777627672209,0.0242782511876485,0.0110290380047506,0.00352948337292162,0.0110290380047506,0.0395273456057007
"NA.160",0.84471229216152,0.00377946852731591,0.00177958729216152,0.0212784293349169,0.00252954275534442,0.044777033847981,0.0210284441805226,0.0085291864608076,0.0097791122327791,0.0277780433491686,0.0140288598574822
"X30_118",0.754419041311936,0.0253040672685867,0.00359180167209026,0.00757796095023753,0.00308293189180523,0.012750633766152,0.0683072534835511,0.0193673948235154,0.0679660717449525,0.0328538879153207,0.00477895517185273
"X30_96",0.739149982079513,0.0276793412106888,0.00511868199685273,0.00749341597102138,0.000792970883313539,0.0123269019298694,0.0752621354612827,0.0295456763766033,0.0650828919653207,0.0303940659941805,0.00715393613135392
"X30_114",0.755692746671734,0.0264914187565914,0.00257403811294537,0.00783237084186461,0.00198032437119952,0.0155496355447743,0.0557533770074228,0.0168227509396081,0.0856924440475059,0.0258140479828979,0.00579684572345606
"X30_90",0.764340853095725,0.0280184480725059,0.00231972721543943,0.0105468286412114,0.000708050926365796,0.0143624560465558,0.0658477035462589,0.0198760866143705,0.0459986812992874,0.0420146048974466,0.00596655964483373
"X30_120",0.760441878640024,0.0296296983868765,0.00079292088628266,0.0121578099715558,0.00376156559049881,0.0180090654891924,0.0492225058494062,0.0176709505684679,0.0645740741819477,0.0353134168538599,0.00842611358188836
"X30_86",0.761457424330879,0.0292907955129454,0.00198042236538005,0.00825649265498812,0.00214998829554632,0.0148709778475059,0.0667809251260095,0.0179256804410926,0.0551591502961401,0.0350590269610451,0.00706911616846793
"NA.167",0.806214578384798,0.00252954275534442,0.00602933491686461,0.0317778058194774,0.0077792309976247,0.0200285035629454,0.0517766181710214,0.0242782511876485,0.00477940914489311,0.00202957244655582,0.0427771526128266
"NA.168",0.734718824228028,0.00277952790973872,0.000529661520190024,0.0267781027315914,0.008029216152019,0.0247782214964371,0.0545264548693587,0.0340276722090261,0.0092791419239905,0.00152960213776722,0.103023574821853
"NA.169",0.794465276128266,0.00202957244655582,0.0147788153206651,0.0307778652019002,0.008029216152019,0.0170286817102138,0.0395273456057007,0.0142788450118765,0.0082792013064133,0.00552936460807601,0.0652758165083135
"NA.170",0.852711817102138,0.00477940914489311,0.00452942399049881,0.0352775979809976,0.00652930522565321,0.0115290083135392,0.0270280878859857,0.0120289786223278,0.010529067695962,0.00652930522565321,0.0285279988123515
"NA.171",0.836212796912114,0.0087791716152019,0.00377946852731591,0.0132789043942993,0.00352948337292162,0.0295279394299287,0.0315278206650831,0.0185285926365796,0.0147788153206651,0.00177958729216152,0.0382774198337292
"NA.172",0.791965424584323,0.00452942399049881,0.00177958729216152,0.0160287410926366,0.00652930522565321,0.0257781621140142,0.0602761134204276,0.023028325415677,0.0157787559382423,0.00252954275534442,0.0517766181710214
"NA.173",0.798115285652777,0.010639402444038,0.0314082575072888,0.0128429072567766,0.00358818704330348,0.00759725027720694,0.048786346209469,0.00918245821711229,0.0255081267102419,0.0382818769977547,0.0140499016840312
"NA.174",0.817138200535789,0.0115300780296771,0.0434489061963664,0.0102539254454051,0.00364795912681128,0.00693592872629696,0.0326991973687919,0.00713861178378969,0.0287506311374604,0.0257178920548336,0.0127386695947782
"NA.175",0.827270887869444,0.0140268861343205,0.0192172783614228,0.0104104756656138,0.00358988804587995,0.00805574898737351,0.0372118872739327,0.0101106696163934,0.0324212364458043,0.0288735315300361,0.00881151006977886
"NA.176",0.850982059061371,0.0118323044133185,0.0237699589562103,0.00803764273168761,0.0031288899869616,0.00670073345596088,0.0278887198562039,0.00517476630285956,0.0286989679021032,0.0234593638719578,0.0103265934613659
"X30_88",0.763579368317221,0.023692785956057,0.0018955534054038,0.00562715480071259,0.00121696970374109,0.0150407667644299,0.0722932877691211,0.0178406354915677,0.058975665648753,0.0292912834839667,0.0105465286590261
"X30_100",0.780117751169656,0.0171620087924584,0.00503364004714964,0.0103770157257126,0.00121704469928741,0.0135991273775534,0.0717844759853919,0.0254743211578979,0.0404008237333729,0.0300547611441211,0.00477903016739905
"X30_110",0.732280664020487,0.0324292751313539,0.00181073344251781,0.0154658045231591,0.0065605193719715,0.0156345805002375,0.0416741641148456,0.0214880658854513,0.0825552043554632,0.0398087168961995,0.0102922717583135
"X24_cp14",0.815064052850356,0.0104290736342043,0.0168786906175772,0.010354078087886,0.00152960213776722,0.0453769982185273,0.0320527894893112,0.012503950415677,0.00715426811163896,0.00782922802850356,0.0408272684085511
"X24_cp15",0.807289514548694,0.0129039266627078,0.0374274703087886,0.0152037900831354,0.00255454127078385,0.0174536564726841,0.0342276603325416,0.0155787678147268,0.0254781799287411,0.00725426217339667,0.0246282304038005
"X24_cp13",0.837412725653207,0.00997910035629454,0.0112540246437055,0.00352948337292162,0.00322950118764846,0.0199035109857482,0.0344776454869359,0.0271780789786223,0.0229783283847981,0.00450442547505938,0.0255531754750594
"X24_cp17",0.788015659144893,0.00437943289786223,0.0187035822446556,0.0249282125890736,0.00407945071258907,0.0700505329572447,0.0386523975653207,0.0133538999406176,0.0019295783847981,0.00917914786223278,0.0267281057007126
"X24_cp12",0.819338798990499,0.0114790112826603,0.0299529141923991,0.0108540483966746,0.00110462737529691,0.036577520783848,0.0330527301068884,0.00672929334916865,0.0130039207244656,0.0113040216745843,0.0266031131235154
"X24_cp16",0.793915308788599,0.0270780849168646,0.00437943289786223,0.0175536505344418,0.00197957541567696,0.0457769744655582,0.0276280522565321,0.0101540899643705,0.0229283313539192,0.0136038850950119,0.0350026143111639
"X24_cp11",0.827863292755344,0.00855418497624703,0.0170286817102138,0.0135038910332542,0.00202957244655582,0.0463269418052257,0.0346776336104513,0.00917914786223278,0.01105403652019,0.00992910332541568,0.0198535139548694
"X24_cp9",0.77589137915677,0.0117289964370546,0.00962912114014252,0.0203034872327791,0.00712926959619953,0.026753104216152,0.0511016582541568,0.0280280285035629,0.0118789875296912,0.0155537692992874,0.0420021986342043
"X24_cp19",0.854611704275534,0.00880417013064133,0.0243032497030879,0.0095291270783848,0.000679652612826603,0.0333777108076009,0.0259281532066508,0.0075292458432304,0.00695427998812352,0.00705427404988124,0.021228432304038
"X24_cp18",0.841787465855107,0.010354078087886,0.0218533951900238,0.00850418794536817,0.00190457986935867,0.0261281413301663,0.0273780671021378,0.0108540483966746,0.0299279156769596,0.0131039147862233,0.00820420576009501
"X24_cp26",0.832063043349169,0.0082792013064133,0.00367947446555819,0.0142038494655582,0.00507939133016627,0.0255531754750594,0.0392773604513064,0.0271280819477435,0.00905415528503563,0.00557936163895487,0.0301029052850356
"X24_cp47",0.801614851543943,0.00885416716152019,0.0218533951900238,0.0148288123515439,0.00265453533254157,0.0657257897862233,0.0225783521377672,0.0113790172209026,0.0051043898456057,0.0105040691805226,0.0349026202494062
