"";"other";"lignolytic"
"HARV_001-M-7-0-20140715";0.998200719712115;0.00179928028788485
"HARV_001-O-14-7-20140812";0.997201119552179;0.00279888044782087
"HARV_001-O-15-1-20140812";0.996201519392243;0.0037984806077569
"HARV_002-M-24-40-20140716";0.999400239904038;0.000599760095961615
"HARV_002-O-24-40-20140716";0.997600959616154;0.00239904038384646
"HARV_002-O-33-2-20140716";0.997600959616154;0.00239904038384646
"HARV_002-O-4-9-20140716";0.99860055977609;0.00139944022391044
"HARV_004-M-10-34-20140715";0.999000399840064;0.000999600159936026
"HARV_004-M-19-1-20140812";0.999600159936026;0.00039984006397441
"HARV_004-M-25-6-20140715";0.995801679328269;0.00419832067173131
"HARV_004-M-3-28-20140812";0.995801679328269;0.00419832067173131
"HARV_004-M-9-34-20140812";0.995401839264294;0.00459816073570572
"HARV_004-M-9-4-20140715";0.988004798080768;0.0119952019192323
"HARV_004-O-10-34-20140715";0.995201919232307;0.00479808076769292
"HARV_004-O-19-1-20140812";0.998400639744102;0.00159936025589764
"HARV_004-O-25-6-20140715";0.995401839264294;0.00459816073570572
"HARV_004-O-3-28-20140812";0.973010795681727;0.0269892043182727
"HARV_004-O-9-34-20140812";0.98640543782487;0.0135945621751299
"HARV_010-M-2-0-20140715";0.999400239904038;0.000599760095961615
"HARV_010-M-39-30-20140715";0.999000399840064;0.000999600159936026
"HARV_010-M-8-11-20140715";0.998800479808077;0.00119952019192323
"HARV_010-O-2-0-20140715";0.99640143942423;0.00359856057576969
"HARV_010-O-39-30-20140715";0.993802479008397;0.00619752099160336
"HARV_010-O-8-11-20140715";0.991003598560576;0.00899640143942423
"HARV_013-M-0-13-20140812";0.99640143942423;0.00359856057576969
"HARV_013-M-14-6-20140812";0.999800079968013;0.000199920031987205
"HARV_013-M-15-7-20140717";0.989004398240704;0.0109956017592963
"HARV_013-M-28-3-20140812";0.999600159936026;0.00039984006397441
"HARV_013-M-4-7-20140717";0.998200719712115;0.00179928028788485
"HARV_013-O-0-13-20140812";0.999000399840064;0.000999600159936026
"HARV_013-O-14-6-20140812";0.990603758496601;0.00939624150339864
"HARV_013-O-15-7-20140717";0.999000399840064;0.000999600159936026
"HARV_013-O-28-3-20140812";0.999600159936026;0.00039984006397441
"HARV_013-O-33-11-20140716";0.997800879648141;0.00219912035185926
"HARV_016-M-0-30-20140715";0.999400239904038;0.000599760095961615
"HARV_016-M-16-7-20140715";0.99860055977609;0.00139944022391044
"HARV_016-O-0-30-20140715";0.996601359456218;0.00339864054378249
