"";"other";"nitrification"
"DSNY_009-M-29-2-20140701";0.999800079968013;0.000199920031987205
"DSNY_009-M-33-11-20140910";0.999000399840064;0.000999600159936026
"DSNY_009-M-8-11-20140813";0.999400239904038;0.000599760095961615
"DSNY_016-M-0-30-20140910";0.999400239904038;0.000599760095961615
"DSNY_016-M-12-7-20140701";0.998400639744102;0.00159936025589764
"DSNY_016-M-16-7-20140910";0.999800079968013;0.000199920031987205
"DSNY_016-M-3-37-20140813";0.999000399840064;0.000999600159936026
"DSNY_016-M-35-24-20140701";0.991803278688525;0.00819672131147541
"DSNY_016-M-36-16-20140813";0.996801279488205;0.00319872051179528
"DSNY_016-M-5-26-20140701";0.998200719712115;0.00179928028788485
"DSNY_016-M-6-12-20140813";0.995401839264294;0.00459816073570572
"DSNY_043-M-18-37-20140814";0.997001199520192;0.00299880047980808
"DSNY_043-M-2-27-20140814";0.999200319872051;0.00079968012794882
"DSNY_043-M-33-17-20140814";0.99640143942423;0.00359856057576969
"HARV_001-M-14-7-20140812";0.997001199520192;0.00299880047980808
"HARV_001-M-15-1-20140812";0.997001199520192;0.00299880047980808
"HARV_001-M-30-37-20140715";0.999800079968013;0.000199920031987205
"HARV_001-M-39-16-20140812";0.995201919232307;0.00479808076769292
"HARV_001-M-7-0-20140715";0.994202319072371;0.00579768092762895
"HARV_001-O-14-7-20140812";0.99500199920032;0.00499800079968013
"HARV_001-O-15-1-20140812";0.995401839264294;0.00459816073570572
"HARV_002-M-24-40-20140716";0.997201119552179;0.00279888044782087
"HARV_002-O-24-40-20140716";0.992003198720512;0.0079968012794882
"HARV_002-O-33-2-20140716";0.995201919232307;0.00479808076769292
"HARV_002-O-4-9-20140716";0.996001599360256;0.0039984006397441
"HARV_004-M-10-34-20140715";0.995601759296281;0.00439824070371851
"HARV_004-M-19-1-20140812";0.994202319072371;0.00579768092762895
"HARV_004-M-25-6-20140715";0.992602958816473;0.00739704118352659
"HARV_004-M-3-28-20140812";0.99500199920032;0.00499800079968013
"HARV_004-M-9-34-20140812";0.998800479808077;0.00119952019192323
"HARV_004-M-9-4-20140715";0.995401839264294;0.00459816073570572
"HARV_004-O-10-34-20140715";0.996001599360256;0.0039984006397441
"HARV_004-O-19-1-20140812";0.999200319872051;0.00079968012794882
"HARV_004-O-25-6-20140715";0.995801679328269;0.00419832067173131
"HARV_004-O-3-28-20140812";0.995801679328269;0.00419832067173131
"HARV_004-O-9-34-20140812";0.995201919232307;0.00479808076769292
"HARV_010-M-2-0-20140715";0.994802079168333;0.00519792083166733
"HARV_010-M-39-30-20140715";0.998200719712115;0.00179928028788485
"HARV_010-M-8-11-20140715";0.998000799680128;0.00199920031987205
"HARV_010-O-2-0-20140715";0.984806077568972;0.0151939224310276
"HARV_010-O-39-30-20140715";0.99640143942423;0.00359856057576969
"HARV_010-O-8-11-20140715";0.996201519392243;0.0037984806077569
"HARV_013-M-0-13-20140812";0.997401039584166;0.00259896041583367
"HARV_013-M-14-6-20140812";0.996801279488205;0.00319872051179528
"HARV_013-M-15-7-20140717";0.993202718912435;0.00679728108756497
"HARV_013-M-28-3-20140812";0.997800879648141;0.00219912035185926
"HARV_013-M-4-7-20140717";0.99640143942423;0.00359856057576969
"HARV_013-O-0-13-20140812";0.998000799680128;0.00199920031987205
"HARV_013-O-14-6-20140812";0.998800479808077;0.00119952019192323
"HARV_013-O-15-7-20140717";0.999800079968013;0.000199920031987205
"HARV_013-O-28-3-20140812";0.99860055977609;0.00139944022391044
"HARV_013-O-33-11-20140716";0.998400639744102;0.00159936025589764
"HARV_016-M-0-30-20140715";0.987604958016793;0.0123950419832067
"HARV_016-M-16-7-20140715";0.999400239904038;0.000599760095961615
