"";"other";"dissim_nitrate_reduction"
"JERC_003-M-33-0-20140805";0.914034386245502;0.0859656137544982
"JERC_005-M-24-40-20140805";0.944422231107557;0.055577768892443
"JERC_005-M-33-2-20140805";0.952419032387045;0.0475809676129548
"JERC_005-M-4-9-20140805";0.931227508996401;0.0687724910035986
"JERC_006-M-15-33-20140710";0.933626549380248;0.0663734506197521
"JERC_006-M-2-0-20140805";0.909436225509796;0.0905637744902039
"JERC_006-M-21-39-20140710";0.961815273890444;0.0381847261095562
"JERC_006-M-2-33-20140710";0.949020391843263;0.0509796081567373
"JERC_006-M-39-30-20140805";0.950019992003199;0.0499800079968013
"JERC_006-M-8-11-20140805";0.936425429828069;0.0635745701719312
"JERC_008-M-23-30-20140805";0.931827269092363;0.0681727309076369
"JERC_008-M-33-4-20140805";0.946621351459416;0.0533786485405838
"JERC_047-M-3-32-20140805";0.944822071171531;0.0551779288284686
"JERC_047-M-36-16-20140805";0.951219512195122;0.0487804878048781
"JERC_047-M-6-12-20140805";0.9234306277489;0.0765693722510996
"JERC_048-M-19-30-20140805";0.946021591363455;0.0539784086365454
"JERC_048-M-27-8-20140805";0.956017592962815;0.0439824070371851
"JERC_048-M-31-3-20140805";0.964414234306277;0.0355857656937225
"JERC_049-M-18-17-20140805";0.95061975209916;0.0493802479008397
"JERC_049-M-2-27-20140805";0.931827269092363;0.0681727309076369
"ORNL_001-O-17-34-20140715";0.931627349060376;0.0683726509396241
"ORNL_002-O-5-26-20140714";0.939424230307877;0.0605757696921232
"ORNL_003-O-9-11-20140714";0.876049580167933;0.123950419832067
"ORNL_021-O-15-33-20140714";0.928428628548581;0.0715713714514194
"ORNL_027-O-2-33-20140715";0.928228708516593;0.0717712914834066
"ORNL_029-O-9-2-20140714";0.964014394242303;0.0359856057576969
"ORNL_031-O-11-3-20140714";0.92063174730108;0.0793682526989204
"ORNL_037-O-4-23-20140715";0.926029588164734;0.0739704118352659
"ORNL_043-O-2-27-20140715";0.897041183526589;0.102958816473411
"OSBS_001-M-17-34-20140701";0.952419032387045;0.0475809676129548
"OSBS_001-M-17-34-20140818";0.940223910435826;0.0597760895641743
"OSBS_001-M-26-3-20140701";0.94922031187525;0.0507796881247501
"OSBS_001-M-26-3-20140818";0.932427029188325;0.0675729708116753
"OSBS_001-M-29-2-20140701";0.950019992003199;0.0499800079968013
"OSBS_001-M-29-2-20140818";0.94922031187525;0.0507796881247501
"OSBS_002-M-12-7-20140701";0.948220711715314;0.0517792882846861
"OSBS_002-M-12-7-20140818";0.949420231907237;0.0505797680927629
"OSBS_002-M-35-24-20140701";0.911635345861655;0.0883646541383447
"OSBS_002-M-35-24-20140818";0.95921631347461;0.0407836865253898
"OSBS_002-M-5-26-20140701";0.93922431027589;0.0607756897241104
"OSBS_003-M-17-9-20140701";0.947021191523391;0.0529788084766094
"OSBS_003-M-17-9-20140818";0.940023990403838;0.0599760095961615
"OSBS_003-M-29-37-20140701";0.942023190723711;0.0579768092762895
"OSBS_003-M-29-37-20140818";0.952019192323071;0.0479808076769292
"OSBS_003-M-9-11-20140701";0.933426629348261;0.0665733706517393
"OSBS_003-M-9-11-20140818";0.937624950019992;0.062375049980008
"OSBS_022-M-15-33-20140701";0.975809676129548;0.0241903238704518
"OSBS_022-M-21-39-20140701";0.971811275489804;0.0281887245101959
"OSBS_022-M-2-33-20140701";0.960415833666533;0.0395841663334666
"SCBI_002-M-1-6-20140715";0.93922431027589;0.0607756897241104
"SCBI_002-M-26-3-20140618";0.93922431027589;0.0607756897241104
"SCBI_002-M-7-5-20140715";0.936425429828069;0.0635745701719312
"SCBI_002-M-9-17-20140715";0.931427429028389;0.0685725709716114
"SCBI_003-M-11-0-20140715";0.927828868452619;0.072171131547381
"SCBI_003-M-13-6-20140618";0.951619352259096;0.0483806477409036
"SCBI_003-M-27-36-20140715";0.936825269892043;0.0631747301079568
"SCBI_003-M-30-5-20140715";0.927229108356657;0.0727708916433427
"SCBI_003-M-35-24-20140618";0.938224710115954;0.0617752898840464
"SCBI_003-M-5-26-20140618";0.957417033186725;0.0425829668132747
"SCBI_006-M-15-7-20140827";0.95421831267493;0.04578168732507
"SCBI_006-M-1-7-20140715";0.953818472610956;0.0461815273890444
"SCBI_006-M-17-9-20140618";0.959416233506597;0.0405837664934026
"SCBI_006-M-27-2-20140715";0.947421031587365;0.0525789684126349
"SCBI_006-M-29-37-20140618";0.934626149540184;0.0653738504598161
"SCBI_006-M-3-26-20140715";0.968012794882047;0.0319872051179528
"SCBI_006-M-33-11-20140826";0.971811275489804;0.0281887245101959
"SCBI_006-M-4-7-20140826";0.946421431427429;0.053578568572571
"SCBI_006-M-9-11-20140618";0.952618952419032;0.0473810475809676
"SCBI_012-M-0-30-20140825";0.942622950819672;0.0573770491803279
"SCBI_012-M-15-33-20140618";0.943622550979608;0.0563774490203918
"SCBI_012-M-16-7-20140825";0.944022391043583;0.0559776089564174
"SCBI_012-M-21-38-20140715";0.952019192323071;0.0479808076769292
"SCBI_012-M-21-39-20140618";0.938624550179928;0.061375449820072
"SCBI_012-M-23-28-20140825";0.940823670531787;0.0591763294682127
"SCBI_012-M-2-33-20140618";0.936425429828069;0.0635745701719312
"SCBI_012-M-33-4-20140715";0.923030787684926;0.076969212315074
"SCBI_033-M-36-16-20140826";0.944622151139544;0.0553778488604558
"SCBI_033-M-4-38-20140826";0.894642143142743;0.105357856857257
"SCBI_033-M-6-12-20140826";0.912634946021591;0.0873650539784086
"SCBI_045-M-23-30-20140825";0.89124350259896;0.10875649740104
"SCBI_045-M-30-38-20140825";0.93202718912435;0.0679728108756497
"STER_005-M-0-30-20140820";0.934826069572171;0.0651739304278289
"STER_005-M-16-7-20140820";0.93922431027589;0.0607756897241104
"STER_005-M-23-38-20140820";0.922231107556977;0.0777688924430228
