"";"other";"acetobacteraceae";"bradyrhizobiaceae";"caulobacteraceae";"comamonadaceae";"hyphomicrobiaceae";"mycobacteriaceae";"oxalobacteraceae";"rhodospirillaceae";"sphingomonadaceae";"xanthomonadaceae"
"DSNY_004-M-21-38-20140813";0.936539612851726;0.00778287766912792;0.000199560965875075;0.000798243863500299;0.000199560965875075;0.0307323887447615;0.000997804829375374;0.000798243863500299;0.0215525843145081;0.000199560965875075;0.000199560965875075
"DSNY_004-M-33-4-20140814";0.904011175414089;0.0117740969866294;0.00259429255637597;0.00199560965875075;0.000199560965875075;0.0367192177210138;0.00139692676112552;0.000997804829375374;0.039912193175015;0.000199560965875075;0.000199560965875075
"DSNY_005-M-24-40-20140818";0.90720415086809;0.0101776092596288;0.000997804829375374;0.00339253641987627;0.000199560965875075;0.0327279984035123;0.00219517062462582;0.000199560965875075;0.0413091199361405;0.000199560965875075;0.00139692676112552
"DSNY_005-M-33-2-20140814";0.891837956495709;0.00858112153262822;0.0023947315905009;0.00259429255637597;0.000199560965875075;0.0277389742566354;0.00578726801037717;0.000199560965875075;0.0590700458990221;0.000598682897625224;0.000997804829375374
"DSNY_009-M-17-34-20140701";0.895230492915586;0.00878068249850329;0.00259429255637597;0.00279385352225105;0.00039912193175015;0.0377170225503891;0.00119736579525045;0.000199560965875075;0.050688485332269;0.000199560965875075;0.000199560965875075
"DSNY_009-M-2-0-20140813";0.895430053881461;0.00898024346437837;0.000199560965875075;0.00039912193175015;0.000199560965875075;0.02674116942726;0.000997804829375374;0.000199560965875075;0.0664538016363999;0.000199560965875075;0.000199560965875075
"DSNY_009-M-29-2-20140701";0.90760327279984;0.00957892636200359;0.00738375573737777;0.00219517062462582;0.000199560965875075;0.0403113151067651;0.000199560965875075;0.000199560965875075;0.0315306326082618;0.000199560965875075;0.000598682897625224
"DSNY_009-M-33-11-20140910";0.924965076830972;0.00798243863500299;0.000199560965875075;0.000997804829375374;0.000598682897625224;0.0295350229495111;0.000997804829375374;0.000199560965875075;0.0337258032328876;0.000598682897625224;0.000199560965875075
"DSNY_009-M-8-11-20140813";0.901816004789463;0.00419078028337657;0.000199560965875075;0.000997804829375374;0.000598682897625224;0.0359209738575135;0.000199560965875075;0.000199560965875075;0.0554779485132708;0.000199560965875075;0.000199560965875075
"DSNY_016-M-0-30-20140910";0.928557174216723;0.00698463380562762;0.0131710237477549;0.00458990221512672;0.00458990221512672;0.0181600478946318;0.000598682897625224;0.000997804829375374;0.0119736579525045;0.00139692676112552;0.00898024346437837
"DSNY_016-M-12-7-20140701";0.895030931949711;0.0113749750548793;0.0109758531231291;0.00458990221512672;0.00279385352225105;0.0269407303931351;0.0015964877270006;0.000199560965875075;0.0327279984035123;0.0023947315905009;0.0113749750548793
"DSNY_016-M-16-7-20140910";0.939732588305727;0.00798243863500299;0.00937936539612852;0.00299341448812612;0.000199560965875075;0.0207543404510078;0.000199560965875075;0.000199560965875075;0.0121732189183796;0.0015964877270006;0.0047894631810018
"DSNY_016-M-3-37-20140813";0.929954100977849;0.0031929754540012;0.00419078028337657;0.00458990221512672;0.000798243863500299;0.0279385352225105;0.000997804829375374;0.000598682897625224;0.0249451207343844;0.0015964877270006;0.00119736579525045
"DSNY_016-M-35-24-20140701";0.878267810816204;0.0169626820993814;0.00498902414687687;0.0039912193175015;0.000199560965875075;0.0383157054480144;0.00818199960087807;0.000199560965875075;0.0439034124925165;0.000997804829375374;0.0039912193175015
"DSNY_016-M-36-16-20140813";0.915585711434843;0.00379165835162642;0.00458990221512672;0.00279385352225105;0.000199560965875075;0.0301337058471363;0.00259429255637597;0.000199560965875075;0.0363200957892636;0.00139692676112552;0.0023947315905009
"DSNY_016-M-5-26-20140701";0.889642785871084;0.00957892636200359;0.010776292157254;0.00439034124925165;0.0023947315905009;0.0389143883456396;0.00179604869287567;0.00119736579525045;0.0307323887447615;0.00498902414687687;0.0055877070445021
"DSNY_016-M-6-12-20140813";0.913390540810218;0.0039912193175015;0.00658551187387747;0.00179604869287567;0.000199560965875075;0.023947315905009;0.00458990221512672;0.000199560965875075;0.0433047295948912;0.000199560965875075;0.00179604869287567
"DSNY_043-M-18-37-20140814";0.911195370185592;0.00199560965875075;0.00259429255637597;0.00299341448812612;0.0039912193175015;0.0301337058471363;0.00299341448812612;0.00039912193175015;0.042706046697266;0.000199560965875075;0.000798243863500299
"DSNY_043-M-2-27-20140814";0.91977649171822;0.00419078028337657;0.0023947315905009;0.0023947315905009;0.0023947315905009;0.0361205348233885;0.000798243863500299;0.00179604869287567;0.0291359010177609;0.000199560965875075;0.000798243863500299
"DSNY_043-M-33-17-20140814";0.928756735182598;0.0031929754540012;0.0039912193175015;0.00139692676112552;0.000798243863500299;0.0363200957892636;0.00259429255637597;0.000199560965875075;0.0215525843145081;0.000199560965875075;0.000997804829375374
"HARV_001-M-14-7-20140812";0.855118738774696;0.00798243863500299;0.0247455597685093;0.00339253641987627;0.000199560965875075;0.0524845340251447;0.00219517062462582;0.0039912193175015;0.0482937537417681;0.000199560965875075;0.00139692676112552
"HARV_001-M-15-1-20140812";0.907403711833965;0.00718419477150269;0.0199560965875075;0.00299341448812612;0.00039912193175015;0.0313310716423867;0.00299341448812612;0.000199560965875075;0.0271402913590102;0.000199560965875075;0.000199560965875075
"HARV_001-M-30-37-20140715";0.892037517461585;0.00598682897625225;0.0179604869287567;0.00359209738575135;0.000199560965875075;0.0349231690281381;0.000199560965875075;0.000199560965875075;0.0445020953901417;0.000199560965875075;0.000199560965875075
