"";"other";"cellulolytic"
"DSNY_003-M-1-7-20140813";0.961015593762495;0.038984406237505
"DSNY_003-M-3-26-20140813";0.97141143542583;0.0285885645741703
"DSNY_004-M-21-38-20140813";0.958016793282687;0.0419832067173131
"DSNY_004-M-33-4-20140814";0.97281087564974;0.0271891243502599
"DSNY_005-M-24-40-20140818";0.976009596161535;0.0239904038384646
"DSNY_005-M-33-2-20140814";0.968212714914034;0.0317872850859656
"DSNY_009-M-17-34-20140701";0.934626149540184;0.0653738504598161
"DSNY_009-M-2-0-20140813";0.943622550979608;0.0563774490203918
"DSNY_009-M-29-2-20140701";0.900639744102359;0.0993602558976409
"DSNY_009-M-33-11-20140910";0.92203118752499;0.07796881247501
"DSNY_009-M-8-11-20140813";0.947021191523391;0.0529788084766094
"DSNY_016-M-0-30-20140910";0.882047181127549;0.117952818872451
"DSNY_016-M-12-7-20140701";0.913034786085566;0.0869652139144342
"DSNY_016-M-16-7-20140910";0.909036385445822;0.0909636145541783
"DSNY_016-M-3-37-20140813";0.931827269092363;0.0681727309076369
"DSNY_016-M-35-24-20140701";0.932227109156337;0.0677728908436625
"DSNY_016-M-36-16-20140813";0.948820471811275;0.0511795281887245
"DSNY_016-M-5-26-20140701";0.926029588164734;0.0739704118352659
"DSNY_016-M-6-12-20140813";0.938224710115954;0.0617752898840464
"DSNY_043-M-18-37-20140814";0.94922031187525;0.0507796881247501
"DSNY_043-M-2-27-20140814";0.970811675329868;0.0291883246701319
"DSNY_043-M-33-17-20140814";0.956817273090764;0.0431827269092363
"HARV_001-M-14-7-20140812";0.956217512994802;0.0437824870051979
"HARV_001-M-15-1-20140812";0.957417033186725;0.0425829668132747
"HARV_001-M-30-37-20140715";0.959616153538585;0.0403838464614154
"HARV_001-M-39-16-20140812";0.965613754498201;0.0343862455017993
"HARV_001-M-7-0-20140715";0.92562974810076;0.0743702518992403
"HARV_001-O-14-7-20140812";0.938624550179928;0.061375449820072
"HARV_001-O-15-1-20140812";0.932227109156337;0.0677728908436625
"HARV_002-M-24-40-20140716";0.962614954018393;0.0373850459816074
"HARV_002-O-24-40-20140716";0.953418632546981;0.0465813674530188
"HARV_002-O-33-2-20140716";0.967612954818073;0.0323870451819272
"HARV_002-O-4-9-20140716";0.971611355457817;0.0283886445421831
"HARV_004-M-10-34-20140715";0.951419432227109;0.0485805677728908
"HARV_004-M-19-1-20140812";0.964014394242303;0.0359856057576969
"HARV_004-M-25-6-20140715";0.968812475009996;0.031187524990004
"HARV_004-M-3-28-20140812";0.958216713314674;0.0417832866853259
"HARV_004-M-9-34-20140812";0.931227508996401;0.0687724910035986
"HARV_004-M-9-4-20140715";0.942423030787685;0.0575769692123151
"HARV_004-O-10-34-20140715";0.875049980007997;0.124950019992003
"HARV_004-O-19-1-20140812";0.953818472610956;0.0461815273890444
"HARV_004-O-25-6-20140715";0.85265893642543;0.14734106357457
"HARV_004-O-3-28-20140812";0.807676929228309;0.192323070771691
"HARV_004-O-9-34-20140812";0.926629348260696;0.0733706517393043
"HARV_010-M-2-0-20140715";0.943422630947621;0.056577369052379
"HARV_010-M-39-30-20140715";0.950219912035186;0.0497800879648141
"HARV_010-M-8-11-20140715";0.966813274690124;0.033186725309876
"HARV_010-O-2-0-20140715";0.843662534986006;0.156337465013994
"HARV_010-O-39-30-20140715";0.939624150339864;0.0603758496601359
"HARV_010-O-8-11-20140715";0.860855657736905;0.139144342263095
"HARV_013-M-0-13-20140812";0.927429028388644;0.0725709716113555
"HARV_013-M-14-6-20140812";0.95921631347461;0.0407836865253898
"HARV_013-M-15-7-20140717";0.950219912035186;0.0497800879648141
"HARV_013-M-28-3-20140812";0.961215513794482;0.0387844862055178
"HARV_013-M-4-7-20140717";0.908036785285886;0.0919632147141144
"HARV_013-O-0-13-20140812";0.931227508996401;0.0687724910035986
"HARV_013-O-14-6-20140812";0.901039584166333;0.0989604158336665
"HARV_013-O-15-7-20140717";0.970211915233906;0.0297880847660936
"HARV_013-O-28-3-20140812";0.927229108356657;0.0727708916433427
"HARV_013-O-33-11-20140716";0.95921631347461;0.0407836865253898
"HARV_016-M-0-30-20140715";0.965613754498201;0.0343862455017993
"HARV_016-M-16-7-20140715";0.972411035585766;0.0275889644142343
"HARV_016-O-0-30-20140715";0.872051179528189;0.127948820471811
"HARV_016-O-16-7-20140715";0.912634946021591;0.0873650539784086
"HARV_020-M-12-33-20140812";0.978008796481407;0.0219912035185926
"HARV_020-M-30-27-20140812";0.96781287485006;0.03218712514994
"HARV_020-M-37-22-20140812";0.980007996801279;0.0199920031987205
"HARV_020-O-12-33-20140812";0.921231507397041;0.0787684926029588
"HARV_020-O-30-27-20140812";0.947620951619352;0.0523790483806477
"HARV_020-O-37-22-20140812";0.926429428228709;0.0735705717712915
"HARV_021-M-3-37-20140717";0.96641343462615;0.0335865653738505
"HARV_021-M-36-16-20140717";0.909236305477809;0.0907636945221911
"HARV_021-M-6-12-20140717";0.941623350659736;0.0583766493402639
"HARV_021-O-3-37-20140717";0.955217912834866;0.0447820871651339
"HARV_021-O-36-16-20140717";0.947021191523391;0.0529788084766094
"HARV_033-M-23-30-20140717";0.980207916833267;0.0197920831667333
"HARV_033-M-30-38-20140717";0.983206717313075;0.0167932826869252
"HARV_033-M-33-4-20140717";0.97780887644942;0.0221911235505798
"HARV_033-O-23-30-20140717";0.937624950019992;0.062375049980008
"HARV_033-O-30-38-20140717";0.959416233506597;0.0405837664934026
"HARV_034-M-23-8-20140717";0.976209516193523;0.0237904838064774
"HARV_034-M-31-3-20140717";0.963014794082367;0.0369852059176329
"HARV_034-O-19-30-20140717";0.969012395041983;0.0309876049580168
"HARV_035-M-33-17-20140716";0.971211515393842;0.0287884846061575
"HARV_035-O-18-37-20140717";0.971011595361855;0.0289884046381447
"JERC_001-M-1-6-20140805";0.97141143542583;0.0285885645741703
"JERC_001-M-17-34-20140710";0.974810075969612;0.0251899240303878
"JERC_001-M-29-2-20140710";0.935025989604158;0.0649740103958417
"JERC_001-M-7-5-20140805";0.967413034786086;0.0325869652139144
"JERC_001-M-9-17-20140805";0.952219112355058;0.047780887644942
"JERC_002-M-11-0-20140805";0.956217512994802;0.0437824870051979
