"";"other";"assim_nitrate_reduction"
"HARV_004-O-19-1-20140812";0.975209916033587;0.0247900839664134
"HARV_004-O-25-6-20140715";0.981607357057177;0.0183926429428229
"HARV_004-O-3-28-20140812";0.968412634946022;0.0315873650539784
"HARV_004-O-9-34-20140812";0.986005597760896;0.0139944022391044
"HARV_010-M-2-0-20140715";0.98140743702519;0.0185925629748101
"HARV_010-M-39-30-20140715";0.983606557377049;0.0163934426229508
"HARV_010-M-8-11-20140715";0.980207916833267;0.0197920831667333
"HARV_010-O-2-0-20140715";0.963614554178329;0.0363854458216713
"HARV_010-O-39-30-20140715";0.974210315873651;0.0257896841263495
"HARV_010-O-8-11-20140715";0.976609356257497;0.023390643742503
"HARV_013-M-0-13-20140812";0.979008396641343;0.0209916033586565
"HARV_013-M-14-6-20140812";0.980607756897241;0.0193922431027589
"HARV_013-M-15-7-20140717";0.982606957217113;0.0173930427828868
"HARV_013-M-28-3-20140812";0.97780887644942;0.0221911235505798
"HARV_013-M-4-7-20140717";0.968412634946022;0.0315873650539784
"HARV_013-O-0-13-20140812";0.96921231507397;0.0307876849260296
"HARV_013-O-14-6-20140812";0.967213114754098;0.0327868852459016
"HARV_013-O-15-7-20140717";0.975209916033587;0.0247900839664134
"HARV_013-O-28-3-20140812";0.978808476609356;0.0211915233906437
"HARV_013-O-33-11-20140716";0.982207117153139;0.0177928828468613
"HARV_016-M-0-30-20140715";0.976609356257497;0.023390643742503
"HARV_016-M-16-7-20140715";0.970611755297881;0.0293882447021192
"HARV_016-O-0-30-20140715";0.982207117153139;0.0177928828468613
"HARV_016-O-16-7-20140715";0.970611755297881;0.0293882447021192
"HARV_020-M-12-33-20140812";0.980607756897241;0.0193922431027589
"HARV_020-M-30-27-20140812";0.980407836865254;0.0195921631347461
"HARV_020-M-37-22-20140812";0.990603758496601;0.00939624150339864
"HARV_020-O-12-33-20140812";0.973410635745702;0.0265893642542983
"HARV_020-O-30-27-20140812";0.983206717313075;0.0167932826869252
"HARV_020-O-37-22-20140812";0.972411035585766;0.0275889644142343
"HARV_021-M-3-37-20140717";0.98780487804878;0.0121951219512195
"HARV_021-M-36-16-20140717";0.969612155137945;0.0303878448620552
"HARV_021-M-6-12-20140717";0.980007996801279;0.0199920031987205
"HARV_021-O-3-37-20140717";0.975809676129548;0.0241903238704518
"HARV_021-O-36-16-20140717";0.978608556577369;0.0213914434226309
"HARV_033-M-23-30-20140717";0.986605357856857;0.0133946421431427
"HARV_033-M-30-38-20140717";0.976609356257497;0.023390643742503
"HARV_033-M-33-4-20140717";0.973810475809676;0.0261895241903239
"HARV_033-O-23-30-20140717";0.972211115553778;0.0277888844462215
"HARV_033-O-30-38-20140717";0.978008796481407;0.0219912035185926
"HARV_034-M-23-8-20140717";0.982207117153139;0.0177928828468613
"HARV_034-M-31-3-20140717";0.977009196321471;0.0229908036785286
"HARV_034-O-19-30-20140717";0.984006397441024;0.0159936025589764
"HARV_035-M-33-17-20140716";0.986005597760896;0.0139944022391044
"HARV_035-O-18-37-20140717";0.958216713314674;0.0417832866853259
"JERC_001-M-1-6-20140805";0.986005597760896;0.0139944022391044
"JERC_001-M-17-34-20140710";0.980007996801279;0.0199920031987205
"JERC_001-M-29-2-20140710";0.95421831267493;0.04578168732507
"JERC_001-M-7-5-20140805";0.979008396641343;0.0209916033586565
"JERC_001-M-9-17-20140805";0.97640943622551;0.0235905637744902
"JERC_002-M-11-0-20140805";0.983806477409036;0.0161935225909636
"JERC_002-M-12-7-20140710";0.986605357856857;0.0133946421431427
"JERC_002-M-27-36-20140805";0.975609756097561;0.024390243902439
"JERC_002-M-35-24-20140710";0.985605757696921;0.0143942423030788
"JERC_003-M-1-7-20140805";0.977209116353459;0.0227908836465414
"JERC_003-M-3-26-20140805";0.97780887644942;0.0221911235505798
"JERC_003-M-33-0-20140805";0.977608956417433;0.022391043582567
"JERC_005-M-24-40-20140805";0.979808076769292;0.0201919232307077
"JERC_005-M-33-2-20140805";0.987604958016793;0.0123950419832067
"JERC_005-M-4-9-20140805";0.98780487804878;0.0121951219512195
"JERC_006-M-15-33-20140710";0.978808476609356;0.0211915233906437
"JERC_006-M-2-0-20140805";0.977608956417433;0.022391043582567
"JERC_006-M-21-39-20140710";0.989004398240704;0.0109956017592963
"JERC_006-M-2-33-20140710";0.981807277089164;0.0181927229108357
"JERC_006-M-39-30-20140805";0.987604958016793;0.0123950419832067
"JERC_006-M-8-11-20140805";0.977608956417433;0.022391043582567
"JERC_008-M-23-30-20140805";0.980807676929228;0.0191923230707717
"JERC_008-M-33-4-20140805";0.988604558176729;0.0113954418232707
"JERC_047-M-3-32-20140805";0.977409036385446;0.0225909636145542
"JERC_047-M-36-16-20140805";0.977608956417433;0.022391043582567
"JERC_047-M-6-12-20140805";0.976209516193523;0.0237904838064774
"JERC_048-M-19-30-20140805";0.978408636545382;0.0215913634546182
"JERC_048-M-27-8-20140805";0.984006397441024;0.0159936025589764
"JERC_048-M-31-3-20140805";0.981807277089164;0.0181927229108357
"JERC_049-M-18-17-20140805";0.985205917632947;0.0147940823670532
"JERC_049-M-2-27-20140805";0.980007996801279;0.0199920031987205
"ORNL_001-O-17-34-20140715";0.962015193922431;0.037984806077569
"ORNL_002-O-5-26-20140714";0.963414634146341;0.0365853658536585
"ORNL_003-O-9-11-20140714";0.961815273890444;0.0381847261095562
