"";"other";"methanotroph"
"HARV_013-O-33-11-20140716";0.988604558176729;0.0113954418232707
"HARV_016-M-0-30-20140715";0.983606557377049;0.0163934426229508
"HARV_016-M-16-7-20140715";0.99500199920032;0.00499800079968013
"HARV_016-O-0-30-20140715";0.907237105157937;0.0927628948420632
"HARV_016-O-16-7-20140715";0.94922031187525;0.0507796881247501
"HARV_020-M-12-33-20140812";0.994402239104358;0.00559776089564174
"HARV_020-M-30-27-20140812";0.99500199920032;0.00499800079968013
"HARV_020-M-37-22-20140812";0.994802079168333;0.00519792083166733
"HARV_020-O-12-33-20140812";0.9828068772491;0.0171931227508996
"HARV_020-O-30-27-20140812";0.991003598560576;0.00899640143942423
"HARV_020-O-37-22-20140812";0.988404638144742;0.0115953618552579
"HARV_021-M-3-37-20140717";0.994802079168333;0.00519792083166733
"HARV_021-M-36-16-20140717";0.975809676129548;0.0241903238704518
"HARV_021-M-6-12-20140717";0.979008396641343;0.0209916033586565
"HARV_021-O-3-37-20140717";0.990603758496601;0.00939624150339864
"HARV_021-O-36-16-20140717";0.988004798080768;0.0119952019192323
"HARV_033-M-23-30-20140717";0.992602958816473;0.00739704118352659
"HARV_033-M-30-38-20140717";0.987604958016793;0.0123950419832067
"HARV_033-M-33-4-20140717";0.997001199520192;0.00299880047980808
"HARV_033-O-23-30-20140717";0.972411035585766;0.0275889644142343
"HARV_033-O-30-38-20140717";0.979808076769292;0.0201919232307077
"HARV_034-M-23-8-20140717";0.988204718112755;0.0117952818872451
"HARV_034-M-31-3-20140717";0.987405037984806;0.0125949620151939
"HARV_034-O-19-30-20140717";0.970611755297881;0.0293882447021192
"HARV_035-M-33-17-20140716";0.989204318272691;0.0107956817273091
"HARV_035-O-18-37-20140717";0.974410235905638;0.0255897640943623
"JERC_001-M-1-6-20140805";0.999800079968013;0.000199920031987205
"JERC_001-M-17-34-20140710";0.997401039584166;0.00259896041583367
"JERC_001-M-29-2-20140710";0.99500199920032;0.00499800079968013
"JERC_001-M-7-5-20140805";0.99500199920032;0.00499800079968013
"JERC_001-M-9-17-20140805";0.99640143942423;0.00359856057576969
"JERC_002-M-11-0-20140805";0.999200319872051;0.00079968012794882
"JERC_002-M-12-7-20140710";0.998000799680128;0.00199920031987205
"JERC_002-M-27-36-20140805";0.997001199520192;0.00299880047980808
"JERC_002-M-35-24-20140710";0.997401039584166;0.00259896041583367
"JERC_003-M-1-7-20140805";0.996201519392243;0.0037984806077569
"JERC_003-M-3-26-20140805";0.995401839264294;0.00459816073570572
"JERC_003-M-33-0-20140805";0.999800079968013;0.000199920031987205
"JERC_005-M-24-40-20140805";0.99640143942423;0.00359856057576969
"JERC_005-M-33-2-20140805";0.996601359456218;0.00339864054378249
"JERC_005-M-4-9-20140805";0.999800079968013;0.000199920031987205
"JERC_006-M-15-33-20140710";0.998200719712115;0.00179928028788485
