"";"other";"bacillus";"bradyrhizobium";"chthoniobacter";"devosia";"mycobacterium";"opitutus";"phenylobacterium";"pseudomonas";"rhodoplanes";"sphingomonas"
"ORNL_001-O-17-34-20140715";0.936340051885851;0.000199560965875075;0.0121732189183796;0.000199560965875075;0.000199560965875075;0.000199560965875075;0.00119736579525045;0.00498902414687687;0.000598682897625224;0.0437038515266414;0.000199560965875075
"ORNL_002-O-5-26-20140714";0.942127319896228;0.000199560965875075;0.0195569746557573;0.0023947315905009;0.000199560965875075;0.00279385352225105;0.00199560965875075;0.0039912193175015;0.000199560965875075;0.0223508281780084;0.00419078028337657
"ORNL_003-O-9-11-20140714";0.90720415086809;0.000199560965875075;0.0431051686290162;0.0055877070445021;0.000199560965875075;0.0047894631810018;0.00179604869287567;0.00598682897625225;0.000199560965875075;0.0295350229495111;0.00139692676112552
"ORNL_021-O-15-33-20140714";0.951506685292357;0.000798243863500299;0.00578726801037717;0.0055877070445021;0.000199560965875075;0.000997804829375374;0.00419078028337657;0.0039912193175015;0.00339253641987627;0.0207543404510078;0.00279385352225105
"ORNL_027-O-2-33-20140715";0.94731590500898;0.000199560965875075;0.00838156056675314;0.00119736579525045;0.00139692676112552;0.000199560965875075;0.00199560965875075;0.0039912193175015;0.0023947315905009;0.0327279984035123;0.000199560965875075
"ORNL_029-O-9-2-20140714";0.975653562163241;0.000997804829375374;0.00419078028337657;0.00439034124925165;0.000199560965875075;0.000199560965875075;0.000997804829375374;0.0015964877270006;0.00139692676112552;0.0101776092596288;0.000199560965875075
"ORNL_031-O-11-3-20140714";0.94771502694073;0.00299341448812612;0.00439034124925165;0.00359209738575135;0.000199560965875075;0.00139692676112552;0.00259429255637597;0.000199560965875075;0.00518858511275195;0.0273398523248853;0.00439034124925165
"ORNL_037-O-4-23-20140715";0.942526441827978;0.00119736579525045;0.0257433645978847;0.00498902414687687;0.000199560965875075;0.00139692676112552;0.000199560965875075;0.000997804829375374;0.000199560965875075;0.0195569746557573;0.00299341448812612
"ORNL_043-O-2-27-20140715";0.93394532029535;0.000199560965875075;0.0339253641987627;0.00538814607862702;0.000199560965875075;0.0039912193175015;0.00199560965875075;0.00518858511275195;0.000199560965875075;0.0137697066453802;0.00119736579525045
"OSBS_001-M-17-34-20140701";0.953103173019357;0.00439034124925165;0.0023947315905009;0.00179604869287567;0.000199560965875075;0.00119736579525045;0.00039912193175015;0.000199560965875075;0.000199560965875075;0.0359209738575135;0.000199560965875075
"OSBS_001-M-17-34-20140818";0.947914587906605;0.00199560965875075;0.00119736579525045;0.000798243863500299;0.000199560965875075;0.000798243863500299;0.000997804829375374;0.000199560965875075;0.000997804829375374;0.0447016563560168;0.000199560965875075
"OSBS_001-M-26-3-20140701";0.956894831370984;0.00179604869287567;0.00179604869287567;0.000598682897625224;0.000199560965875075;0.0039912193175015;0.00219517062462582;0.000199560965875075;0.000199560965875075;0.031929754540012;0.000199560965875075
"OSBS_001-M-26-3-20140818";0.941927758930353;0.00119736579525045;0.00738375573737777;0.000199560965875075;0.000199560965875075;0.00359209738575135;0.000997804829375374;0.000598682897625224;0.000798243863500299;0.0429056076631411;0.000199560965875075
"OSBS_001-M-29-2-20140701";0.961484733586111;0.0015964877270006;0.0031929754540012;0.000598682897625224;0.000199560965875075;0.00199560965875075;0.00039912193175015;0.000199560965875075;0.000199560965875075;0.0299341448812612;0.000199560965875075
"OSBS_001-M-29-2-20140818";0.956495709439234;0.0023947315905009;0.00199560965875075;0.00199560965875075;0.000199560965875075;0.00339253641987627;0.00119736579525045;0.000199560965875075;0.000199560965875075;0.0317301935741369;0.000199560965875075
"OSBS_002-M-12-7-20140701";0.957892636200359;0.000199560965875075;0.00718419477150269;0.0015964877270006;0.000199560965875075;0.0047894631810018;0.00199560965875075;0.00139692676112552;0.00039912193175015;0.0241468768708841;0.000199560965875075
"OSBS_002-M-12-7-20140818";0.955697465575733;0.00458990221512672;0.0129714627818799;0.00199560965875075;0.000199560965875075;0.00119736579525045;0.00039912193175015;0.00139692676112552;0.000199560965875075;0.0211534623827579;0.000199560965875075
"OSBS_002-M-35-24-20140701";0.930752344841349;0.00259429255637597;0.0157653163041309;0.0023947315905009;0.000199560965875075;0.00458990221512672;0.00299341448812612;0.000199560965875075;0.000199560965875075;0.04011175414089;0.000199560965875075
"OSBS_002-M-35-24-20140818";0.965475952903612;0.00139692676112552;0.00538814607862702;0.000199560965875075;0.000199560965875075;0.000997804829375374;0.000199560965875075;0.000199560965875075;0.0015964877270006;0.0241468768708841;0.000199560965875075
"OSBS_002-M-5-26-20140701";0.954500099780483;0.000199560965875075;0.0125723408501297;0.000199560965875075;0.000199560965875075;0.00139692676112552;0.000199560965875075;0.000199560965875075;0.000199560965875075;0.0301337058471363;0.000199560965875075
"OSBS_003-M-17-9-20140701";0.948712831770106;0.00119736579525045;0.00778287766912792;0.000997804829375374;0.000199560965875075;0.0015964877270006;0.00119736579525045;0.00039912193175015;0.000199560965875075;0.0375174615845141;0.000199560965875075
"OSBS_003-M-17-9-20140818";0.944322490520854;0.00139692676112552;0.0147675114747555;0.00259429255637597;0.000199560965875075;0.00119736579525045;0.000199560965875075;0.00179604869287567;0.000598682897625224;0.032129315505887;0.000798243863500299
"OSBS_003-M-29-37-20140701";0.95988824585911;0.000199560965875075;0.010776292157254;0.00119736579525045;0.000199560965875075;0.00279385352225105;0.000997804829375374;0.000199560965875075;0.000598682897625224;0.0229495110756336;0.000199560965875075
