"";"other";"chitinolytic"
"SCBI_006-M-33-11-20140826";0.933226709316273;0.0667732906837265
"SCBI_006-M-4-7-20140826";0.953618552578968;0.0463814474210316
"SCBI_006-M-9-11-20140618";0.928628548580568;0.0713714514194322
"SCBI_012-M-0-30-20140825";0.937425029988005;0.0625749700119952
"SCBI_012-M-15-33-20140618";0.921831267493003;0.0781687325069972
"SCBI_012-M-16-7-20140825";0.942622950819672;0.0573770491803279
"SCBI_012-M-21-38-20140715";0.941823270691723;0.0581767293082767
"SCBI_012-M-21-39-20140618";0.901439424230308;0.0985605757696921
"SCBI_012-M-23-28-20140825";0.922830867652939;0.0771691323470612
"SCBI_012-M-2-33-20140618";0.910035985605758;0.0899640143942423
"SCBI_012-M-33-4-20140715";0.90343862455018;0.0965613754498201
"SCBI_033-M-36-16-20140826";0.937425029988005;0.0625749700119952
"SCBI_033-M-4-38-20140826";0.926229508196721;0.0737704918032787
"SCBI_033-M-6-12-20140826";0.925229908036785;0.0747700919632147
"SCBI_045-M-23-30-20140825";0.922830867652939;0.0771691323470612
"SCBI_045-M-30-38-20140825";0.925229908036785;0.0747700919632147
"STER_005-M-0-30-20140820";0.918632546981208;0.0813674530187925
"STER_005-M-16-7-20140820";0.914834066373451;0.0851659336265494
"STER_005-M-23-38-20140820";0.906637345061975;0.0933626549380248
"STER_006-M-1-6-20140722";0.910435825669732;0.0895641743302679
"STER_006-M-22-32-20140820";0.93062774890044;0.0693722510995602
"STER_006-M-30-37-20140820";0.917433026789284;0.0825669732107157
"STER_006-M-7-0-20140820";0.933226709316273;0.0667732906837265
"STER_006-M-7-5-20140722";0.934426229508197;0.0655737704918033
"STER_018-M-15-7-20140820";0.879648140743703;0.120351859256297
"STER_018-M-4-7-20140820";0.919032387045182;0.0809676129548181
"STER_026-M-10-34-20140820";0.88484606157537;0.11515393842463
"STER_026-M-11-0-20140722";0.874450219912035;0.125549780087965
"STER_026-M-25-6-20140820";0.948020791683327;0.0519792083166733
"STER_026-M-27-36-20140722";0.860255897640944;0.139744102359056
"STER_026-M-30-5-20140723";0.882447021191523;0.117552978808477
"STER_026-M-9-4-20140820";0.89484206317473;0.10515793682527
"STER_027-M-33-0-20140723";0.913834466213515;0.0861655337864854
"STER_028-M-20-40-20140722";0.918832467013195;0.0811675329868053
"STER_028-M-21-38-20140722";0.915433826469412;0.0845661735305878
"STER_028-M-33-4-20140722";0.90203918432627;0.0979608156737305
"STER_033-M-23-30-20140723";0.909636145541783;0.0903638544582167
"STER_033-M-30-38-20140723";0.906637345061975;0.0933626549380248
"STER_033-M-33-4-20140723";0.896641343462615;0.103358656537385
"STER_034-M-19-30-20140723";0.873850459816074;0.126149540183926
"STER_035-M-33-17-20140723";0.917632946821272;0.0823670531787285
"TALL_001-M-2-23-20140903";0.990603758496601;0.00939624150339864
"TALL_001-M-28-23-20140903";0.97780887644942;0.0221911235505798
"TALL_001-O-2-23-20140903";0.945021991203519;0.0549780087964814
"TALL_001-O-27-7-20140903";0.989604158336665;0.0103958416633347
"TALL_001-O-28-23-20140903";0.961015593762495;0.038984406237505
"TALL_002-M-36-24-20140903";0.935225909636145;0.0647740903638545
"TALL_002-M-8-40-20140903";0.958816473410636;0.0411835265893643
"TALL_002-M-8-8-20140903";0.941423430627749;0.0585765693722511
"TALL_002-O-36-24-20140903";0.924430227908836;0.0755697720911635
"TALL_004-M-16-36-20140903";0.97141143542583;0.0285885645741703
"TALL_004-M-34-40-20140903";0.986005597760896;0.0139944022391044
"TALL_004-M-38-6-20140903";0.97281087564974;0.0271891243502599
"TALL_006-M-14-30-20140903";0.955217912834866;0.0447820871651339
"TALL_006-M-14-6-20140903";0.970411835265894;0.0295881647341064
"TALL_006-M-26-35-20140903";0.947021191523391;0.0529788084766094
"UNDE_001-M-22-32-20140708";0.969012395041983;0.0309876049580168
"UNDE_001-M-7-0-20140708";0.943822471011595;0.0561775289884046
"UNDE_001-O-30-37-20140708";0.976809276289484;0.0231907237105158
"UNDE_006-M-10-34-20140707";0.937225109956018;0.0627748900439824
"UNDE_006-M-25-6-20140707";0.828068772491004;0.171931227508996
"UNDE_006-M-9-4-20140707";0.886045581767293;0.113954418232707
"UNDE_007-M-33-2-20140710";0.911235505797681;0.0887644942023191
"UNDE_007-M-4-9-20140710";0.932427029188325;0.0675729708116753
"UNDE_008-M-15-7-20140707";0.892243102758896;0.107756897241104
"UNDE_008-M-33-11-20140707";0.861455417832867;0.138544582167133
"UNDE_008-M-4-7-20140707";0.896241503398641;0.103758496601359
"UNDE_013-M-2-0-20140708";0.917632946821272;0.0823670531787285
"UNDE_013-M-39-30-20140708";0.915233906437425;0.084766093562575
"UNDE_013-M-8-11-20140708";0.925029988004798;0.0749700119952019
"UNDE_014-M-36-16-20140711";0.966813274690124;0.033186725309876
"UNDE_014-M-6-12-20140711";0.917632946821272;0.0823670531787285
"UNDE_017-M-0-30-20140707";0.965613754498201;0.0343862455017993
"UNDE_017-M-23-38-20140707";0.852459016393443;0.147540983606557
"UNDE_019-M-23-30-20140708";0.896041583366653;0.103958416633347
"UNDE_019-M-30-38-20140708";0.887245101959216;0.112754898040784
"UNDE_019-M-33-4-20140708";0.92562974810076;0.0743702518992403
"UNDE_027-M-19-30-20140708";0.944622151139544;0.0553778488604558
"UNDE_027-M-23-8-20140708";0.946621351459416;0.0533786485405838
"UNDE_027-M-31-3-20140708";0.975609756097561;0.024390243902439
"UNDE_032-M-2-27-20140708";0.932227109156337;0.0677728908436625
"UNDE_034-M-28-34-20140715";0.918032786885246;0.0819672131147541
"UNDE_034-M-35-0-20140715";0.922630947620952;0.0773690523790484
"UNDE_034-M-37-20-20140715";0.910035985605758;0.0899640143942423
"UNDE_035-M-1-23-20140715";0.982207117153139;0.0177928828468613
"UNDE_035-M-13-1-20140715";0.971011595361855;0.0289884046381447
"UNDE_035-M-6-13-20140715";0.984006397441024;0.0159936025589764
"UNDE_037-M-25-17-20140710";0.985605757696921;0.0143942423030788
"UNDE_037-O-28-36-20140710";0.935425829668133;0.0645741703318673
"UNDE_037-O-9-7-20140710";0.975809676129548;0.0241903238704518
"UNDE_043-M-17-38-20140710";0.926229508196721;0.0737704918032787
"UNDE_043-M-32-36-20140710";0.918632546981208;0.0813674530187925
"UNDE_044-M-37-7-20140718";0.953218712514994;0.046781287485006
"UNDE_044-O-37-7-20140718";0.966013594562175;0.0339864054378249
