"";"other";"copiotroph"
"HARV_010-O-39-30-20140715";0.914834066373451;0.0851659336265494
"HARV_010-O-8-11-20140715";0.779088364654138;0.220911635345862
"HARV_013-M-0-13-20140812";0.890643742502999;0.109356257497001
"HARV_013-M-14-6-20140812";0.941423430627749;0.0585765693722511
"HARV_013-M-15-7-20140717";0.8562574970012;0.1437425029988
"HARV_013-M-28-3-20140812";0.920231907237105;0.0797680927628948
"HARV_013-M-4-7-20140717";0.882047181127549;0.117952818872451
"HARV_013-O-0-13-20140812";0.884046381447421;0.115953618552579
"HARV_013-O-14-6-20140812";0.892842862854858;0.107157137145142
"HARV_013-O-15-7-20140717";0.917233106757297;0.0827668932427029
"HARV_013-O-28-3-20140812";0.796481407437025;0.203518592562975
"HARV_013-O-33-11-20140716";0.936225509796082;0.0637744902039184
"HARV_016-M-0-30-20140715";0.927229108356657;0.0727708916433427
"HARV_016-M-16-7-20140715";0.962415033986405;0.0375849660135946
"HARV_016-O-0-30-20140715";0.82407037185126;0.17592962814874
"HARV_016-O-16-7-20140715";0.843662534986006;0.156337465013994
"HARV_020-M-12-33-20140812";0.931227508996401;0.0687724910035986
"HARV_020-M-30-27-20140812";0.935025989604158;0.0649740103958417
"HARV_020-M-37-22-20140812";0.957217113154738;0.0427828868452619
"HARV_020-O-12-33-20140812";0.857457017193123;0.142542982806877
"HARV_020-O-30-27-20140812";0.828268692522991;0.171731307477009
"HARV_020-O-37-22-20140812";0.860255897640944;0.139744102359056
"HARV_021-M-3-37-20140717";0.937624950019992;0.062375049980008
"HARV_021-M-36-16-20140717";0.836865253898441;0.163134746101559
"HARV_021-M-6-12-20140717";0.883246701319472;0.116753298680528
"HARV_021-O-3-37-20140717";0.925029988004798;0.0749700119952019
"HARV_021-O-36-16-20140717";0.904638144742103;0.0953618552578968
"HARV_033-M-23-30-20140717";0.960215913634546;0.0397840863654538
"HARV_033-M-30-38-20140717";0.948420631747301;0.0515793682526989
"HARV_033-M-33-4-20140717";0.955217912834866;0.0447820871651339
"HARV_033-O-23-30-20140717";0.847860855657737;0.152139144342263
"HARV_033-O-30-38-20140717";0.89344262295082;0.10655737704918
"HARV_034-M-23-8-20140717";0.944422231107557;0.055577768892443
"HARV_034-M-31-3-20140717";0.935225909636145;0.0647740903638545
"HARV_034-O-19-30-20140717";0.92203118752499;0.07796881247501
"HARV_035-M-33-17-20140716";0.950819672131147;0.0491803278688525
"HARV_035-O-18-37-20140717";0.873450619752099;0.126549380247901
"JERC_001-M-1-6-20140805";0.897241103558577;0.102758896441423
"JERC_001-M-17-34-20140710";0.906637345061975;0.0933626549380248
"JERC_001-M-29-2-20140710";0.859456217512995;0.140543782487005
"JERC_001-M-7-5-20140805";0.90703718512595;0.0929628148740504
"JERC_001-M-9-17-20140805";0.949620151939224;0.0503798480607757
"JERC_002-M-11-0-20140805";0.921431427429028;0.0785685725709716
"JERC_002-M-12-7-20140710";0.902439024390244;0.0975609756097561
"JERC_002-M-27-36-20140805";0.904438224710116;0.095561775289884
"JERC_002-M-35-24-20140710";0.917632946821272;0.0823670531787285
"JERC_003-M-1-7-20140805";0.891443422630948;0.108556577369052
"JERC_003-M-3-26-20140805";0.929628148740504;0.0703718512594962
"JERC_003-M-33-0-20140805";0.903238704518193;0.0967612954818073
"JERC_005-M-24-40-20140805";0.929028388644542;0.0709716113554578
"JERC_005-M-33-2-20140805";0.915633746501399;0.0843662534986006
"JERC_005-M-4-9-20140805";0.92702918832467;0.0729708116753299
"JERC_006-M-15-33-20140710";0.918232706917233;0.0817672930827669
"JERC_006-M-2-0-20140805";0.896041583366653;0.103958416633347
"JERC_006-M-21-39-20140710";0.948220711715314;0.0517792882846861
"JERC_006-M-2-33-20140710";0.942423030787685;0.0575769692123151
"JERC_006-M-39-30-20140805";0.937624950019992;0.062375049980008
"JERC_006-M-8-11-20140805";0.921431427429028;0.0785685725709716
"JERC_008-M-23-30-20140805";0.8812475009996;0.1187524990004
