"";"other";"oligotroph"
"UNDE_014-M-6-12-20140711";0.381847261095562;0.618152738904438
"UNDE_017-M-0-30-20140707";0.320871651339464;0.679128348660536
"UNDE_017-M-23-38-20140707";0.413834466213515;0.586165533786485
"UNDE_019-M-23-30-20140708";0.334866053578569;0.665133946421431
"UNDE_019-M-30-38-20140708";0.412235105957617;0.587764894042383
"UNDE_019-M-33-4-20140708";0.338464614154338;0.661535385845662
"UNDE_027-M-19-30-20140708";0.41843262694922;0.58156737305078
"UNDE_027-M-23-8-20140708";0.344662135145942;0.655337864854058
"UNDE_027-M-31-3-20140708";0.260295881647341;0.739704118352659
"UNDE_032-M-2-27-20140708";0.311475409836066;0.688524590163934
"UNDE_034-M-28-34-20140715";0.351059576169532;0.648940423830468
"UNDE_034-M-35-0-20140715";0.397241103558577;0.602758896441423
"UNDE_034-M-37-20-20140715";0.397441023590564;0.602558976409436
"UNDE_035-M-1-23-20140715";0.209716113554578;0.790283886445422
"UNDE_035-M-13-1-20140715";0.215113954418233;0.784886045581767
"UNDE_035-M-6-13-20140715";0.173930427828868;0.826069572171132
"UNDE_037-M-25-17-20140710";0.186525389844062;0.813474610155938
"UNDE_037-O-28-36-20140710";0.314274290283886;0.685725709716114
"UNDE_037-O-9-7-20140710";0.234306277489004;0.765693722510996
"UNDE_043-M-17-38-20140710";0.36625349860056;0.63374650139944
"UNDE_043-M-32-36-20140710";0.316273490603758;0.683726509396241
"UNDE_044-M-37-7-20140718";0.391443422630948;0.608556577369052
"UNDE_044-O-37-7-20140718";0.352459016393443;0.647540983606557
