"";"other";"dissim_nitrite_reduction"
"HARV_001-O-14-7-20140812";0.877049180327869;0.122950819672131
"HARV_001-O-15-1-20140812";0.913034786085566;0.0869652139144342
"HARV_002-M-24-40-20140716";0.899440223910436;0.100559776089564
"HARV_002-O-24-40-20140716";0.899040383846461;0.100959616153539
"HARV_002-O-33-2-20140716";0.919632147141143;0.0803678528588565
"HARV_002-O-4-9-20140716";0.919032387045182;0.0809676129548181
"HARV_004-M-10-34-20140715";0.902638944422231;0.0973610555777689
"HARV_004-M-19-1-20140812";0.909036385445822;0.0909636145541783
"HARV_004-M-25-6-20140715";0.911635345861655;0.0883646541383447
"HARV_004-M-3-28-20140812";0.910235905637745;0.0897640943622551
"HARV_004-M-9-34-20140812";0.882846861255498;0.117153138744502
"HARV_004-M-9-4-20140715";0.897241103558577;0.102758896441423
"HARV_004-O-10-34-20140715";0.795281887245102;0.204718112754898
"HARV_004-O-19-1-20140812";0.909636145541783;0.0903638544582167
"HARV_004-O-25-6-20140715";0.834466213514594;0.165533786485406
"HARV_004-O-3-28-20140812";0.743502598960416;0.256497401039584
"HARV_004-O-9-34-20140812";0.84546181527389;0.15453818472611
"HARV_010-M-2-0-20140715";0.911835265893642;0.0881647341063575
"HARV_010-M-39-30-20140715";0.859456217512995;0.140543782487005
"HARV_010-M-8-11-20140715";0.926629348260696;0.0733706517393043
"HARV_010-O-2-0-20140715";0.811475409836066;0.188524590163934
"HARV_010-O-39-30-20140715";0.891443422630948;0.108556577369052
"HARV_010-O-8-11-20140715";0.819472211115554;0.180527788884446
"HARV_013-M-0-13-20140812";0.857057177129148;0.142942822870852
"HARV_013-M-14-6-20140812";0.927229108356657;0.0727708916433427
"HARV_013-M-15-7-20140717";0.91343462614954;0.0865653738504598
"HARV_013-M-28-3-20140812";0.906037584966014;0.0939624150339864
"HARV_013-M-4-7-20140717";0.841863254698121;0.158136745301879
"HARV_013-O-0-13-20140812";0.878848460615754;0.121151539384246
"HARV_013-O-14-6-20140812";0.846061575369852;0.153938424630148
"HARV_013-O-15-7-20140717";0.914834066373451;0.0851659336265494
"HARV_013-O-28-3-20140812";0.874450219912035;0.125549780087965
"HARV_013-O-33-11-20140716";0.893042782886845;0.106957217113155
"HARV_016-M-0-30-20140715";0.889044382247101;0.110955617752899
"HARV_016-M-16-7-20140715";0.923030787684926;0.076969212315074
"HARV_016-O-0-30-20140715";0.79328268692523;0.20671731307477
"HARV_016-O-16-7-20140715";0.828668532586965;0.171331467413035
