"","other","Mortierellales","Filobasidiales","Tremellales","Umbelopsidales","Russulales","Hypocreales","Eurotiales","Chaetothyriales","Cantharellales","Sordariales","Atheliales","Agaricales","Sebacinales","Helotiales","Thelephorales","Pezizales","Boletales","Pleosporales","Mytilinidales"
"SRR1502414",0.0607843137254902,0.0666666666666667,0.0107843137254902,0.00490196078431373,0.000980392156862745,0.0362745098039216,0.00980392156862745,0.000980392156862745,0.0303921568627451,0.0166666666666667,0.0127450980392157,0.000980392156862745,0.496078431372549,0.0117647058823529,0.00784313725490196,0.0745098039215686,0.0519607843137255,0.0186274509803922,0.0813725490196078,0.00588235294117647
"SRR1502421",0.0352941176470588,0.107843137254902,0.00784313725490196,0.000980392156862745,0.000980392156862745,0.0637254901960784,0.000980392156862745,0.00392156862745098,0.00490196078431373,0.00588235294117647,0.000980392156862745,0.130392156862745,0.416666666666667,0.0901960784313725,0.000980392156862745,0.109803921568627,0.0147058823529412,0.000980392156862745,0.000980392156862745,0.00196078431372549
"SRR1502422",0.0411764705882353,0.0313725490196078,0.00392156862745098,0.00490196078431373,0.00196078431372549,0.000980392156862745,0.00294117647058824,0.000980392156862745,0.00980392156862745,0.00294117647058824,0.00490196078431373,0.000980392156862745,0.597058823529412,0.0764705882352941,0.00196078431372549,0.162745098039216,0.0431372549019608,0.00196078431372549,0.000980392156862745,0.00882352941176471
"SRR1502423",0.0813725490196078,0.0637254901960784,0.0156862745098039,0.00784313725490196,0.000980392156862745,0.107843137254902,0.0137254901960784,0.00490196078431373,0.0137254901960784,0.042156862745098,0.00490196078431373,0.00196078431372549,0.295098039215686,0.142156862745098,0.0166666666666667,0.117647058823529,0.0294117647058824,0.00882352941176471,0.000980392156862745,0.0303921568627451
"SRR1502424",0.181372549019608,0.199019607843137,0.0754901960784314,0.0352941176470588,0.00980392156862745,0.154901960784314,0.00588235294117647,0.000980392156862745,0.000980392156862745,0.0176470588235294,0.00784313725490196,0.046078431372549,0.151960784313725,0.000980392156862745,0.0480392156862745,0.0313725490196078,0.0186274509803922,0.000980392156862745,0.000980392156862745,0.0117647058823529
"SRR1502428",0.0333333333333333,0.0568627450980392,0.0235294117647059,0.000980392156862745,0.000980392156862745,0.192156862745098,0.00784313725490196,0.00588235294117647,0.0156862745098039,0.0205882352941176,0.000980392156862745,0.151960784313725,0.219607843137255,0.158823529411765,0.00686274509803922,0.0274509803921569,0.0352941176470588,0.000980392156862745,0.000980392156862745,0.0392156862745098
"SRR1502429",0.0872549019607843,0.000980392156862745,0.00392156862745098,0.00490196078431373,0.000980392156862745,0.242156862745098,0.0392156862745098,0.0294117647058824,0.0529411764705882,0.042156862745098,0.0137254901960784,0.000980392156862745,0.170588235294118,0.046078431372549,0.00392156862745098,0.0941176470588235,0.0843137254901961,0.000980392156862745,0.0803921568627451,0.000980392156862745
"SRR1502430",0.0186274509803922,0.000980392156862745,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.398039215686274,0.0196078431372549,0.00588235294117647,0.0107843137254902,0.0352941176470588,0.00882352941176471,0.000980392156862745,0.216666666666667,0.046078431372549,0.00490196078431373,0.149019607843137,0.0225490196078431,0.0176470588235294,0.0284313725490196,0.00980392156862745
"SRR1502436",0.0852941176470588,0.0117647058823529,0.00294117647058824,0.0127450980392157,0.000980392156862745,0.0480392156862745,0.000980392156862745,0.0225490196078431,0.000980392156862745,0.00784313725490196,0.00588235294117647,0.000980392156862745,0.699019607843137,0.0127450980392157,0.00490196078431373,0.0558823529411765,0.00784313725490196,0.000980392156862745,0.00294117647058824,0.0147058823529412
"SRR1502437",0.0264705882352941,0.0343137254901961,0.000980392156862745,0.000980392156862745,0.00588235294117647,0.0254901960784314,0.00490196078431373,0.00784313725490196,0.0225490196078431,0.285294117647059,0.000980392156862745,0.0441176470588235,0.354901960784314,0.00980392156862745,0.0941176470588235,0.0401960784313726,0.0156862745098039,0.0176470588235294,0.000980392156862745,0.00686274509803922
"SRR1502438",0.0941176470588235,0.112745098039216,0.000980392156862745,0.000980392156862745,0.0372549019607843,0.0833333333333333,0.00490196078431373,0.000980392156862745,0.00392156862745098,0.0294117647058824,0.000980392156862745,0.104901960784314,0.266666666666667,0.0813725490196078,0.0117647058823529,0.0931372549019608,0.0411764705882353,0.00784313725490196,0.000980392156862745,0.0225490196078431
"SRR1502439",0.0450980392156863,0.0490196078431373,0.00980392156862745,0.0117647058823529,0.00784313725490196,0.227450980392157,0.000980392156862745,0.00392156862745098,0.00294117647058824,0.0549019607843137,0.000980392156862745,0.00588235294117647,0.355882352941176,0.105882352941176,0.00784313725490196,0.0656862745098039,0.0254901960784314,0.000980392156862745,0.000980392156862745,0.0166666666666667
"SRR1502440",0.184313725490196,0.0196078431372549,0.0196078431372549,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.0274509803921569,0.00686274509803922,0.00392156862745098,0.000980392156862745,0.00882352941176471,0.000980392156862745,0.698039215686274,0.00196078431372549,0.0137254901960784,0.000980392156862745,0.000980392156862745,0.000980392156862745,0.00686274509803922,0.000980392156862745
