"";"other";"acetobacteraceae";"bradyrhizobiaceae";"caulobacteraceae";"comamonadaceae";"hyphomicrobiaceae";"mycobacteriaceae";"oxalobacteraceae";"rhodospirillaceae";"sphingomonadaceae";"xanthomonadaceae"
"HARV_033-M-23-30-20140717";0.859624887483089;0.0164278719401405;0.0224407874421227;0.00919371766687821;0.00776504965531009;0.0397748340678691;0.00515497788617323;0.00568167682661527;0.019548000219874;0.00604420350712522;0.00834399330480252
"HARV_033-M-30-38-20140717";0.859662035131742;0.0162046589948185;0.022398877764536;0.00913630780675395;0.00782183084181148;0.0400606331755338;0.00515749911279155;0.00568253566009851;0.0194514589839067;0.00604416954909779;0.0083799929789094
"HARV_033-M-33-4-20140717";0.859623377718179;0.0164052071250725;0.0224475209496779;0.00918556579424614;0.00775505467607578;0.0398274911616201;0.00515746589055464;0.00567620284370193;0.0195450558925218;0.00603056353473739;0.00834649441361287
"HARV_033-O-23-30-20140717";0.859648419534852;0.0163990339635585;0.0224352291955457;0.00918413560905415;0.00776984945454583;0.0398015829332711;0.00516286150749637;0.00567415999530886;0.0195501005523287;0.00603401834835635;0.00834060890568216
"HARV_033-O-30-38-20140717";0.859662593984019;0.0163382919146762;0.022413385522426;0.00916264873078485;0.00779978154691396;0.0398588394985003;0.00515908605319295;0.00568732264978929;0.0195087856140772;0.00605093999602942;0.0083583244895907
"HARV_034-M-23-8-20140717";0.858082332037961;0.0165563398824249;0.0223114449545196;0.00911840132691413;0.00807932399111639;0.0401982620709982;0.00580505097129621;0.00620374697637036;0.0195844363137606;0.0055531827244214;0.00850747875021717
"HARV_034-M-31-3-20140717";0.858106950911787;0.0165933049245243;0.0223014527493299;0.0091193440718914;0.00807928903909534;0.0401185953083454;0.00581096530851024;0.00620333572375155;0.0196192425473637;0.00556181658055009;0.00848570283485132
"HARV_034-O-19-30-20140717";0.858098471357851;0.0166180484991285;0.02229286349801;0.00912605547983762;0.00807238477205554;0.0401283407263305;0.00580166759970616;0.00619722997913875;0.0196124849475568;0.00555871405398451;0.00849373908640109
"HARV_035-M-33-17-20140716";0.858750509619932;0.0165351422264483;0.0223805970693579;0.00914756931764145;0.0079346937948776;0.0400207797393915;0.005508496964468;0.00596621233690765;0.0195823332333839;0.00574907894990649;0.00842458674768509
"HARV_035-O-18-37-20140717";0.858832563206887;0.0164820599804903;0.0223543647651618;0.0091376953684521;0.00794411753383378;0.0399975524878103;0.00551426968426073;0.00596439910140785;0.0195685947845709;0.00577333801447201;0.00843104507265354
"JERC_001-M-1-6-20140805";0.861272940737077;0.0145043065510941;0.0219202363730343;0.00753419848082582;0.00908200702891377;0.0334768910621461;0.00702527185359406;0.00715045766605402;0.0249714308800252;0.00690689829196824;0.00615536107526721
"JERC_001-M-17-34-20140710";0.860302828908847;0.0156398910808709;0.0221128220195932;0.00780435117650642;0.00869489717930261;0.0331138344450064;0.00699643184251156;0.00711940687031087;0.0254331888538763;0.00663022778817924;0.0061521198349961
"JERC_001-M-29-2-20140710";0.860336523337729;0.0157176191979888;0.0221076569663814;0.00781835579787831;0.00867489615560699;0.0330020129942735;0.00699913539057739;0.00710870612520807;0.0254650094517447;0.00663276617351601;0.00613731840909546
"JERC_001-M-7-5-20140805";0.859933079946527;0.01613771751919;0.0221904790316585;0.00792914419224295;0.0085348696200153;0.0328885069288199;0.00698277516514952;0.00708386153222207;0.025629951623655;0.00654561082934687;0.00614400361117317
"JERC_001-M-9-17-20140805";0.860217680866;0.0158854889402531;0.0221608840207615;0.00786348594335801;0.00862038861263762;0.0329170991215912;0.00698278662411541;0.00709599924269632;0.0254947240085582;0.00660765610450002;0.00615380651552866
"JERC_002-M-11-0-20140805";0.85955005676534;0.0166015628939134;0.022260414829616;0.00802210584986612;0.00840555856238973;0.0327980524096637;0.00696157546479724;0.00707813874026441;0.0257499812495671;0.00642741137423852;0.00614514186034378
"JERC_002-M-12-7-20140710";0.860005084084602;0.0161195306496531;0.0221643907384579;0.00790832235522878;0.00856090209736985;0.0327922053222388;0.00698684999244788;0.00709784321475206;0.0256580101940194;0.00657231513597631;0.00613454621525352
"JERC_002-M-27-36-20140805";0.860735758070546;0.0151876331747588;0.0220304995161996;0.00770425249294678;0.00884725510593559;0.0331891304598211;0.00701980515220482;0.00712332116922596;0.0252570660151019;0.0067531316271834;0.00615214721607597
"JERC_002-M-35-24-20140710";0.859953535115924;0.01611375347907;0.0221852260207687;0.00791655721274592;0.00855309707280144;0.0329218492074867;0.00698203285800332;0.00709718142516442;0.0255850143582434;0.00654050786424264;0.00615124538554907
"JERC_003-M-1-7-20140805";0.859866224181297;0.0162894264856069;0.0221984279750303;0.00795615816291816;0.00849811224133004;0.0328300697011775;0.00697653310616034;0.00708417483185023;0.0256419765030989;0.00650927400543998;0.00614962280609081
"JERC_003-M-3-26-20140805";0.857630759383054;0.018713795203094;0.0226017122119577;0.00848122816649291;0.00782617596633684;0.0322434418570583;0.00691920671767266;0.00700361378210121;0.0264187392830716;0.00601092212868995;0.00615040530047102
"JERC_003-M-33-0-20140805";0.861255994866512;0.0145099351861969;0.0219093977818484;0.00754487115719089;0.0090773554528592;0.0334275089529779;0.00703783848179781;0.00714876668034951;0.0250217323522482;0.00691699164323037;0.00614960744478851
"JERC_005-M-24-40-20140805";0.859412650540221;0.0167643209706357;0.022282671517662;0.0080585215307815;0.00834940550280702;0.0327312258073942;0.00696368008839151;0.00707035214980736;0.0258187251886879;0.00639928455323918;0.00614916215037292
"JERC_005-M-33-2-20140805";0.860989845674231;0.0148822746421603;0.0219574813928183;0.00764653002538631;0.00895151220773056;0.0332916720178373;0.00701744463382264;0.00713947077853511;0.0251359993781543;0.00683101789051096;0.00615675135881271
"JERC_005-M-4-9-20140805";0.859774333488617;0.0162832412564139;0.0222385460129369;0.00794051542783837;0.0084975763435105;0.03289458945025;0.00698435045274235;0.00708619474271605;0.025668568598769;0.00648845765250035;0.0061436265737052
"JERC_006-M-15-33-20140710";0.860011558172729;0.0161318513512841;0.0221857738444106;0.00791805145370245;0.00854740181030858;0.0328317894985208;0.00698327442802536;0.00709340099134686;0.0255853260398599;0.00656477868466373;0.00614679372514827
"JERC_006-M-2-0-20140805";0.85864268030786;0.0176892984844546;0.0224357535793959;0.0082664525264272;0.00808916068956459;0.0324359220672952;0.00693778284401054;0.00703721565671302;0.0260861934517379;0.00623131479944507;0.00614822559309641
"JERC_006-M-21-39-20140710";0.859881146016079;0.0161352534028391;0.0222004417546078;0.00791149651797404;0.0085457266727673;0.0329178493388638;0.00698905181711001;0.00710268907365211;0.0256413200657018;0.00653272374178752;0.00614230159861737
"JERC_006-M-2-33-20140710";0.859936206135811;0.0161212040807913;0.0221682546896523;0.00791277760223017;0.00855727899001213;0.0329229970969591;0.00698943120936754;0.00709440475161565;0.0255989220825364;0.00654757180837937;0.00615095155264486
"JERC_006-M-39-30-20140805";0.860344419100836;0.0156981538062947;0.0221064082873192;0.00782693502619949;0.00867572826200306;0.0330407294842915;0.00698974858613795;0.00710600188417085;0.0254280126544177;0.00662891166746202;0.00615495124086795
"JERC_006-M-8-11-20140805";0.860045741172469;0.0159653848560463;0.0221519067719204;0.00787748252661007;0.00859056103244204;0.0329973614771941;0.00698351419437562;0.00710018889970018;0.0255745219089478;0.00656665161249483;0.0061466855477999
"JERC_008-M-23-30-20140805";0.86302762952696;0.0120262919998057;0.0213772352445323;0.00692280872809811;0.0101124972914705;0.0343062761884661;0.00711574729607566;0.00725773995993733;0.0240400240138834;0.00765639367647113;0.00615735607430002
"JERC_008-M-33-4-20140805";0.860405142328834;0.0155479721941613;0.0220965597232997;0.00778194262344126;0.00873261536280792;0.0330503353544435;0.0070014585926365;0.00711994098708283;0.0254426259837435;0.00668496932508629;0.00613643752446281
