"";"other";"cellulolytic"
"HARV_001-M-30-37-20140715";0.944153998631626;0.0558460013683741
"HARV_001-M-39-16-20140812";0.944052700746861;0.0559472992531394
"HARV_001-M-7-0-20140715";0.944112952959091;0.0558870470409091
"HARV_001-O-14-7-20140812";0.944127358833777;0.0558726411662232
"HARV_001-O-15-1-20140812";0.94406613291506;0.0559338670849395
"HARV_002-M-24-40-20140716";0.945431025514723;0.0545689744852767
"HARV_002-O-24-40-20140716";0.945503745527644;0.0544962544723556
"HARV_002-O-33-2-20140716";0.945434562865868;0.0545654371341317
"HARV_002-O-4-9-20140716";0.945448984781006;0.0545510152189941
"HARV_004-M-10-34-20140715";0.94813787236994;0.0518621276300602
"HARV_004-M-19-1-20140812";0.948105400920811;0.0518945990791886
"HARV_004-M-25-6-20140715";0.948091795888805;0.0519082041111948
"HARV_004-M-3-28-20140812";0.948080764002338;0.0519192359976619
"HARV_004-M-9-34-20140812";0.948204162560727;0.0517958374392726
"HARV_004-M-9-4-20140715";0.94812636798855;0.05187363201145
"HARV_004-O-10-34-20140715";0.948112559022158;0.0518874409778419
"HARV_004-O-19-1-20140812";0.948083558260957;0.0519164417390428
"HARV_004-O-25-6-20140715";0.948102248515634;0.0518977514843661
"HARV_004-O-3-28-20140812";0.948102056208648;0.0518979437913519
"HARV_004-O-9-34-20140812";0.948190021551557;0.0518099784484427
"HARV_010-M-2-0-20140715";0.943419015188118;0.0565809848118816
"HARV_010-M-39-30-20140715";0.943519806556427;0.056480193443573
"HARV_010-M-8-11-20140715";0.943565864899111;0.0564341351008889
"HARV_010-O-2-0-20140715";0.943445178272514;0.0565548217274861
"HARV_010-O-39-30-20140715";0.94354433294538;0.05645566705462
"HARV_010-O-8-11-20140715";0.943460190595062;0.0565398094049383
"HARV_013-M-0-13-20140812";0.943878029009428;0.0561219709905717
"HARV_013-M-14-6-20140812";0.943936878419456;0.0560631215805442
"HARV_013-M-15-7-20140717";0.943966039459634;0.0560339605403656
"HARV_013-M-28-3-20140812";0.94387146661721;0.05612853338279
"HARV_013-M-4-7-20140717";0.944046764850672;0.055953235149328
"HARV_013-O-0-13-20140812";0.943985139825118;0.056014860174882
"HARV_013-O-14-6-20140812";0.943919834241631;0.0560801657583694
"HARV_013-O-15-7-20140717";0.943895106703064;0.0561048932969358
"HARV_013-O-28-3-20140812";0.943953958234139;0.0560460417658613
"HARV_013-O-33-11-20140716";0.943838988761583;0.0561610112384169
"HARV_016-M-0-30-20140715";0.944478142863699;0.0555218571363011
"HARV_016-M-16-7-20140715";0.944410733015063;0.0555892669849369
"HARV_016-O-0-30-20140715";0.944315315132842;0.0556846848671582
"HARV_016-O-16-7-20140715";0.944425765657235;0.0555742343427649
"HARV_020-M-12-33-20140812";0.951989526460879;0.0480104735391214
"HARV_020-M-30-27-20140812";0.95194197520509;0.0480580247949102
"HARV_020-M-37-22-20140812";0.952002965132652;0.0479970348673484
"HARV_020-O-12-33-20140812";0.951974991812115;0.0480250081878846
