"";"other";"chitinolytic"
"DSNY_003-M-1-7-20140813";0.961081951807749;0.0389180481922514
"DSNY_003-M-3-26-20140813";0.96183976059864;0.0381602394013603
"DSNY_004-M-21-38-20140813";0.965457424290561;0.0345425757094388
"DSNY_004-M-33-4-20140814";0.964779901260144;0.035220098739856
"DSNY_005-M-24-40-20140818";0.960200284595923;0.0397997154040772
"DSNY_005-M-33-2-20140814";0.958155087237225;0.0418449127627749
"DSNY_009-M-17-34-20140701";0.962624987581012;0.0373750124189884
"DSNY_009-M-2-0-20140813";0.962758901591521;0.0372410984084786
"DSNY_009-M-29-2-20140701";0.96263683676068;0.0373631632393204
"DSNY_009-M-33-11-20140910";0.962627188688132;0.0373728113118675
"DSNY_009-M-8-11-20140813";0.962581874846638;0.0374181251533615
"DSNY_016-M-0-30-20140910";0.958033645996061;0.041966354003939
"DSNY_016-M-12-7-20140701";0.958095096835257;0.0419049031647434
"DSNY_016-M-16-7-20140910";0.958008855058567;0.0419911449414327
"DSNY_016-M-3-37-20140813";0.958189949643514;0.0418100503564861
"DSNY_016-M-35-24-20140701";0.957950047676629;0.0420499523233709
"DSNY_016-M-36-16-20140813";0.957856556081159;0.042143443918841
"DSNY_016-M-5-26-20140701";0.957971823715027;0.0420281762849732
"DSNY_016-M-6-12-20140813";0.956664367197905;0.0433356328020945
"DSNY_043-M-18-37-20140814";0.955770447747108;0.0442295522528924
"DSNY_043-M-2-27-20140814";0.950233058507731;0.0497669414922693
"DSNY_043-M-33-17-20140814";0.958472696486245;0.0415273035137545
"HARV_001-M-14-7-20140812";0.946227194878815;0.0537728051211848
"HARV_001-M-15-1-20140812";0.946249179846488;0.0537508201535124
"HARV_001-M-30-37-20140715";0.946317042009601;0.0536829579903989
"HARV_001-M-39-16-20140812";0.946220311604395;0.0537796883956052
"HARV_001-M-7-0-20140715";0.946294097349301;0.0537059026506986
"HARV_001-O-14-7-20140812";0.946234392219233;0.0537656077807673
"HARV_001-O-15-1-20140812";0.946344521433288;0.0536554785667125
"HARV_002-M-24-40-20140716";0.947596177701875;0.0524038222981249
"HARV_002-O-24-40-20140716";0.947674832131267;0.0523251678687327
"HARV_002-O-33-2-20140716";0.947535008317529;0.0524649916824715
"HARV_002-O-4-9-20140716";0.947452698001437;0.0525473019985625
"HARV_004-M-10-34-20140715";0.950212406807705;0.0497875931922953
"HARV_004-M-19-1-20140812";0.950307811006709;0.0496921889932908
"HARV_004-M-25-6-20140715";0.950346924950362;0.0496530750496379
"HARV_004-M-3-28-20140812";0.950236234278765;0.0497637657212351
"HARV_004-M-9-34-20140812";0.950363201789119;0.0496367982108811
"HARV_004-M-9-4-20140715";0.95025926818365;0.0497407318163499
"HARV_004-O-10-34-20140715";0.950282402085609;0.0497175979143914
"HARV_004-O-19-1-20140812";0.9502132359618;0.0497867640382
"HARV_004-O-25-6-20140715";0.950184528217796;0.0498154717822036
"HARV_004-O-3-28-20140812";0.950244547004514;0.049755452995486
"HARV_004-O-9-34-20140812";0.950199332252795;0.049800667747205
"HARV_010-M-2-0-20140715";0.945597028157494;0.054402971842506
"HARV_010-M-39-30-20140715";0.945726370487976;0.0542736295120237
"HARV_010-M-8-11-20140715";0.945520162522629;0.0544798374773707
"HARV_010-O-2-0-20140715";0.945598141160289;0.0544018588397114
"HARV_010-O-39-30-20140715";0.945579552807611;0.0544204471923889
"HARV_010-O-8-11-20140715";0.945497908060803;0.0545020919391969
"HARV_013-M-0-13-20140812";0.946083350743944;0.0539166492560565
"HARV_013-M-14-6-20140812";0.946006103940214;0.0539938960597857
"HARV_013-M-15-7-20140717";0.94590404215343;0.0540959578465696
"HARV_013-M-28-3-20140812";0.945961597346017;0.0540384026539829
"HARV_013-M-4-7-20140717";0.946053920179978;0.0539460798200215
"HARV_013-O-0-13-20140812";0.945894307816135;0.0541056921838646
"HARV_013-O-14-6-20140812";0.946072903462933;0.0539270965370669
"HARV_013-O-15-7-20140717";0.945968350400375;0.0540316495996247
"HARV_013-O-28-3-20140812";0.946048987231854;0.0539510127681458
"HARV_013-O-33-11-20140716";0.946025142846573;0.0539748571534266
"HARV_016-M-0-30-20140715";0.946888727694823;0.053111272305177
"HARV_016-M-16-7-20140715";0.947023910614981;0.052976089385019
"HARV_016-O-0-30-20140715";0.947063938944969;0.0529360610550315
"HARV_016-O-16-7-20140715";0.947023397085508;0.0529766029144923
"HARV_020-M-12-33-20140812";0.954548152850692;0.0454518471493077
"HARV_020-M-30-27-20140812";0.954609222175234;0.0453907778247659
"HARV_020-M-37-22-20140812";0.954504290178548;0.0454957098214521
"HARV_020-O-12-33-20140812";0.95455153750297;0.0454484624970296
"HARV_020-O-30-27-20140812";0.954568002553407;0.0454319974465926
"HARV_020-O-37-22-20140812";0.954415224707258;0.0455847752927423
"HARV_021-M-3-37-20140717";0.945611193955084;0.0543888060449165
"HARV_021-M-36-16-20140717";0.945508758982568;0.0544912410174315
"HARV_021-M-6-12-20140717";0.945551712554085;0.054448287445915
"HARV_021-O-3-37-20140717";0.945605749299359;0.0543942507006409
"HARV_021-O-36-16-20140717";0.945641125985217;0.0543588740147828
"HARV_033-M-23-30-20140717";0.947693177557031;0.0523068224429695
"HARV_033-M-30-38-20140717";0.947650725468171;0.0523492745318292
"HARV_033-M-33-4-20140717";0.947679160519972;0.0523208394800282
"HARV_033-O-23-30-20140717";0.94762993949981;0.0523700605001896
"HARV_033-O-30-38-20140717";0.947826638841257;0.0521733611587433
"HARV_034-M-23-8-20140717";0.946116159418638;0.0538838405813622
"HARV_034-M-31-3-20140717";0.946127169729826;0.0538728302701743
"HARV_034-O-19-30-20140717";0.946100118454266;0.0538998815457339
"HARV_035-M-33-17-20140716";0.946868887349292;0.0531311126507079
"HARV_035-O-18-37-20140717";0.946876111101427;0.0531238888985733
"JERC_001-M-1-6-20140805";0.94200289880145;0.0579971011985496
"JERC_001-M-17-34-20140710";0.943698975667129;0.0563010243328709
"JERC_001-M-29-2-20140710";0.943692184773791;0.0563078152262085
"JERC_001-M-7-5-20140805";0.944426830368543;0.0555731696314574
"JERC_001-M-9-17-20140805";0.944111831307488;0.0558881686925119
"JERC_002-M-11-0-20140805";0.944978643244466;0.0550213567555343
"JERC_002-M-12-7-20140710";0.944162133358929;0.0558378666410715
"JERC_002-M-27-36-20140805";0.943039932154039;0.056960067845961
"JERC_002-M-35-24-20140710";0.944264949166294;0.0557350508337065
