"";"other";"oligotroph"
"OSBS_003-M-17-9-20140818";0.430592712919133;0.569407287080867
"OSBS_003-M-29-37-20140701";0.431811314875627;0.568188685124373
"OSBS_003-M-29-37-20140818";0.430642981342239;0.569357018657761
"OSBS_003-M-9-11-20140701";0.430680458856492;0.569319541143508
"OSBS_003-M-9-11-20140818";0.437812635282314;0.562187364717686
"OSBS_022-M-15-33-20140701";0.391956647716358;0.608043352283642
"OSBS_022-M-21-39-20140701";0.38581516127669;0.61418483872331
"OSBS_022-M-2-33-20140701";0.39163742094977;0.60836257905023
"SCBI_002-M-1-6-20140715";0.545446951649085;0.454553048350915
"SCBI_002-M-26-3-20140618";0.547829446490517;0.452170553509483
"SCBI_002-M-7-5-20140715";0.540180489179904;0.459819510820096
"SCBI_002-M-9-17-20140715";0.549197316638829;0.450802683361171
"SCBI_003-M-11-0-20140715";0.515327888568682;0.484672111431318
"SCBI_003-M-13-6-20140618";0.521925151715508;0.478074848284492
"SCBI_003-M-27-36-20140715";0.518560821518073;0.481439178481927
"SCBI_003-M-30-5-20140715";0.491426094735584;0.508573905264416
"SCBI_003-M-35-24-20140618";0.53284447295666;0.46715552704334
"SCBI_003-M-5-26-20140618";0.543630897810651;0.456369102189349
"SCBI_006-M-15-7-20140827";0.536420113379738;0.463579886620262
"SCBI_006-M-1-7-20140715";0.551191079717553;0.448808920282447
"SCBI_006-M-17-9-20140618";0.550236310226052;0.449763689773948
"SCBI_006-M-27-2-20140715";0.550775657741114;0.449224342258886
"SCBI_006-M-29-37-20140618";0.541759799965605;0.458240200034395
"SCBI_006-M-3-26-20140715";0.539057207885199;0.460942792114801
"SCBI_006-M-33-11-20140826";0.538852808280012;0.461147191719988
"SCBI_006-M-4-7-20140826";0.537221751129106;0.462778248870894
"SCBI_006-M-9-11-20140618";0.539217948366405;0.460782051633595
"SCBI_012-M-0-30-20140825";0.540100500531655;0.459899499468345
"SCBI_012-M-15-33-20140618";0.554377408470037;0.445622591529963
"SCBI_012-M-16-7-20140825";0.54474840993643;0.45525159006357
"SCBI_012-M-21-38-20140715";0.531486697731774;0.468513302268226
"SCBI_012-M-21-39-20140618";0.550346497709616;0.449653502290384
"SCBI_012-M-23-28-20140825";0.545617712940732;0.454382287059268
"SCBI_012-M-2-33-20140618";0.549449497495435;0.450550502504565
"SCBI_012-M-33-4-20140715";0.549147544618393;0.450852455381607
"SCBI_033-M-36-16-20140826";0.543840600993372;0.456159399006628
"SCBI_033-M-4-38-20140826";0.532707982105908;0.467292017894092
"SCBI_033-M-6-12-20140826";0.53366075128591;0.46633924871409
"SCBI_045-M-23-30-20140825";0.530479722124055;0.469520277875945
"SCBI_045-M-30-38-20140825";0.531907895005121;0.468092104994879
"STER_005-M-0-30-20140820";0.609158918844058;0.390841081155942
"STER_005-M-16-7-20140820";0.616472661843161;0.383527338156839
"STER_005-M-23-38-20140820";0.611943942050638;0.388056057949362
"STER_006-M-1-6-20140722";0.579130075115805;0.420869924884195
"STER_006-M-22-32-20140820";0.582062861938875;0.417937138061125
