"";"other";"assim_nitrate_reduction"
"DSNY_016-M-16-7-20140910";0.98098796370727;0.0190120362927295
"DSNY_016-M-3-37-20140813";0.981046030834247;0.0189539691657533
"DSNY_016-M-35-24-20140701";0.980971250540094;0.0190287494599059
"DSNY_016-M-36-16-20140813";0.980896001523963;0.0191039984760373
"DSNY_016-M-5-26-20140701";0.980990256481855;0.0190097435181451
"DSNY_016-M-6-12-20140813";0.980258168515837;0.0197418314841626
"DSNY_043-M-18-37-20140814";0.979874252536722;0.0201257474632783
"DSNY_043-M-2-27-20140814";0.977199761691591;0.0228002383084092
"DSNY_043-M-33-17-20140814";0.981199789241891;0.0188002107581089
"HARV_001-M-14-7-20140812";0.973552225392907;0.0264477746070932
"HARV_001-M-15-1-20140812";0.973568564535843;0.026431435464157
"HARV_001-M-30-37-20140715";0.973535386825389;0.0264646131746111
"HARV_001-M-39-16-20140812";0.97353795853186;0.0264620414681396
"HARV_001-M-7-0-20140715";0.973540430563609;0.0264595694363912
"HARV_001-O-14-7-20140812";0.973513292919069;0.0264867070809307
"HARV_001-O-15-1-20140812";0.973558586357409;0.0264414136425908
"HARV_002-M-24-40-20140716";0.973842310010566;0.0261576899894336
"HARV_002-O-24-40-20140716";0.973785413515741;0.0262145864842593
"HARV_002-O-33-2-20140716";0.97379085040767;0.0262091495923296
"HARV_002-O-4-9-20140716";0.973743002789453;0.0262569972105465
"HARV_004-M-10-34-20140715";0.974381131173761;0.025618868826239
"HARV_004-M-19-1-20140812";0.974324098702248;0.0256759012977521
"HARV_004-M-25-6-20140715";0.974344927936015;0.0256550720639847
"HARV_004-M-3-28-20140812";0.974369999738695;0.0256300002613055
"HARV_004-M-9-34-20140812";0.974306818902407;0.0256931810975935
"HARV_004-M-9-4-20140715";0.974345506896758;0.0256544931032421
"HARV_004-O-10-34-20140715";0.974346265360746;0.0256537346392541
"HARV_004-O-19-1-20140812";0.974348334682805;0.0256516653171946
"HARV_004-O-25-6-20140715";0.974367971402981;0.0256320285970185
"HARV_004-O-3-28-20140812";0.974292484185905;0.0257075158140949
"HARV_004-O-9-34-20140812";0.974296282581264;0.0257037174187363
"HARV_010-M-2-0-20140715";0.973273031138688;0.0267269688613115
"HARV_010-M-39-30-20140715";0.973215259575655;0.026784740424345
"HARV_010-M-8-11-20140715";0.97330165485423;0.0266983451457697
"HARV_010-O-2-0-20140715";0.973341988789807;0.0266580112101925
"HARV_010-O-39-30-20140715";0.973275962269521;0.0267240377304795
"HARV_010-O-8-11-20140715";0.973281438126409;0.0267185618735908
"HARV_013-M-0-13-20140812";0.973525881161006;0.0264741188389943
"HARV_013-M-14-6-20140812";0.973437320251734;0.0265626797482665
"HARV_013-M-15-7-20140717";0.973339957777046;0.0266600422229538
"HARV_013-M-28-3-20140812";0.973493279479204;0.0265067205207963
"HARV_013-M-4-7-20140717";0.973414037673308;0.0265859623266916
"HARV_013-O-0-13-20140812";0.973380780829768;0.0266192191702322
"HARV_013-O-14-6-20140812";0.973427511787682;0.0265724882123181
"HARV_013-O-15-7-20140717";0.973442542038074;0.0265574579619255
"HARV_013-O-28-3-20140812";0.973433035798846;0.0265669642011537
"HARV_013-O-33-11-20140716";0.973377854731062;0.026622145268938
"HARV_016-M-0-30-20140715";0.973884223223057;0.0261157767769434
"HARV_016-M-16-7-20140715";0.973896030501386;0.0261039694986139
"HARV_016-O-0-30-20140715";0.973772710820765;0.026227289179235
"HARV_016-O-16-7-20140715";0.973912483247716;0.0260875167522838
"HARV_020-M-12-33-20140812";0.97540277095178;0.0245972290482201
"HARV_020-M-30-27-20140812";0.975355260848698;0.0246447391513025
"HARV_020-M-37-22-20140812";0.975473910640565;0.0245260893594348
"HARV_020-O-12-33-20140812";0.975432174730282;0.0245678252697176
"HARV_020-O-30-27-20140812";0.975380310732876;0.0246196892671235
"HARV_020-O-37-22-20140812";0.975384898290169;0.0246151017098311
"HARV_021-M-3-37-20140717";0.973303433240995;0.0266965667590048
"HARV_021-M-36-16-20140717";0.973206896913466;0.0267931030865343
"HARV_021-M-6-12-20140717";0.973310187844362;0.0266898121556379
"HARV_021-O-3-37-20140717";0.97338223643938;0.0266177635606203
"HARV_021-O-36-16-20140717";0.973163083298974;0.0268369167010255
"HARV_033-M-23-30-20140717";0.973872654369972;0.0261273456300282
