"";"other";"lignolytic"
"HARV_001-M-7-0-20140715";0.983489844164938;0.0165101558350615
"HARV_001-O-14-7-20140812";0.983499836051329;0.016500163948671
"HARV_001-O-15-1-20140812";0.983507457240599;0.0164925427594013
"HARV_002-M-24-40-20140716";0.983047855834375;0.0169521441656245
"HARV_002-O-24-40-20140716";0.983103151767084;0.0168968482329157
"HARV_002-O-33-2-20140716";0.983035239671843;0.0169647603281566
"HARV_002-O-4-9-20140716";0.983027273384056;0.0169727266159438
"HARV_004-M-10-34-20140715";0.98199336886183;0.0180066311381702
"HARV_004-M-19-1-20140812";0.981985602751349;0.0180143972486507
"HARV_004-M-25-6-20140715";0.981987398524488;0.018012601475512
"HARV_004-M-3-28-20140812";0.982028748746812;0.0179712512531881
"HARV_004-M-9-34-20140812";0.981990657967681;0.0180093420323185
"HARV_004-M-9-4-20140715";0.982005150748321;0.017994849251679
"HARV_004-O-10-34-20140715";0.981998680187858;0.0180013198121421
"HARV_004-O-19-1-20140812";0.981987544973545;0.0180124550264551
"HARV_004-O-25-6-20140715";0.981954296547269;0.0180457034527311
"HARV_004-O-3-28-20140812";0.981990247927792;0.018009752072208
"HARV_004-O-9-34-20140812";0.982005970439588;0.0179940295604118
"HARV_010-M-2-0-20140715";0.983570871894062;0.016429128105938
"HARV_010-M-39-30-20140715";0.983600563657742;0.0163994363422583
"HARV_010-M-8-11-20140715";0.983579446704018;0.0164205532959821
"HARV_010-O-2-0-20140715";0.983567402374091;0.0164325976259088
"HARV_010-O-39-30-20140715";0.983559780484673;0.0164402195153267
"HARV_010-O-8-11-20140715";0.983574345824782;0.0164256541752178
"HARV_013-M-0-13-20140812";0.983477361417146;0.016522638582854
"HARV_013-M-14-6-20140812";0.983470243732505;0.0165297562674949
"HARV_013-M-15-7-20140717";0.983483689116646;0.016516310883354
"HARV_013-M-28-3-20140812";0.98353069496207;0.0164693050379297
"HARV_013-M-4-7-20140717";0.983503308624624;0.0164966913753756
"HARV_013-O-0-13-20140812";0.983502747969923;0.0164972520300765
"HARV_013-O-14-6-20140812";0.983523878311097;0.0164761216889025
"HARV_013-O-15-7-20140717";0.983503868596284;0.0164961314037158
"HARV_013-O-28-3-20140812";0.983514094408533;0.0164859055914672
"HARV_013-O-33-11-20140716";0.983489882749013;0.0165101172509872
"HARV_016-M-0-30-20140715";0.983718941972212;0.0162810580277878
"HARV_016-M-16-7-20140715";0.983730615274131;0.0162693847258691
"HARV_016-O-0-30-20140715";0.983684127082255;0.0163158729177445
"HARV_016-O-16-7-20140715";0.983696424293716;0.016303575706284
"HARV_020-M-12-33-20140812";0.980582725938242;0.0194172740617579
