"";"other";"dissim_nitrate_reduction"
"HARV_034-O-19-30-20140717";0.872175558058904;0.127824441941096
"HARV_035-M-33-17-20140716";0.872992067330679;0.127007932669321
"HARV_035-O-18-37-20140717";0.873146806726109;0.126853193273891
"JERC_001-M-1-6-20140805";0.869764388243765;0.130235611756235
"JERC_001-M-17-34-20140710";0.870997771824;0.129002228176
"JERC_001-M-29-2-20140710";0.871210880835946;0.128789119164054
"JERC_001-M-7-5-20140805";0.871565336142872;0.128434663857127
"JERC_001-M-9-17-20140805";0.871491967936509;0.128508032063491
"JERC_002-M-11-0-20140805";0.872014510640375;0.127985489359625
"JERC_002-M-12-7-20140710";0.871426273751466;0.128573726248534
"JERC_002-M-27-36-20140805";0.87069873013623;0.12930126986377
"JERC_002-M-35-24-20140710";0.871503101520779;0.128496898479221
"JERC_003-M-1-7-20140805";0.871679176715402;0.128320823284598
"JERC_003-M-3-26-20140805";0.87388355256362;0.12611644743638
"JERC_003-M-33-0-20140805";0.869979989391441;0.130020010608559
"JERC_005-M-24-40-20140805";0.872199852904085;0.127800147095915
"JERC_005-M-33-2-20140805";0.870221697430556;0.129778302569444
"JERC_005-M-4-9-20140805";0.87175581884589;0.12824418115411
"JERC_006-M-15-33-20140710";0.871438423693968;0.128561576306032
"JERC_006-M-2-0-20140805";0.872967731107184;0.127032268892816
"JERC_006-M-21-39-20140710";0.871419260945609;0.128580739054391
"JERC_006-M-2-33-20140710";0.871560782190827;0.128439217809173
"JERC_006-M-39-30-20140805";0.871213750362253;0.128786249637746
"JERC_006-M-8-11-20140805";0.871419772531604;0.128580227468396
"JERC_008-M-23-30-20140805";0.86687829515187;0.13312170484813
"JERC_008-M-33-4-20140805";0.87085751497348;0.12914248502652
"JERC_047-M-3-32-20140805";0.871072518681402;0.128927481318598
"JERC_047-M-36-16-20140805";0.870565630962992;0.129434369037008
"JERC_047-M-6-12-20140805";0.870372921142272;0.129627078857728
"JERC_048-M-19-30-20140805";0.870729765209749;0.129270234790251
"JERC_048-M-27-8-20140805";0.871044339055917;0.128955660944083
"JERC_048-M-31-3-20140805";0.870704034160713;0.129295965839287
"JERC_049-M-18-17-20140805";0.871388766343988;0.128611233656012
"JERC_049-M-2-27-20140805";0.875221243671266;0.124778756328734
"ORNL_001-O-17-34-20140715";0.878237197804564;0.121762802195436
"ORNL_002-O-5-26-20140714";0.881528300452429;0.118471699547571
"ORNL_003-O-9-11-20140714";0.881435891153862;0.118564108846138
"ORNL_021-O-15-33-20140714";0.875820979350661;0.124179020649339
"ORNL_027-O-2-33-20140715";0.885224189836701;0.114775810163299
"ORNL_029-O-9-2-20140714";0.867104466257746;0.132895533742254
"ORNL_031-O-11-3-20140714";0.875126086585804;0.124873913414196
"ORNL_037-O-4-23-20140715";0.878594762407691;0.121405237592309
"ORNL_043-O-2-27-20140715";0.883507527296109;0.116492472703891
"OSBS_001-M-17-34-20140701";0.88750626092199;0.11249373907801
"OSBS_001-M-17-34-20140818";0.886552685367367;0.113447314632633
