"";"other";"methanotroph"
"HARV_004-M-25-6-20140715";0.990312537809896;0.00968746219010373
"HARV_004-M-3-28-20140812";0.990321110272412;0.00967888972758773
"HARV_004-M-9-34-20140812";0.990329417358159;0.00967058264184107
"HARV_004-M-9-4-20140715";0.990331676628591;0.00966832337140857
"HARV_004-O-10-34-20140715";0.990328941997745;0.00967105800225494
"HARV_004-O-19-1-20140812";0.990322900401733;0.00967709959826722
"HARV_004-O-25-6-20140715";0.990330280900873;0.0096697190991274
"HARV_004-O-3-28-20140812";0.990320305990127;0.00967969400987317
"HARV_004-O-9-34-20140812";0.990325575884624;0.00967442411537579
"HARV_010-M-2-0-20140715";0.990182299173042;0.00981770082695819
"HARV_010-M-39-30-20140715";0.99018133515966;0.00981866484034022
"HARV_010-M-8-11-20140715";0.990185845327755;0.00981415467224455
"HARV_010-O-2-0-20140715";0.990193055399571;0.00980694460042894
"HARV_010-O-39-30-20140715";0.990191589548361;0.00980841045163892
"HARV_010-O-8-11-20140715";0.990204771277757;0.00979522872224293
"HARV_013-M-0-13-20140812";0.990185193133818;0.00981480686618226
"HARV_013-M-14-6-20140812";0.99019126829063;0.00980873170936999
"HARV_013-M-15-7-20140717";0.9901978892131;0.00980211078689959
"HARV_013-M-28-3-20140812";0.990197597917562;0.00980240208243836
"HARV_013-M-4-7-20140717";0.990210189531756;0.00978981046824364
"HARV_013-O-0-13-20140812";0.990195780243185;0.00980421975681467
"HARV_013-O-14-6-20140812";0.99020205179742;0.00979794820258043
"HARV_013-O-15-7-20140717";0.990193085917553;0.00980691408244718
"HARV_013-O-28-3-20140812";0.990184055151216;0.00981594484878396
"HARV_013-O-33-11-20140716";0.990203455826298;0.00979654417370215
"HARV_016-M-0-30-20140715";0.989997942595166;0.0100020574048336
"HARV_016-M-16-7-20140715";0.989994415812853;0.0100055841871472
"HARV_016-O-0-30-20140715";0.989969491596836;0.0100305084031641
"HARV_016-O-16-7-20140715";0.990003526961039;0.00999647303896053
"HARV_020-M-12-33-20140812";0.990163657199529;0.00983634280047095
"HARV_020-M-30-27-20140812";0.990156350894452;0.00984364910554852
"HARV_020-M-37-22-20140812";0.990183023623737;0.00981697637626302
"HARV_020-O-12-33-20140812";0.990181977279595;0.00981802272040482
"HARV_020-O-30-27-20140812";0.990181919511672;0.00981808048832824
"HARV_020-O-37-22-20140812";0.990163025101565;0.00983697489843523
"HARV_021-M-3-37-20140717";0.990176643715065;0.00982335628493547
"HARV_021-M-36-16-20140717";0.990193979955828;0.00980602004417183
"HARV_021-M-6-12-20140717";0.990180260597864;0.00981973940213559
"HARV_021-O-3-37-20140717";0.99018722420544;0.00981277579455985
"HARV_021-O-36-16-20140717";0.990204537627556;0.00979546237244353
"HARV_033-M-23-30-20140717";0.990202574141101;0.00979742585889871
"HARV_033-M-30-38-20140717";0.990207489224344;0.00979251077565617
"HARV_033-M-33-4-20140717";0.990185864265945;0.00981413573405525
"HARV_033-O-23-30-20140717";0.990206552265727;0.00979344773427322
"HARV_033-O-30-38-20140717";0.990194416122872;0.00980558387712805
"HARV_034-M-23-8-20140717";0.990186375806736;0.00981362419326451
"HARV_034-M-31-3-20140717";0.990174847528879;0.00982515247112147
"HARV_034-O-19-30-20140717";0.990198462860817;0.0098015371391833
"HARV_035-M-33-17-20140716";0.990175268394875;0.00982473160512464
"HARV_035-O-18-37-20140717";0.990216342767057;0.00978365723294355
"JERC_001-M-1-6-20140805";0.994014814620894;0.00598518537910595
"JERC_001-M-17-34-20140710";0.993768360314184;0.00623163968581557
"JERC_001-M-29-2-20140710";0.993767994076642;0.00623200592335847
"JERC_001-M-7-5-20140805";0.993677025981199;0.00632297401880089
"JERC_001-M-9-17-20140805";0.993729166803759;0.00627083319624102
"JERC_002-M-11-0-20140805";0.993585636564594;0.00641436343540636
"JERC_002-M-12-7-20140710";0.993678567048933;0.00632143295106697
"JERC_002-M-27-36-20140805";0.993884980957697;0.00611501904230295
"JERC_002-M-35-24-20140710";0.993702338582927;0.00629766141707286
"JERC_003-M-1-7-20140805";0.993635457156809;0.0063645428431908
"JERC_003-M-3-26-20140805";0.993148218152424;0.00685178184757556
"JERC_003-M-33-0-20140805";0.994010192469134;0.00598980753086613
"JERC_005-M-24-40-20140805";0.993546052640335;0.00645394735966503
"JERC_005-M-33-2-20140805";0.993937614184984;0.00606238581501572
"JERC_005-M-4-9-20140805";0.993646647727948;0.00635335227205159
"JERC_006-M-15-33-20140710";0.993686067701427;0.00631393229857286
"JERC_006-M-2-0-20140805";0.993361348050248;0.00663865194975204
"JERC_006-M-21-39-20140710";0.993685454035109;0.00631454596489072
"JERC_006-M-2-33-20140710";0.993676936043971;0.00632306395602943
"JERC_006-M-39-30-20140805";0.993758869897675;0.00624113010232501
"JERC_006-M-8-11-20140805";0.993713957747998;0.00628604225200247
"JERC_008-M-23-30-20140805";0.994577887800492;0.00542211219950818
"JERC_008-M-33-4-20140805";0.993810518073738;0.00618948192626213
"JERC_047-M-3-32-20140805";0.993836300165983;0.00616369983401658
"JERC_047-M-36-16-20140805";0.993937696116287;0.00606230388371347
"JERC_047-M-6-12-20140805";0.993957846489241;0.00604215351075891
"JERC_048-M-19-30-20140805";0.993929726041923;0.00607027395807713
"JERC_048-M-27-8-20140805";0.993839393923731;0.00616060607626923
"JERC_048-M-31-3-20140805";0.993890601451287;0.00610939854871331
"JERC_049-M-18-17-20140805";0.993747548632088;0.00625245136791239
"JERC_049-M-2-27-20140805";0.992912553843836;0.00708744615616437
"ORNL_001-O-17-34-20140715";0.991852006305561;0.00814799369443853
"ORNL_002-O-5-26-20140714";0.991959668814342;0.0080403311856578
"ORNL_003-O-9-11-20140714";0.990616874176477;0.00938312582352253
"ORNL_021-O-15-33-20140714";0.993729653000228;0.00627034699977242
"ORNL_027-O-2-33-20140715";0.991831250074541;0.00816874992545926
"ORNL_029-O-9-2-20140714";0.994706653173692;0.00529334682630839
"ORNL_031-O-11-3-20140714";0.994514555459567;0.00548544454043339
"ORNL_037-O-4-23-20140715";0.991272980086115;0.00872701991388547
"ORNL_043-O-2-27-20140715";0.989959042477319;0.0100409575226814
"OSBS_001-M-17-34-20140701";0.990445701439925;0.00955429856007528
"OSBS_001-M-17-34-20140818";0.99081117806138;0.00918882193861954
