"";"other";"acidobacteria";"actinobacteria";"bacteroidetes";"chloroflexi";"firmicutes";"gemmatimonadetes";"nitrospirae";"planctomycetes";"proteobacteria";"verrucomicrobia"
"JERC_001-M-7-5-20140805";0.0563080981696175;0.263841151130067;0.108019831404515;0.0443087494755098;0.0377566973865079;0.0224621809817027;0.0232846997751225;0.00627441780718734;0.0323767730075222;0.360814169261648;0.0445532316006009
"JERC_001-M-9-17-20140805";0.0561986090892762;0.261526627917382;0.108256593263339;0.0447048845654672;0.0378647498736316;0.0225898678390056;0.0233995671837878;0.00636037836969193;0.0323401774422868;0.36209996849653;0.0446585759596019
"JERC_002-M-11-0-20140805";0.0565028682808289;0.267236887115558;0.107351549769297;0.043754011753272;0.0373929981288108;0.022204212211942;0.0230700638495144;0.0061877741445354;0.0322023956562236;0.359517737639062;0.0445795014509552
"JERC_002-M-12-7-20140710";0.056266183507353;0.26290893692871;0.108047691801357;0.0444641734990643;0.0377268836445139;0.0225235874308542;0.0233281062413584;0.00632464983153194;0.032318909845594;0.361461561521395;0.0446293157482679
"JERC_002-M-27-36-20140805";0.0559193706237123;0.25621963093866;0.109100609226922;0.0455856665523649;0.0383830071929323;0.0229523288170299;0.0237347203489094;0.00651243145032998;0.0324805304269642;0.364415035408555;0.0446966690136198
"JERC_002-M-35-24-20140710";0.0562750913865852;0.262760342592455;0.108061761787373;0.0444983791754459;0.0377793533013987;0.0224923545021205;0.0233372746678906;0.0063335310464911;0.0323126364276302;0.361498642193228;0.044650632919382
"JERC_003-M-1-7-20140805";0.056382213056545;0.264779958221842;0.107830979832476;0.0441880739865216;0.0375937491134289;0.0223805865465586;0.0232044198414945;0.00626092215222154;0.032260704620444;0.360539003719153;0.0445793889093142
"JERC_003-M-3-26-20140805";0.057263081446922;0.283083234850047;0.105120808575079;0.0411981707580041;0.036080344761434;0.0212150503646631;0.0221373445896438;0.00573101636049061;0.0318612190617914;0.352032095323341;0.0442776339085835
"JERC_003-M-33-0-20140805";0.0556472835588801;0.250561214021681;0.109968578396465;0.0466257775715696;0.0387727948348341;0.0233019254832801;0.0240954306671772;0.00669485401469252;0.0325620243134197;0.36700052327393;0.0447695938640707
"JERC_005-M-24-40-20140805";0.0565851587461735;0.268608453270075;0.107234070612112;0.0435225716032542;0.0372840273972709;0.0221183987582496;0.022991725405593;0.00614138763025584;0.0322305079596022;0.35876449399393;0.0445192046234839
"JERC_005-M-33-2-20140805";0.0557908757727356;0.253616515857918;0.109368950770121;0.046067569592071;0.0386109248468929;0.0231217188314021;0.0238820896574687;0.00659667029432867;0.0325456840740907;0.365679563871897;0.0447194364310748
"JERC_005-M-4-9-20140805";0.0563651421443946;0.264876699729256;0.107803930630165;0.0441194934326106;0.0376058046714489;0.0223600190154416;0.0232246148959209;0.00624975061632351;0.0323090511524975;0.360507859568408;0.0445776341435333
"JERC_006-M-15-33-20140710";0.0563159620566109;0.263552457169807;0.10793383363433;0.0443783257557645;0.037737581891708;0.0224751816092152;0.0232872480314277;0.00630187210133463;0.0323014032616771;0.361129128483902;0.044587006004223
"JERC_006-M-2-0-20140805";0.056887201353379;0.27550852431984;0.10620892125459;0.0424133173833383;0.0366722920884583;0.0216897002379182;0.0225729399941035;0.00594951710390333;0.0320492394201956;0.355631457380576;0.0444168894636978
"JERC_006-M-21-39-20140710";0.0563351084393386;0.263430030107627;0.107956859349218;0.0444013758836272;0.0377410761421869;0.0224671660547223;0.0233013567255915;0.006304367483842;0.0322941856275547;0.36119335414128;0.0445751200450119
"JERC_006-M-2-33-20140710";0.0562916995268377;0.263120827571039;0.108046465020632;0.0444139473267147;0.0377687063397648;0.0224811792973002;0.0233065001143144;0.00630187716903641;0.032346953932257;0.361312002537854;0.0446098411642496
"JERC_006-M-39-30-20140805";0.0561779474555706;0.26033448246279;0.108421058572499;0.0449182549184969;0.0380383926617445;0.0226619877345566;0.0234880976831923;0.00639394209223561;0.0323753199255125;0.362571418239865;0.044619098253537
"JERC_006-M-8-11-20140805";0.0562364434077457;0.26227794494539;0.108152003011674;0.0445918681930062;0.0377681700275044;0.022541890248839;0.0233662548967637;0.00634774591159643;0.0323224570879777;0.361750998653357;0.0446442236161456
"JERC_008-M-23-30-20140805";0.0542529834384257;0.228498357470954;0.112932904546414;0.0507916590552575;0.0409037458106464;0.0249079195442557;0.0255215002062237;0.0074614678476017;0.0330297007650178;0.376775355844445;0.0449244054707586
"JERC_008-M-33-4-20140805";0.0560547845562392;0.258489776692815;0.108734779487101;0.0452383379073238;0.0381047308195591;0.0227815884137975;0.0236134559475361;0.00645074419581449;0.0324059816017345;0.363436333260503;0.0446894871175774
"JERC_047-M-3-32-20140805";0.0560327673395461;0.255763615646985;0.110505584738875;0.0454318753535729;0.0386437257086088;0.0227824952605818;0.02335640419756;0.00646532633014279;0.0323610185684021;0.363916518639819;0.0447406682159069
"JERC_047-M-36-16-20140805";0.055859190518609;0.252098843079022;0.111174601541234;0.0460921144325598;0.0389465891287022;0.0229855880818443;0.0235642737851759;0.00656451306092557;0.0324605139006212;0.365438406083778;0.0448153663875289
