"";"other";"denitrification"
"HARV_001-M-7-0-20140715";0.891209799712862;0.108790200287138
"HARV_001-O-14-7-20140812";0.890925229027006;0.109074770972994
"HARV_001-O-15-1-20140812";0.891280370594275;0.108719629405725
"HARV_002-M-24-40-20140716";0.893234815367547;0.106765184632453
"HARV_002-O-24-40-20140716";0.893167802101558;0.106832197898442
"HARV_002-O-33-2-20140716";0.893198286819489;0.106801713180511
"HARV_002-O-4-9-20140716";0.892823808552508;0.107176191447492
"HARV_004-M-10-34-20140715";0.897023585072504;0.102976414927495
"HARV_004-M-19-1-20140812";0.897104883971365;0.102895116028635
"HARV_004-M-25-6-20140715";0.896857273991697;0.103142726008303
"HARV_004-M-3-28-20140812";0.896820342774253;0.103179657225747
"HARV_004-M-9-34-20140812";0.896977282933681;0.103022717066319
"HARV_004-M-9-4-20140715";0.896931269388349;0.103068730611651
"HARV_004-O-10-34-20140715";0.89683822391126;0.10316177608874
"HARV_004-O-19-1-20140812";0.896912002923009;0.103087997076991
"HARV_004-O-25-6-20140715";0.896964910313124;0.103035089686876
"HARV_004-O-3-28-20140812";0.896866041704588;0.103133958295412
"HARV_004-O-9-34-20140812";0.89691737129456;0.10308262870544
"HARV_010-M-2-0-20140715";0.890141820336925;0.109858179663075
"HARV_010-M-39-30-20140715";0.890121666454223;0.109878333545777
"HARV_010-M-8-11-20140715";0.890214635771681;0.109785364228319
"HARV_010-O-2-0-20140715";0.890156418592324;0.109843581407676
"HARV_010-O-39-30-20140715";0.889956021987688;0.110043978012312
"HARV_010-O-8-11-20140715";0.890197913256711;0.109802086743289
"HARV_013-M-0-13-20140812";0.890915089387084;0.109084910612916
"HARV_013-M-14-6-20140812";0.890742420647106;0.109257579352894
"HARV_013-M-15-7-20140717";0.89070943801921;0.10929056198079
"HARV_013-M-28-3-20140812";0.890623436050371;0.109376563949629
"HARV_013-M-4-7-20140717";0.890524184457365;0.109475815542635
"HARV_013-O-0-13-20140812";0.890837129269426;0.109162870730574
"HARV_013-O-14-6-20140812";0.890933967058276;0.109066032941724
"HARV_013-O-15-7-20140717";0.890519102321786;0.109480897678214
"HARV_013-O-28-3-20140812";0.89084628189963;0.10915371810037
"HARV_013-O-33-11-20140716";0.890747917739326;0.109252082260674
"HARV_016-M-0-30-20140715";0.891993098439334;0.108006901560666
"HARV_016-M-16-7-20140715";0.892072171013108;0.107927828986892
"HARV_016-O-0-30-20140715";0.892013072192373;0.107986927807627
"HARV_016-O-16-7-20140715";0.891697769166972;0.108302230833028
"HARV_020-M-12-33-20140812";0.903085982826465;0.0969140171735351
"HARV_020-M-30-27-20140812";0.903210646748933;0.0967893532510665
"HARV_020-M-37-22-20140812";0.903327743606421;0.0966722563935789
"HARV_020-O-12-33-20140812";0.903129722272147;0.0968702777278533
"HARV_020-O-30-27-20140812";0.90316089501788;0.0968391049821196
"HARV_020-O-37-22-20140812";0.903267435507979;0.096732564492021
"HARV_021-M-3-37-20140717";0.890189646343375;0.109810353656625
"HARV_021-M-36-16-20140717";0.890245175438126;0.109754824561874
"HARV_021-M-6-12-20140717";0.890082289913137;0.109917710086863
"HARV_021-O-3-37-20140717";0.890376045114775;0.109623954885225
"HARV_021-O-36-16-20140717";0.890260047564673;0.109739952435327
"HARV_033-M-23-30-20140717";0.893312527533685;0.106687472466315
"HARV_033-M-30-38-20140717";0.893195093790481;0.106804906209519
"HARV_033-M-33-4-20140717";0.892789908721933;0.107210091278067
"HARV_033-O-23-30-20140717";0.893244678225912;0.106755321774088
"HARV_033-O-30-38-20140717";0.893206606684213;0.106793393315787
"HARV_034-M-23-8-20140717";0.891129191927393;0.108870808072607
"HARV_034-M-31-3-20140717";0.890608080285211;0.109391919714789
"HARV_034-O-19-30-20140717";0.891194854238673;0.108805145761327
"HARV_035-M-33-17-20140716";0.892162430233552;0.107837569766448
