"";"other";"copiotroph"
"DSNY_009-M-33-11-20140910";0.567775678702978;0.432224321297022
"DSNY_009-M-8-11-20140813";0.567878162672421;0.432121837327579
"DSNY_016-M-0-30-20140910";0.555112745609034;0.444887254390966
"DSNY_016-M-12-7-20140701";0.555166845680389;0.444833154319611
"DSNY_016-M-16-7-20140910";0.555155376212462;0.444844623787537
"DSNY_016-M-3-37-20140813";0.555517657759381;0.444482342240619
"DSNY_016-M-35-24-20140701";0.555133023800046;0.444866976199954
"DSNY_016-M-36-16-20140813";0.554350020833199;0.445649979166801
"DSNY_016-M-5-26-20140701";0.555057477954606;0.444942522045394
"DSNY_016-M-6-12-20140813";0.551124262746152;0.448875737253848
"DSNY_043-M-18-37-20140814";0.549118061458536;0.450881938541464
"DSNY_043-M-2-27-20140814";0.535389099249347;0.464610900750653
"DSNY_043-M-33-17-20140814";0.556200995119968;0.443799004880032
"HARV_001-M-14-7-20140812";0.527903739692468;0.472096260307533
"HARV_001-M-15-1-20140812";0.527510349211833;0.472489650788167
"HARV_001-M-30-37-20140715";0.527744329161625;0.472255670838375
"HARV_001-M-39-16-20140812";0.527628719129586;0.472371280870414
"HARV_001-M-7-0-20140715";0.527709062912017;0.472290937087983
"HARV_001-O-14-7-20140812";0.528080933513128;0.471919066486872
"HARV_001-O-15-1-20140812";0.528069928891564;0.471930071108436
"HARV_002-M-24-40-20140716";0.516021228825643;0.483978771174357
"HARV_002-O-24-40-20140716";0.515353961051783;0.484646038948217
"HARV_002-O-33-2-20140716";0.516036195727994;0.483963804272006
"HARV_002-O-4-9-20140716";0.515472079127657;0.484527920872343
"HARV_004-M-10-34-20140715";0.487877652450668;0.512122347549332
"HARV_004-M-19-1-20140812";0.488099272377905;0.511900727622095
"HARV_004-M-25-6-20140715";0.488207199099467;0.511792800900533
"HARV_004-M-3-28-20140812";0.488075989594393;0.511924010405607
"HARV_004-M-9-34-20140812";0.487739539642154;0.512260460357846
"HARV_004-M-9-4-20140715";0.48802183765926;0.51197816234074
"HARV_004-O-10-34-20140715";0.488101593898865;0.511898406101135
"HARV_004-O-19-1-20140812";0.488103358435608;0.511896641564392
"HARV_004-O-25-6-20140715";0.488161212376785;0.511838787623215
"HARV_004-O-3-28-20140812";0.488102502743502;0.511897497256498
"HARV_004-O-9-34-20140812";0.487996655018093;0.512003344981907
"HARV_010-M-2-0-20140715";0.531719647425872;0.468280352574128
"HARV_010-M-39-30-20140715";0.532057892170061;0.467942107829939
"HARV_010-M-8-11-20140715";0.532181705595179;0.467818294404821
"HARV_010-O-2-0-20140715";0.531697553797221;0.468302446202779
"HARV_010-O-39-30-20140715";0.5320881835276;0.4679118164724
"HARV_010-O-8-11-20140715";0.531980248407185;0.468019751592815
"HARV_013-M-0-13-20140812";0.528408260896227;0.471591739103773
"HARV_013-M-14-6-20140812";0.528046658852362;0.471953341147638
"HARV_013-M-15-7-20140717";0.528153128675275;0.471846871324725
"HARV_013-M-28-3-20140812";0.528489727909822;0.471510272090179
"HARV_013-M-4-7-20140717";0.528060645438292;0.471939354561708
"HARV_013-O-0-13-20140812";0.52856340637911;0.47143659362089
"HARV_013-O-14-6-20140812";0.528172643956993;0.471827356043007
"HARV_013-O-15-7-20140717";0.528174912010041;0.471825087989959
"HARV_013-O-28-3-20140812";0.528053355615539;0.471946644384461
"HARV_013-O-33-11-20140716";0.527904819520261;0.472095180479739
"HARV_016-M-0-30-20140715";0.528985670534643;0.471014329465357
"HARV_016-M-16-7-20140715";0.528421699376013;0.471578300623987
"HARV_016-O-0-30-20140715";0.528411883108148;0.471588116891852
"HARV_016-O-16-7-20140715";0.530075412523622;0.469924587476378
"HARV_020-M-12-33-20140812";0.45171976406681;0.54828023593319
