"";"other";"n_fixation"
"HARV_002-O-24-40-20140716";0.838209747573955;0.161790252426044
"HARV_002-O-33-2-20140716";0.838085269327458;0.161914730672542
"HARV_002-O-4-9-20140716";0.838283569001159;0.161716430998841
"HARV_004-M-10-34-20140715";0.835873707032876;0.164126292967124
"HARV_004-M-19-1-20140812";0.835922226917392;0.164077773082608
"HARV_004-M-25-6-20140715";0.835879400386322;0.164120599613678
"HARV_004-M-3-28-20140812";0.835907684767132;0.164092315232868
"HARV_004-M-9-34-20140812";0.835955586470362;0.164044413529638
"HARV_004-M-9-4-20140715";0.835894673880366;0.164105326119634
"HARV_004-O-10-34-20140715";0.835963759612012;0.164036240387988
"HARV_004-O-19-1-20140812";0.83591241107748;0.16408758892252
"HARV_004-O-25-6-20140715";0.835885955674114;0.164114044325886
"HARV_004-O-3-28-20140812";0.835917572614397;0.164082427385603
"HARV_004-O-9-34-20140812";0.835957708721868;0.164042291278132
"HARV_010-M-2-0-20140715";0.839427986186735;0.160572013813265
"HARV_010-M-39-30-20140715";0.839568717486658;0.160431282513342
"HARV_010-M-8-11-20140715";0.839376276094819;0.160623723905181
"HARV_010-O-2-0-20140715";0.839549302004002;0.160450697995998
"HARV_010-O-39-30-20140715";0.839582452024854;0.160417547975146
"HARV_010-O-8-11-20140715";0.839383046083361;0.160616953916639
"HARV_013-M-0-13-20140812";0.839282325930662;0.160717674069338
"HARV_013-M-14-6-20140812";0.839243825166866;0.160756174833134
"HARV_013-M-15-7-20140717";0.839327736495505;0.160672263504495
"HARV_013-M-28-3-20140812";0.839343427216624;0.160656572783376
"HARV_013-M-4-7-20140717";0.839305333783164;0.160694666216836
"HARV_013-O-0-13-20140812";0.839242861514859;0.160757138485141
"HARV_013-O-14-6-20140812";0.839283014387866;0.160716985612134
"HARV_013-O-15-7-20140717";0.839300947582113;0.160699052417887
"HARV_013-O-28-3-20140812";0.839331517163731;0.160668482836269
"HARV_013-O-33-11-20140716";0.83927233880363;0.16072766119637
"HARV_016-M-0-30-20140715";0.839150855409602;0.160849144590398
"HARV_016-M-16-7-20140715";0.839361023911163;0.160638976088837
"HARV_016-O-0-30-20140715";0.839272363054331;0.160727636945669
"HARV_016-O-16-7-20140715";0.83933077552779;0.16066922447221
"HARV_020-M-12-33-20140812";0.832514973433633;0.167485026566367
"HARV_020-M-30-27-20140812";0.832517078420687;0.167482921579312
"HARV_020-M-37-22-20140812";0.832606413930919;0.167393586069081
"HARV_020-O-12-33-20140812";0.832570911839394;0.167429088160606
"HARV_020-O-30-27-20140812";0.832559855660268;0.167440144339732
"HARV_020-O-37-22-20140812";0.832555288582826;0.167444711417174
"HARV_021-M-3-37-20140717";0.839416005117141;0.160583994882859
"HARV_021-M-36-16-20140717";0.839525538631355;0.160474461368645
"HARV_021-M-6-12-20140717";0.839517188959372;0.160482811040628
"HARV_021-O-3-37-20140717";0.839451562827324;0.160548437172676
"HARV_021-O-36-16-20140717";0.839322647069584;0.160677352930416
"HARV_033-M-23-30-20140717";0.838171907642499;0.161828092357501
"HARV_033-M-30-38-20140717";0.838168953750466;0.161831046249534
"HARV_033-M-33-4-20140717";0.838209879691706;0.161790120308294
"HARV_033-O-23-30-20140717";0.838158209514467;0.161841790485533
"HARV_033-O-30-38-20140717";0.838141944134186;0.161858055865814
"HARV_034-M-23-8-20140717";0.83920307443989;0.16079692556011
"HARV_034-M-31-3-20140717";0.839124625833188;0.160875374166812
"HARV_034-O-19-30-20140717";0.839170719233182;0.160829280766818
"HARV_035-M-33-17-20140716";0.83868483832029;0.16131516167971
