"";"other";"nitrification"
"HARV_010-M-39-30-20140715";0.98637083395067;0.0136291660493297
"HARV_010-M-8-11-20140715";0.986472198798837;0.0135278012011627
"HARV_010-O-2-0-20140715";0.986432890003679;0.0135671099963206
"HARV_010-O-39-30-20140715";0.986512838589519;0.0134871614104813
"HARV_010-O-8-11-20140715";0.986460358807056;0.0135396411929443
"HARV_013-M-0-13-20140812";0.986886479713008;0.0131135202869923
"HARV_013-M-14-6-20140812";0.986911192963569;0.0130888070364309
"HARV_013-M-15-7-20140717";0.986934363240818;0.0130656367591823
"HARV_013-M-28-3-20140812";0.986866667515424;0.013133332484576
"HARV_013-M-4-7-20140717";0.986926204368041;0.0130737956319591
"HARV_013-O-0-13-20140812";0.986932291951651;0.0130677080483493
"HARV_013-O-14-6-20140812";0.98691167699771;0.0130883230022901
"HARV_013-O-15-7-20140717";0.98691945658831;0.0130805434116896
"HARV_013-O-28-3-20140812";0.986955435433177;0.0130445645668234
"HARV_013-O-33-11-20140716";0.986852224754918;0.0131477752450818
"HARV_016-M-0-30-20140715";0.987116626976895;0.0128833730231055
"HARV_016-M-16-7-20140715";0.987201255877529;0.0127987441224713
"HARV_016-O-0-30-20140715";0.987215702835267;0.0127842971647333
"HARV_016-O-16-7-20140715";0.987216987790067;0.012783012209933
"HARV_020-M-12-33-20140812";0.993538198749213;0.00646180125078712
"HARV_020-M-30-27-20140812";0.99354432388708;0.00645567611291976
"HARV_020-M-37-22-20140812";0.993528732012878;0.0064712679871216
"HARV_020-O-12-33-20140812";0.993510958521695;0.00648904147830493
"HARV_020-O-30-27-20140812";0.99350761340479;0.00649238659520968
"HARV_020-O-37-22-20140812";0.99350876704652;0.00649123295348047
"HARV_021-M-3-37-20140717";0.986507519726186;0.0134924802738137
"HARV_021-M-36-16-20140717";0.986558752593183;0.0134412474068172
"HARV_021-M-6-12-20140717";0.986464010877794;0.0135359891222062
"HARV_021-O-3-37-20140717";0.986492569076349;0.0135074309236507
"HARV_021-O-36-16-20140717";0.986497957834936;0.0135020421650641
"HARV_033-M-23-30-20140717";0.988457138011799;0.0115428619882014
"HARV_033-M-30-38-20140717";0.988514004213262;0.0114859957867376
"HARV_033-M-33-4-20140717";0.988523697833917;0.0114763021660827
"HARV_033-O-23-30-20140717";0.988514135836489;0.0114858641635112
"HARV_033-O-30-38-20140717";0.988504316316195;0.0114956836838048
"HARV_034-M-23-8-20140717";0.987097161796894;0.0129028382031056
"HARV_034-M-31-3-20140717";0.98708076711877;0.0129192328812296
"HARV_034-O-19-30-20140717";0.987063573877846;0.0129364261221542
"HARV_035-M-33-17-20140716";0.98769346531874;0.0123065346812596
"HARV_035-O-18-37-20140717";0.987752922758716;0.0122470772412841
"JERC_001-M-1-6-20140805";0.986705880174272;0.0132941198257282
"JERC_001-M-17-34-20140710";0.987019925262263;0.0129800747377368
"JERC_001-M-29-2-20140710";0.987017143482638;0.0129828565173625
"JERC_001-M-7-5-20140805";0.987220161347657;0.0127798386523434
"JERC_001-M-9-17-20140805";0.987082098251404;0.0129179017485962
"JERC_002-M-11-0-20140805";0.987358393310009;0.0126416066899906
"JERC_002-M-12-7-20140710";0.98721002866264;0.0127899713373601
"JERC_002-M-27-36-20140805";0.986886022308505;0.0131139776914948
"JERC_002-M-35-24-20140710";0.987147008170971;0.0128529918290292
"JERC_003-M-1-7-20140805";0.987264889453868;0.0127351105461322
"JERC_003-M-3-26-20140805";0.987887006160495;0.012112993839505
"JERC_003-M-33-0-20140805";0.986671039684858;0.0133289603151418
"JERC_005-M-24-40-20140805";0.98739460835454;0.0126053916454602
"JERC_005-M-33-2-20140805";0.986787500727971;0.0132124992720295
"JERC_005-M-4-9-20140805";0.987172972702028;0.0128270272979722
"JERC_006-M-15-33-20140710";0.987171015589433;0.0128289844105673
"JERC_006-M-2-0-20140805";0.98763557790451;0.01236442209549
"JERC_006-M-21-39-20140710";0.987149993310447;0.0128500066895535
