"";"other";"dissim_nitrite_reduction"
"JERC_002-M-12-7-20140710";0.859874881345882;0.140125118654118
"JERC_002-M-27-36-20140805";0.858259707145077;0.141740292854923
"JERC_002-M-35-24-20140710";0.859801647993668;0.140198352006332
"JERC_003-M-1-7-20140805";0.860236626054865;0.139763373945135
"JERC_003-M-3-26-20140805";0.864137974868582;0.135862025131418
"JERC_003-M-33-0-20140805";0.856815694593914;0.143184305406085
"JERC_005-M-24-40-20140805";0.860964018927298;0.139035981072702
"JERC_005-M-33-2-20140805";0.857707568224575;0.142292431775426
"JERC_005-M-4-9-20140805";0.860096407947427;0.139903592052573
"JERC_006-M-15-33-20140710";0.860017489188932;0.139982510811068
"JERC_006-M-2-0-20140805";0.862717739059198;0.137282260940802
"JERC_006-M-21-39-20140710";0.860172495783442;0.139827504216558
"JERC_006-M-2-33-20140710";0.85992580561262;0.14007419438738
"JERC_006-M-39-30-20140805";0.859148096854843;0.140851903145157
"JERC_006-M-8-11-20140805";0.85972783958113;0.14027216041887
"JERC_008-M-23-30-20140805";0.851375985577635;0.148624014422365
"JERC_008-M-33-4-20140805";0.858695230308593;0.141304769691407
"JERC_047-M-3-32-20140805";0.858982799688675;0.141017200311325
"JERC_047-M-36-16-20140805";0.857923921966045;0.142076078033955
"JERC_047-M-6-12-20140805";0.858073912669397;0.141926087330603
"JERC_048-M-19-30-20140805";0.857810824893101;0.142189175106899
"JERC_048-M-27-8-20140805";0.858782685044958;0.141217314955042
"JERC_048-M-31-3-20140805";0.858040861609079;0.141959138390921
"JERC_049-M-18-17-20140805";0.859842373213608;0.140157626786392
"JERC_049-M-2-27-20140805";0.86670705042529;0.13329294957471
"ORNL_001-O-17-34-20140715";0.863038773256238;0.136961226743762
"ORNL_002-O-5-26-20140714";0.867597243904749;0.132402756095251
"ORNL_003-O-9-11-20140714";0.869429616947235;0.130570383052765
"ORNL_021-O-15-33-20140714";0.856221824372822;0.143778175627178
"ORNL_027-O-2-33-20140715";0.87200256330859;0.12799743669141
"ORNL_029-O-9-2-20140714";0.840556480282101;0.159443519717899
"ORNL_031-O-11-3-20140714";0.853839205402824;0.146160794597176
"ORNL_037-O-4-23-20140715";0.864091369409797;0.135908630590203
"ORNL_043-O-2-27-20140715";0.873082718578297;0.126917281421703
"OSBS_001-M-17-34-20140701";0.883194511085931;0.116805488914069
"OSBS_001-M-17-34-20140818";0.881202661152921;0.118797338847079
"OSBS_001-M-26-3-20140701";0.879478135195378;0.120521864804622
"OSBS_001-M-26-3-20140818";0.881213287872086;0.118786712127914
"OSBS_001-M-29-2-20140701";0.881187005025476;0.118812994974524
"OSBS_001-M-29-2-20140818";0.879163186071113;0.120836813928887
"OSBS_002-M-12-7-20140701";0.862130454125944;0.137869545874056
"OSBS_002-M-12-7-20140818";0.865410327001414;0.134589672998586
"OSBS_002-M-35-24-20140701";0.865346493374962;0.134653506625038
"OSBS_002-M-35-24-20140818";0.867302058521645;0.132697941478355
