"";"other";"assim_nitrite_reduction"
"HARV_002-O-24-40-20140716";0.961710505665946;0.038289494334054
"HARV_002-O-33-2-20140716";0.961698653358025;0.0383013466419749
"HARV_002-O-4-9-20140716";0.961650590780389;0.0383494092196106
"HARV_004-M-10-34-20140715";0.966256937467803;0.0337430625321975
"HARV_004-M-19-1-20140812";0.966257951568157;0.0337420484318434
"HARV_004-M-25-6-20140715";0.966251947677957;0.0337480523220429
"HARV_004-M-3-28-20140812";0.966280868257321;0.0337191317426787
"HARV_004-M-9-34-20140812";0.966256871965871;0.0337431280341287
"HARV_004-M-9-4-20140715";0.966260638906616;0.0337393610933844
"HARV_004-O-10-34-20140715";0.966267902557423;0.0337320974425773
"HARV_004-O-19-1-20140812";0.966233124252523;0.0337668757474775
"HARV_004-O-25-6-20140715";0.966292519271477;0.0337074807285226
"HARV_004-O-3-28-20140812";0.966264973678369;0.0337350263216305
"HARV_004-O-9-34-20140812";0.96624805693603;0.0337519430639703
"HARV_010-M-2-0-20140715";0.958547877566021;0.0414521224339788
"HARV_010-M-39-30-20140715";0.958561844138772;0.0414381558612284
"HARV_010-M-8-11-20140715";0.95854351790839;0.0414564820916102
"HARV_010-O-2-0-20140715";0.958434412115998;0.0415655878840025
"HARV_010-O-39-30-20140715";0.958456733836321;0.0415432661636793
"HARV_010-O-8-11-20140715";0.958570005669807;0.0414299943301929
"HARV_013-M-0-13-20140812";0.959239705361691;0.0407602946383089
"HARV_013-M-14-6-20140812";0.959215112154172;0.0407848878458276
"HARV_013-M-15-7-20140717";0.959241432158301;0.0407585678416993
"HARV_013-M-28-3-20140812";0.959285217986628;0.0407147820133716
"HARV_013-M-4-7-20140717";0.959200317784719;0.0407996822152805
"HARV_013-O-0-13-20140812";0.959246602326037;0.0407533976739626
"HARV_013-O-14-6-20140812";0.95924427982924;0.0407557201707601
"HARV_013-O-15-7-20140717";0.959237205146756;0.0407627948532439
"HARV_013-O-28-3-20140812";0.959264050294495;0.0407359497055046
"HARV_013-O-33-11-20140716";0.959300276284091;0.0406997237159086
"HARV_016-M-0-30-20140715";0.959734656528497;0.0402653434715035
"HARV_016-M-16-7-20140715";0.959922298356486;0.0400777016435141
"HARV_016-O-0-30-20140715";0.959805018651188;0.0401949813488118
"HARV_016-O-16-7-20140715";0.959892651330096;0.0401073486699044
"HARV_020-M-12-33-20140812";0.97209853658082;0.0279014634191798
"HARV_020-M-30-27-20140812";0.972110037683039;0.0278899623169608
"HARV_020-M-37-22-20140812";0.972020995970562;0.027979004029438
"HARV_020-O-12-33-20140812";0.972094530152164;0.0279054698478365
