"samples","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"ram_samp_116",0.0346446096516189,0.120807006336414,0.255190939951887,0.0182228945541519,0.0384477555453663,0.0763428155819616,0.0188493041997187,0.00725800223653421,0.0473863488355852,0.297830372173601,0.0850199509331613
"ram_samp_117",0.035017675164928,0.11692031049736,0.239522993026068,0.0445705197058432,0.0371071371654385,0.0714833036755595,0.0105495556851935,0.0032761651740409,0.0464043558142769,0.318939661253462,0.0762083228378302
"ram_samp_118",0.0871370255278738,0.173886932150743,0.142298301926199,0.0152812319502417,0.0727605703304097,0.0278653899179084,0.00840781958203245,0.00876687843708814,0.0354141748944368,0.360772791697059,0.0674088835860079
"ram_samp_119",0.0541713313007884,0.126393076422082,0.155600002012907,0.023135258437172,0.0376820411258437,0.135095139868664,0.010125506878337,0.0212414760472646,0.0447537179726631,0.345901793331108,0.0459006566031702
"ram_samp_120",0.112338003179788,0.261189805522098,0.0830850367142748,0.0138640619720387,0.0836333277967672,0.0118257821286487,0.0093848026201514,0.0115345992938788,0.036176721108722,0.342454597940778,0.0345132617228552
"ram_samp_121",0.0284311658702899,0.0771268845797163,0.249071680552692,0.0299837492340761,0.0479538206243427,0.037071969731034,0.0187414803493966,0.0182932682319228,0.0268023673487075,0.417814301294644,0.0487093121831775
"ram_samp_122",0.0679235831454954,0.309600810205085,0.11802657999536,0.026809329729547,0.00220455201136878,0.00603290949187871,0.00927374676498363,0.000309325535868824,0.0272594460174782,0.387745735856138,0.0448139812467967
"ram_samp_123",0.0286746423767329,0.109288942402027,0.27039147010374,0.0349584571980753,0.0393981830373602,0.0849251117532012,0.00673188286418115,0.0114266955505933,0.0324136622231637,0.28641639025005,0.0953745622408752
"ram_samp_124",0.031590416465912,0.127932900243239,0.20150854566508,0.0306845011978793,0.0341508356800423,0.0142063173662278,0.0162799556831128,0.0397431886445987,0.038436765693099,0.347901864701995,0.117564708658813
"ram_samp_125",0.0403214547351801,0.113517635730519,0.27091753491619,0.0377907194049764,0.0541287332566198,0.0264350992357626,0.0161832603830267,0.0128684991539754,0.0396941441519677,0.306634941479123,0.0815079775526598
"ram_samp_126",0.0462370495263126,0.16862283775352,0.161050549180936,0.0161026199503375,0.0292481421489776,0.0905792940915903,0.0115782506198075,0.00596481662005465,0.0499294071259318,0.328382777401435,0.0923042555810977
"ram_samp_127",0.0731803905975004,0.200308698045869,0.274733060314482,0.0273767931033363,0.0149236204186931,0.0261340382160827,0.0154040668957241,0.000484602295655244,0.0281326955605316,0.310699283585022,0.0286227509671032
"ram_samp_128",0.054822065892441,0.0817988893237856,0.117146919116508,0.0445722672420875,0.0534330088194932,0.0287984211158161,0.0114509303003108,0.0181223782607017,0.0707977608198897,0.495169745094654,0.0238876140143124
