"","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"X30_80",0.0501187235845925,0.15481661162903,0.186792610314872,0.0660145536356335,0.0847589514950625,0.00325269846008328,0.0462529222933968,0.00164122232992267,0.141160937031588,0.218937826933611,0.046252942292207
"X30_128",0.0614001334316477,0.142942765027186,0.164739040324509,0.0538858381964307,0.0826387066325402,0.000792998792385485,0.0345474416751338,0.00274378173652588,0.17415356823599,0.236835274179774,0.0453204517678763
"NA.110",0.0431563187915527,0.0599078439356336,0.228100424832897,0.0820453939298632,0.0604169376486615,0.00444010181915526,0.028356485987091,0.000538563929208804,0.126147978181618,0.337854163370196,0.0290357875741225
"X30_136",0.0464654919224271,0.0912895349779893,0.185691448825104,0.0688137001089827,0.0743269171170137,0.00537296932105889,0.0261512731794765,0.00223493500880428,0.146249720290006,0.321399345299227,0.0320046639499108
"X30_78",0.0614848933891137,0.149389789481202,0.170337587256098,0.0616888709788816,0.0702553153444973,0.00181083623926234,0.0481184393101725,0.00121714855889352,0.135138476319453,0.267960965452052,0.0325976776703748
"X30_72",0.0557982596979774,0.165165922928435,0.142942465045033,0.0789912616261154,0.0727158359633551,0.00274385373224271,0.0708492030129685,0.0021501160548483,0.145487921610886,0.231405038235039,0.0317501220930993
"X30_68",0.0430772544952409,0.167540849639441,0.192390026313742,0.052189617107912,0.0643189055130279,0.000793097786496133,0.0843348627249256,0.0025741158302796,0.154986496522249,0.194849454997561,0.0429453190691255
"X30_76",0.0428228566298632,0.122756463949375,0.240905361042415,0.0538010952379536,0.0741575511929209,0.00104743265562165,0.0659301026597858,0.00299826659672814,0.172968391744438,0.180855011554134,0.0417574667367638
"X30_70",0.037732639456752,0.181280691229625,0.151678391327841,0.0586364425737656,0.0454890727362879,0.000538563929208804,0.0708487390405711,0.00172601628536585,0.178057362991672,0.230896951462106,0.0431151289668055
"X30_74",0.0630907978507436,0.165675581607852,0.0938337296189173,0.104437307791493,0.0531224556115408,0.000793023790898275,0.0690687329365854,0.00181078624223676,0.132171239846103,0.289590218685842,0.026406126017787
"X30_124",0.0675070661183819,0.131747541052766,0.215035623083284,0.0431993329573468,0.0971424327777513,0.00367687222516359,0.0333605892832838,0.002743705741047,0.163127679187507,0.20706267640934,0.0353964811641285
