samples,latitude,longitude,depth_max,forest,map,map_sd,mat,mat_sd,map_CV,mat_CV,mdr,aridity,NPP,relEM,pH
ram_samp_1185,42.15,128.13,0.05,0,0.743,0.047990199,1.312499995,1.287977163,100.4094865,1199.024471,12.24166678,1.159000039,0.551999986,0.817688286,4.79
ram_samp_1186,42.15,128.13,0.05,0,0.743,0.046686913,1.312499995,1.264592939,100.4094865,1199.024471,12.24166678,1.159000039,0.551999986,0.817688286,5.01
ram_samp_1187,42.05,128.067,0.05,0,0.941,0.047485878,-3.300000052,1.168187457,96.14178524,1164.922929,12.56666656,1.159000039,0.551999986,0.817688286,4.4
ram_samp_1188,42.15,128.13,0.05,0,0.743,0.047849932,1.312499995,1.207363994,100.4094865,1199.024471,12.24166678,1.159000039,0.551999986,0.817688286,4.85
ram_samp_1189,42.083,128.067,0.05,0,0.815,0.04806461,-0.975000032,1.281191963,101.538885,1186.127203,12.78333344,1.159000039,0.551999986,0.817688286,4.44
ram_samp_1190,42.083,128.067,0.05,0,0.815,0.05005232,-0.975000032,1.234087465,101.538885,1186.127203,12.78333344,1.159000039,0.551999986,0.817688286,4.92
ram_samp_1191,42.05,128.067,0.05,0,0.941,0.047678227,-3.300000052,1.290099345,96.14178524,1164.922929,12.56666656,1.159000039,0.551999986,0.817688286,3.89
ram_samp_1192,57.183,-2.85,7.5,0,1.005,0.050236629,6.887499974,1.228390307,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,6.5
ram_samp_1193,57.183,-2.85,7.5,0,1.005,0.047072358,6.887499974,1.176134589,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,7
ram_samp_1194,57.183,-2.85,7.5,0,1.005,0.048734488,6.887499974,1.260938135,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,6
ram_samp_1195,57.183,-2.85,7.5,0,1.005,0.046720601,6.887499974,1.245694827,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,5.5
ram_samp_1196,57.183,-2.85,7.5,0,1.005,0.047975688,6.887499974,1.256772511,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,5
ram_samp_1197,57.183,-2.85,7.5,0,1.005,0.047910252,6.887499974,1.280427824,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,4.5
ram_samp_1198,57.183,-2.85,7.5,0,1.005,0.049348386,6.887499974,1.242251879,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,7
ram_samp_1199,57.183,-2.85,7.5,0,1.005,0.046865723,6.887499974,1.257407818,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,4.5
ram_samp_1200,57.183,-2.85,7.5,0,1.005,0.046990825,6.887499974,1.2621377,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,5
ram_samp_1201,57.183,-2.85,7.5,0,1.005,0.049094737,6.887499974,1.29847134,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,6.5
ram_samp_1202,57.183,-2.85,7.5,0,1.005,0.049421072,6.887499974,1.279178707,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,6
ram_samp_1203,57.183,-2.85,7.5,0,1.005,0.049739286,6.887499974,1.210222888,21.58840645,390.79246,6.858333416,2.303999901,0.656000018,0.845000625,7.5
