"","other","acidobacteria","actinobacteria","bacteroidetes","chloroflexi","firmicutes","gemmatimonadetes","nitrospirae","planctomycetes","proteobacteria","verrucomicrobia"
"X5_1canrhizn1",0.0769045015654924,0.118884186359982,0.19860589624677,0.0851921076228712,0.0620725050944951,0.0291952105053918,0.0256777214825305,0.016599345961121,0.0482188225775486,0.252358924757685,0.0862907778261116
"X5_1cansoiln1",0.0768214924745792,0.118540704828649,0.198670058294445,0.0853488207276644,0.0621298385211363,0.0292337412483585,0.0257065034761223,0.016639834881661,0.0482152354287672,0.252430144599957,0.0862636255186601
"X5_1tapsoiln1",0.0764890869852104,0.117174737422657,0.198923626207613,0.085977140281559,0.0623586716716019,0.0293878877099338,0.0258215276732353,0.0168025028800716,0.0482000928949745,0.252711048442765,0.0861536778303792
"X5_1tapsoiln1.1",0.0764890869852104,0.117174737422657,0.198923626207613,0.085977140281559,0.0623586716716019,0.0293878877099338,0.0258215276732353,0.0168025028800716,0.0482000928949745,0.252711048442765,0.0861536778303792
"X5_1darsoiln1",0.0764058956810998,0.116835230571009,0.198986248603079,0.0861345865774352,0.0624157542790489,0.0294264298750718,0.0258502575076172,0.0168433483247955,0.0481961093612647,0.252780281381619,0.0861258578379593
"X5_1darsoiln1.1",0.0764058956810998,0.116835230571009,0.198986248603079,0.0861345865774352,0.0624157542790489,0.0294264298750718,0.0258502575076172,0.0168433483247955,0.0481961093612647,0.252780281381619,0.0861258578379593
"X5_1ninsoiln1",0.0763226693406819,0.116496515834987,0.199048563365449,0.0862921792855042,0.0624727863992834,0.0294649741313193,0.0258789767482135,0.0168842652941327,0.0481920469021345,0.252849117462412,0.0860979052358822
"X5_1vicsoiln1",0.0757391429976571,0.114147611838703,0.199476161793547,0.0873994214309156,0.0628705886647002,0.0297348370891483,0.0260797103091764,0.0171726929353815,0.0481614097033325,0.253319873253279,0.0858985499841598
"X5_1temsoiln1",0.0754049998900918,0.112822659752293,0.199713752420937,0.0880353406289522,0.0630967772526141,0.0298890806449809,0.0261941739257956,0.0173390935889748,0.0481421846438527,0.253580174183692,0.0857817630678165
"X5_1temsoiln1.1",0.0754049998900918,0.112822659752293,0.199713752420937,0.0880353406289522,0.0630967772526141,0.0298890806449809,0.0261941739257956,0.0173390935889748,0.0481421846438527,0.253580174183692,0.0857817630678165
"X5_2cousoiln1",0.0749866605100139,0.111184023741794,0.200003849871844,0.0888335128253697,0.0633783479500483,0.030081914439397,0.0263370003659684,0.0175487241296041,0.0481164105845013,0.253896673651617,0.0856328819298418
"NA.574",0.0592290397357793,0.028099570017403,0.140762514684749,0.0211996675198072,0.0155477705161711,0.0477886627864489,0.0119493331502366,0.00814240545566883,0.0151088537671641,0.631756785068902,0.0204153972976699
"NA.575",0.0591520492393159,0.0280121997306591,0.140776908201182,0.0212339767035631,0.0155586961166556,0.0478411698250593,0.0119600864655409,0.00816046459727771,0.0151043949383877,0.63179558581997,0.0204044683623888
"NA.576",0.0590751261297401,0.0279250856519193,0.140791225277566,0.021268329643134,0.0155696207786829,0.0478937080512586,0.0119708428333605,0.00817855926658246,0.0150999290693884,0.631834039306184,0.0203935339921845
"NA.577",0.0589214822311385,0.0277516233983455,0.140819630422593,0.0213371669822865,0.0155914672813786,0.0479988781092744,0.0119923647245132,0.00821485544699498,0.0150909762824166,0.631909906055161,0.0203716490658969
"NA.580",0.0587681083550944,0.0275791778308698,0.140847730743061,0.0214061799227008,0.0156133100121657,0.048104173045828,0.0120138988195321,0.00825129451538401,0.0150819955492575,0.631984388450294,0.0203497427558119
"NA.581",0.0576264411175987,0.0263177013644051,0.141048829092692,0.0219294132983493,0.015777008991987,0.0488978740262845,0.012175793067521,0.00852919486198875,0.0150137635397456,0.632499193221997,0.0201847874174319
"NA.583",0.056276673049457,0.024875878807591,0.141267920717975,0.022570591089165,0.0159731588882177,0.0498596421252148,0.0123709689024458,0.00887363752798935,0.0149299034157996,0.633016218435701,0.0199854070404437
"NA.584",0.0540765013547249,0.0226376690584238,0.141580294221577,0.0236721994254842,0.0162993463182264,0.0514853418899638,0.0126984375578118,0.00947531323827805,0.0147855852798328,0.633639268612253,0.0196500430434239
"NA.586",0.0489828950056037,0.0179628587737982,0.142075039392277,0.0265325429267292,0.0170889003147162,0.0555611888070704,0.0135064452415492,0.0110944205928197,0.0144129984325831,0.633960937842625,0.018821772670228
"NA.587",0.047981976875522,0.0171236244676363,0.142131721489298,0.0271531561366458,0.017250329960896,0.0564199054243399,0.0136743896456419,0.0114562946268636,0.014333052870657,0.633825525145054,0.0186500233574454
"NA.588",0.044569321748843,0.0144481663221492,0.142213870853025,0.029440076520672,0.0178182024877603,0.0595122163518178,0.0142728208671237,0.0128214192541374,0.014042431429194,0.632820851182383,0.0180406229828941
"NA.589",0.0415247315124967,0.0122943445374574,0.142127432285362,0.031737222849488,0.0183498861018702,0.0625125749082987,0.0148442397278373,0.0142416325789635,0.0137577909387513,0.631146311650143,0.0174638329093321
"NA.590",0.0412883942159491,0.0121360200798479,0.142113809452334,0.0319270516783055,0.0183922315757254,0.0627560765319847,0.0148902265637937,0.0143611482732062,0.0137346220227168,0.630982747708626,0.01741767189751
"NA.591",0.0386462166900532,0.0104502666090156,0.141887195979037,0.0341765524877065,0.0188769662511743,0.0655930755789062,0.0154218135132723,0.0158020268811974,0.0134643205676335,0.628794392623387,0.0168871728186174
"NA.593",0.0343235073936368,0.00801344804701156,0.141182678195202,0.0384463218468065,0.0197189928036247,0.0707504503187215,0.0163688966856491,0.018659032339587,0.012973070191984,0.62360622412046,0.0159573780573169
"NA.594",0.0342219454176414,0.0079608113621622,0.14116045701207,0.0385569079188474,0.019739570975339,0.0708803511656489,0.0163924374408363,0.0187351108050705,0.0129607228904084,0.62345715504218,0.0159345299697955
"NA.595",0.0340700601223169,0.0078824794847443,0.141126694684999,0.0387232637889723,0.019770417270471,0.0710754296258789,0.0164277611852447,0.0188497521302898,0.0129421838833557,0.623231687908173,0.0159002699155551
"NA.596",0.0339691078313323,0.00783067074036394,0.141103899705463,0.0388344861053382,0.0197909673917978,0.0712056331457638,0.0164513186694797,0.0189265300712263,0.0129298125919941,0.623080135707444,0.015877438039797
"NA.597",0.0324352179841513,0.00706833596903786,0.14072138035909,0.0405912975004572,0.0201080002534218,0.0732391196147253,0.0168172640722183,0.0201531277241998,0.0127368775530304,0.620604944487286,0.0155244344823821
"X13_66",0.0680105758705655,0.314938721886503,0.138421261165647,0.0207631543158661,0.0244231453102894,0.0261873536907876,0.012455420184929,0.00558555182895135,0.0398784180408454,0.288160166933544,0.0611762307720722
"X13_108",0.0670973831434543,0.290546301925084,0.143838829146091,0.022819611929347,0.0259489472545264,0.0282336925620075,0.0133303865260038,0.00627619369776739,0.0408343254388481,0.298986196163772,0.0620881322130986
"X13_161",0.0659551990648358,0.26658235653449,0.149132775967039,0.0250613627815916,0.0275246743234096,0.0304018407857382,0.0142461322175482,0.00705128016446379,0.0417026721413838,0.309509668686242,0.0628320373332579
"X13_161.1",0.0659551990648358,0.26658235653449,0.149132775967039,0.0250613627815916,0.0275246743234096,0.0304018407857382,0.0142461322175482,0.00705128016446379,0.0417026721413838,0.309509668686242,0.0628320373332579
"X13_101",0.0659225027708736,0.265967451064793,0.149268117762687,0.0251221334653073,0.0275661943804022,0.0304597504599146,0.0142704335988392,0.00707260949328532,0.0417239337481609,0.309777907077764,0.0628489661779724
"X13_84",0.0658567180501152,0.264740120129834,0.149538169148754,0.025243948327129,0.027649237439211,0.0305756963087653,0.0143190649623213,0.00711541428211907,0.0417662099637652,0.310313004681084,0.0628824167069009
"X13_67",0.0657904127992427,0.263516104957371,0.149807374354652,0.0253661278514317,0.0277322835767042,0.0306918100516489,0.0143677340405574,0.00715841435392873,0.0418081565141858,0.310846257021817,0.0629153244784602
"X13_120",0.0657570658456926,0.262905344148959,0.149941658434617,0.0254273543628419,0.0277738074827856,0.0307499295933922,0.014392082565479,0.00717998778662221,0.041829006042709,0.311112188855479,0.062931574881422
"X13_125",0.065520042440333,0.258653414252105,0.150875656942282,0.0258584925969658,0.0280644786702302,0.0311579254091602,0.0145627774529845,0.0073323780855624,0.0419726384804997,0.312960664034515,0.0630415316353622
"X13_16",0.0654856726542743,0.258049353339447,0.151008223968501,0.0259204484349716,0.0281060021662606,0.0312163747095969,0.0145871981448849,0.00735434553639141,0.0419928262636253,0.31322285699814,0.0630566977839073
"X13_65",0.0654511766073144,0.257446135602449,0.151140574278279,0.0259824954368601,0.0281475250468547,0.0312748647084298,0.0146116275764377,0.00737636253910127,0.0420129311370648,0.313484578530798,0.0630717285364115
"X13_71",0.0653818071574341,0.256242234552764,0.151404622932021,0.0261068629291662,0.0282305684632156,0.0313919663381023,0.0146605124093472,0.00742054546711144,0.0420528919968191,0.314006603761552,0.0631013839924677
"X13_118",0.065276814961711,0.25444273711279,0.151799059253367,0.0262940978748069,0.028355125861805,0.0315679211264261,0.0147339036504591,0.00748719316782936,0.042112210498053,0.314786083883131,0.0631448526096213
"X13_118.1",0.065276814961711,0.25444273711279,0.151799059253367,0.0262940978748069,0.028355125861805,0.0315679211264261,0.0147339036504591,0.00748719316782936,0.042112210498053,0.314786083883131,0.0631448526096213
"X13_119",0.0652415688608631,0.253844603810784,0.151930099803985,0.0263566918408589,0.0283966424388735,0.0316266528847762,0.0147583842136509,0.00750950888463261,0.0421318171086304,0.315044958398426,0.0631590717545195
"X13_160",0.0651707057689385,0.252650892954081,0.152191520930138,0.0264821532415352,0.0284796710185958,0.0317442359510743,0.0148073701925422,0.00755429044499883,0.0421707807857177,0.315561274008556,0.063187104703823
"X13_18",0.0650993505691783,0.251460597369011,0.15245205918993,0.0266079792572781,0.0285626926789801,0.0318619776464686,0.0148563888959279,0.00759927262156758,0.0422094115159646,0.316075672761178,0.0632145974945158
"X13_151",0.0649914014229233,0.249681577211976,0.152841203683387,0.0267974019057392,0.0286872100507038,0.0320388855982862,0.0149299772297231,0.00766712321732201,0.0422667327839605,0.316843662193676,0.0632548247023028
"X13_102",0.0649188286814482,0.248499858689323,0.153099519800879,0.0269241394001917,0.0287702101284012,0.032157019825881,0.0149790755866598,0.00771260928669417,0.0423045300648094,0.317353239768328,0.063280968767385
"X13_58",0.0647722404399232,0.246146767752157,0.153613464515754,0.0271787080653634,0.0289361783031136,0.0323937535553118,0.015077364814063,0.00780418946562287,0.0423791230851968,0.318366568974343,0.0633316410291507
"X13_99",0.0647352949503305,0.245560656504969,0.153741388399194,0.027242578067958,0.0289776629789851,0.0324530332482286,0.0151019560376303,0.00782721157936137,0.0423975625379926,0.318618682913015,0.0633439727823351
"X13_41",0.0646610484397988,0.244391034880281,0.153996558577743,0.0273705914600476,0.0290606226467941,0.0325717073416876,0.0151511607576189,0.00787340876319803,0.0424341907162844,0.319121443291031,0.0633682331255148
"X13_100",0.0644733755333191,0.241482198265605,0.154630512890312,0.0276922195762727,0.0292679597422688,0.0328690563442385,0.0152742996447017,0.00798979713239071,0.0425242976031482,0.320369748157607,0.0634265351101362
"X13_126",0.064435491362695,0.240903047287601,0.154756619855581,0.0277568185437478,0.0293094155670138,0.0329286390161357,0.0152989487233242,0.00801322884838256,0.0425420679307831,0.320617929501011,0.0634377933637251
"X13_103",0.0643974915329851,0.240324770595852,0.154882497955175,0.0278215086192247,0.0293508672502411,0.032988259044541,0.0153236047612408,0.00803671207051651,0.0425597545345073,0.3208656159081,0.0634489177276165
"X13_103.1",0.0643974915329851,0.240324770595852,0.154882497955175,0.0278215086192247,0.0293508672502411,0.032988259044541,0.0153236047612408,0.00803671207051651,0.0425597545345073,0.3208656159081,0.0634489177276165
"X13_83",0.0643593764183541,0.239747369099255,0.155008146808516,0.0278862897996881,0.02939231467383,0.0330479163150359,0.0153482676981298,0.00806024686693811,0.0425773573984985,0.321112806649842,0.0634599082719129
"X13_60",0.0643211463934587,0.239170843695904,0.15513356603758,0.027951162082062,0.0294337577199007,0.0331076107132716,0.0153729374737473,0.00808383330584682,0.0425948765077336,0.32135950100261,0.063470765067886
"X13_104",0.0642828018334398,0.238595195273107,0.155258755266888,0.0280161254632105,0.029475196270816,0.0331673421249696,0.0153976140279274,0.00810747145549631,0.0426123118479871,0.321605698248185,0.0634814881879728
"X13_40",0.0642057706109699,0.237446532864549,0.15550844223708,0.0281463255089948,0.0295580594178484,0.033286915532,0.0154469872317069,0.00815490316030535,0.0426469311686241,0.322096598571885,0.0635025336960365
"X13_42",0.0641670847011529,0.236873520599593,0.15563293923975,0.0282115621670692,0.0295994837799105,0.0333467572991408,0.0154716837613708,0.00817869685224627,0.0426641151245278,0.322341300240563,0.0635128562346759
"X13_42.1",0.0641670847011529,0.236873520599593,0.15563293923975,0.0282115621670692,0.0295994837799105,0.0333467572991408,0.0154716837613708,0.00817869685224627,0.0426641151245278,0.322341300240563,0.0635128562346759
"X13_42.2",0.0641670847011529,0.236873520599593,0.15563293923975,0.0282115621670692,0.0295994837799105,0.0333467572991408,0.0154716837613708,0.00817869685224627,0.0426641151245278,0.322341300240563,0.0635128562346759
"X13_155",0.0640503503027022,0.235159769661525,0.156005039942219,0.0284078186414881,0.0297237266211112,0.0335265014875092,0.0155458123435363,0.00825039010806916,0.042715164044294,0.323072402930429,0.0635430239171164
"X13_155.1",0.0640503503027022,0.235159769661525,0.156005039942219,0.0284078186414881,0.0297237266211112,0.0335265014875092,0.0155458123435363,0.00825039010806916,0.042715164044294,0.323072402930429,0.0635430239171164
"X13_155.2",0.0640503503027022,0.235159769661525,0.156005039942219,0.0284078186414881,0.0297237266211112,0.0335265014875092,0.0155458123435363,0.00825039010806916,0.042715164044294,0.323072402930429,0.0635430239171164
"X13_162",0.0636540199695794,0.229504772322018,0.157230206443763,0.0290679262207913,0.0301375067049263,0.0341279855859878,0.0157933119958135,0.00849277042087825,0.0428798761649036,0.325476682422684,0.0636349417486547
"X13_162.1",0.0636540199695794,0.229504772322018,0.157230206443763,0.0290679262207913,0.0301375067049263,0.0341279855859878,0.0157933119958135,0.00849277042087825,0.0428798761649036,0.325476682422684,0.0636349417486547
"X13_14",0.0636137861412137,0.228944157945623,0.15735143069367,0.029134437748541,0.0301788510786564,0.0341883288167363,0.0158180946586576,0.00851729815006468,0.0428958860197018,0.325714324176907,0.0636434045702288
"X13_13",0.0634517775735666,0.226710618487265,0.157833961193514,0.0294013941518308,0.0303441617438767,0.0344300503134178,0.0159172818204754,0.00861593925011492,0.0429590865401637,0.326659793902023,0.0636759350237528
"X13_13.1",0.0634517775735666,0.226710618487265,0.157833961193514,0.0294013941518308,0.0303441617438767,0.0344300503134178,0.0159172818204754,0.00861593925011492,0.0429590865401637,0.326659793902023,0.0636759350237528
"X13_22",0.0632880702133091,0.224491379670959,0.158312689853718,0.0296698068233528,0.0305093600915332,0.0346723241292765,0.0160165565969249,0.00871543197868725,0.0430209449313658,0.327597078949122,0.0637063567617511
