"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"SRR1502423",0.0745526838966203,0.137176938369781,0.75844930417495,0.0208747514910537,0.00497017892644135,0.00397614314115308
"SRR1502424",0.240556660039761,0.284294234592445,0.432405566600398,0.025844930417495,0.00099403578528827,0.0159045725646123
"SRR1502428",0.0546719681908549,0.0805168986083499,0.852882703777336,0.00397614314115308,0.00099403578528827,0.00695825049701789
"SRR1502429",0.139165009940358,0.120278330019881,0.647117296222664,0.0666003976143141,0.00198807157057654,0.0248508946322068
"SRR1502430",0.0437375745526839,0.0516898608349901,0.878727634194831,0.0168986083499006,0.00795228628230616,0.00099403578528827
"SRR1502436",0.0437375745526839,0.0795228628230616,0.849900596421471,0.0248508946322068,0.00099403578528827,0.00099403578528827
"SRR1502437",0.099403578528827,0.073558648111332,0.795228628230616,0.0298210735586481,0.00099403578528827,0.00099403578528827
"SRR1502438",0.0884691848906561,0.1779324055666,0.720675944333996,0.0099403578528827,0.00099403578528827,0.00198807157057654
"SRR1502439",0.0347912524850895,0.10337972166998,0.855864811133201,0.00397614314115308,0.00099403578528827,0.00099403578528827
"SRR1502440",0.164015904572565,0.791252485089463,0.00298210735586481,0.0248508946322068,0.00397614314115308,0.0129224652087475
"SRR1502441",0.391650099403579,0.541749502982107,0.0178926441351889,0.0328031809145129,0.00099403578528827,0.0149105367793241
"SRR1502442",0.0606361829025845,0.102385685884692,0.808151093439364,0.0129224652087475,0.0149105367793241,0.00099403578528827
"SRR1502443",0.0318091451292246,0.203777335984095,0.743538767395626,0.0188866799204771,0.00099403578528827,0.00099403578528827
"SRR1502444",0.0596421471172962,0.280318091451292,0.636182902584493,0.0168986083499006,0.00099403578528827,0.00596421471172962
"SRR1502462",0.025844930417495,0.292246520874752,0.519880715705765,0.145129224652087,0.0099403578528827,0.00695825049701789
"SRR1502463",0.154075546719682,0.13817097415507,0.631212723658052,0.073558648111332,0.00099403578528827,0.00198807157057654
"SRR1502464",0.104373757455268,0.252485089463221,0.602385685884692,0.0288270377733598,0.00596421471172962,0.00596421471172962
"SRR1502465",0.00894632206759443,0.058648111332008,0.929423459244533,0.00099403578528827,0.00099403578528827,0.00099403578528827
"SRR1502466",0.0576540755467197,0.144135188866799,0.756461232604374,0.025844930417495,0.0149105367793241,0.00099403578528827
"SRR1502467",0.0725646123260437,0.0944333996023857,0.81013916500994,0.0119284294234592,0.00497017892644135,0.00596421471172962
"SRR1502468",0.0208747514910537,0.105367793240557,0.832007952286282,0.0377733598409543,0.00298210735586481,0.00099403578528827
"SRR1502469",0.0149105367793241,0.124254473161034,0.803180914512923,0.0357852882703777,0.0208747514910537,0.00099403578528827
