"","other","Mortierellaceae","Piskurozymaceae","Trimorphomycetaceae","Umbelopsidaceae","Russulaceae","Hypocreaceae","Aspergillaceae","Herpotrichiellaceae","Clavulinaceae","Chaetomiaceae","Atheliaceae","Cortinariaceae","Inocybaceae","Sebacinaceae","Helotiaceae","Thelephoraceae","Tricholomataceae","Pyronemataceae","Gloniaceae","Helotiales_fam_Incertae_sedis"
"SRR1502486",0.47796278158668,0.216454456415279,0.098922624877571,0.0146914789422135,0.0910871694417238,0.00489715964740451,0.0333006856023506,0.000979431929480901,0.00881488736532811,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0156709108716944,0.000979431929480901,0.0146914789422135,0.000979431929480901,0.0029382957884427,0.0107737512242899
"SRR1502487",0.667972575905975,0.0587659157688541,0.0636630754162586,0.000979431929480901,0.000979431929480901,0.0333006856023506,0.00489715964740451,0.019588638589618,0.0137120470127326,0.000979431929480901,0.0254652301665034,0.000979431929480901,0.000979431929480901,0.00979431929480901,0.000979431929480901,0.0323212536728697,0.00489715964740451,0.0176297747306562,0.0215475024485798,0.000979431929480901,0.019588638589618
"SRR1502488",0.436826640548482,0.0783545543584721,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0127326150832517,0.0342801175318315,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.166503428011753,0.0381978452497551,0.000979431929480901,0.165523996082272,0.0205680705190989,0.029382957884427,0.000979431929480901,0.000979431929480901
"SRR1502494",0.355533790401567,0.00587659157688541,0.00489715964740451,0.000979431929480901,0.000979431929480901,0.0156709108716944,0.000979431929480901,0.000979431929480901,0.00685602350636631,0.000979431929480901,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.430950048971596,0.000979431929480901,0.000979431929480901,0.10871694417238,0.000979431929480901,0.0528893241919687,0.000979431929480901,0.000979431929480901
"SRR1502495",0.262487757100882,0.0117531831537708,0.0166503428011753,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.00489715964740451,0.000979431929480901,0.0313418217433888,0.00881488736532811,0.000979431929480901,0.000979431929480901,0.116552399608227,0.0607247796278159,0.000979431929480901,0.450538687561215,0.000979431929480901,0.0186092066601371,0.00489715964740451,0.0029382957884427
"SRR1502512",0.387855044074437,0.118511263467189,0.000979431929480901,0.0127326150832517,0.0636630754162586,0.204701273261508,0.0127326150832517,0.0274240940254652,0.019588638589618,0.000979431929480901,0.000979431929480901,0.0127326150832517,0.0763956904995103,0.00685602350636631,0.000979431929480901,0.000979431929480901,0.0264446620959843,0.0225269343780607,0.000979431929480901,0.000979431929480901,0.000979431929480901
"SRR1502513",0.381978452497551,0.110675808031342,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.120470127326151,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.00685602350636631,0.192948090107738,0.0205680705190989,0.000979431929480901,0.125367286973555,0.0039177277179236,0.0235063663075416,0.000979431929480901,0.000979431929480901
"SRR1502544",0.826640548481881,0.0558276199804114,0.0117531831537708,0.00685602350636631,0.000979431929480901,0.0117531831537708,0.0117531831537708,0.00783545543584721,0.00587659157688541,0.0029382957884427,0.029382957884427,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.00489715964740451,0.000979431929480901,0.00979431929480901,0.000979431929480901,0.00587659157688541
"SRR1502545",0.3692458374143,0.404505386875612,0.0577864838393732,0.0313418217433888,0.0019588638589618,0.0019588638589618,0.0538687561214496,0.00783545543584721,0.0117531831537708,0.000979431929480901,0.019588638589618,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.000979431929480901,0.0215475024485798,0.000979431929480901,0.000979431929480901,0.0019588638589618,0.000979431929480901,0.00881488736532811
"SRR1502548",0.356513222331048,0.203721841332027,0.029382957884427,0.0029382957884427,0.0372184133202742,0.110675808031342,0.00685602350636631,0.0117531831537708,0.049951028403526,0.0352595494613124,0.000979431929480901,0.00881488736532811,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.0666013712047013,0.0166503428011753,0.00587659157688541,0.000979431929480901,0.0381978452497551,0.0107737512242899
"SRR1502549",0.397649363369246,0.139079333986288,0.0205680705190989,0.0019588638589618,0.0470127326150832,0.019588638589618,0.0372184133202742,0.059745347698335,0.114593535749265,0.00881488736532811,0.00783545543584721,0.0264446620959843,0.000979431929480901,0.00489715964740451,0.000979431929480901,0.0430950048971596,0.0166503428011753,0.0029382957884427,0.000979431929480901,0.0205680705190989,0.0284035259549461
