"";"siteID";"study_id";"plotID";"sampleID";"pH";"pC";"cn";"deprecatedVialID";"relEM";"map";"mat";"ndep.glob";"NPP";"forest"
"DSNY_016-M-12-7-20140701";"DSNY";200;"DSNY_016";"DSNY_016-M-12-7-20140701";4.98074920823705;0.941699867983551;19.3802309093894;"DSNY.016.M.12.2.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-16-7-20140910";"DSNY";200;"DSNY_016";"DSNY_016-M-16-7-20140910";4.98074920823705;0.941699867983551;19.3802309093894;"DSNY.016.21.M.16.7.20140910";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-3-37-20140813";"DSNY";200;"DSNY_016";"DSNY_016-M-3-37-20140813";4.97;0.9;17.2;"DSNY.016.39.M.3.37.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-35-24-20140701";"DSNY";200;"DSNY_016";"DSNY_016-M-35-24-20140701";4.98074920823705;0.941699867983551;19.3802309093894;"DSNY.016.M.35.24.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-36-16-20140813";"DSNY";200;"DSNY_016";"DSNY_016-M-36-16-20140813";5.01;0.71;17.7;"DSNY.016.M.36.18.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-5-26-20140701";"DSNY";200;"DSNY_016";"DSNY_016-M-5-26-20140701";4.98074920823705;0.941699867983551;19.3802309093894;"DSNY.016.M.5.26.20140701";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_016-M-6-12-20140813";"DSNY";200;"DSNY_016";"DSNY_016-M-6-12-20140813";5.15;0.27;14.6;"DSNY.016.41.M.6.12.20140813";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_043-M-18-37-20140814";"DSNY";200;"DSNY_043";"DSNY_043-M-18-37-20140814";5.24;1.74;22.3;"DSNY.043.39.M.18.37.20140814";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_043-M-2-27-20140814";"DSNY";200;"DSNY_043";"DSNY_043-M-2-27-20140814";5.83;1.15;21.2;"DSNY.043.39.M.2.27.20140814";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"DSNY_043-M-33-17-20140814";"DSNY";200;"DSNY_043";"DSNY_043-M-33-17-20140814";4.93;1.16;22.3;"DSNY.043.23.M.33.17.20140814";6.42895043835384;1.219;22.0791664123535;6.244941;0.856000006198883;0
"HARV_001-M-14-7-20140812";"HARV";200;"HARV_001";"HARV_001-M-14-7-20140812";4.57093519692342;10.5033295869389;23.7004692173207;"HARV.001.21.14.7.M.20140812";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-M-15-1-20140812";"HARV";200;"HARV_001";"HARV_001-M-15-1-20140812";4.57093519692342;10.5033295869389;23.7004692173207;"HARV.001.21.15.1.M.20140812";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-M-30-37-20140715";"HARV";200;"HARV_001";"HARV_001-M-30-37-20140715";4.57093519692342;2.99;23.6;"HARV.001.41.30.37.M.20140715";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-M-39-16-20140812";"HARV";200;"HARV_001";"HARV_001-M-39-16-20140812";4.57093519692342;10.5033295869389;23.7004692173207;"HARV.001.23.39.16.M.20140812";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-M-7-0-20140715";"HARV";200;"HARV_001";"HARV_001-M-7-0-20140715";4.57093519692342;2.33;19.9;"HARV.001.21.7.0.M.20140715";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-O-14-7-20140812";"HARV";200;"HARV_001";"HARV_001-O-14-7-20140812";4.57093519692342;10.5033295869389;23.7004692173207;"HARV.001.21.14.7.O.20140812";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_001-O-15-1-20140812";"HARV";200;"HARV_001";"HARV_001-O-15-1-20140812";4.57093519692342;10.5033295869389;23.7004692173207;"HARV.001.21.15.1.O.20140812";2.54459455137407;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_002-M-24-40-20140716";"HARV";200;"HARV_002";"HARV_002-M-24-40-20140716";4.58623654932062;5.39;18.5;"HARV.002.41.24.40.M.20140716";1.28107221753167;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_002-O-24-40-20140716";"HARV";200;"HARV_002";"HARV_002-O-24-40-20140716";4.58623654932062;10.59;27.8;"HARV.002.41.24.40.O.20140716";1.28107221753167;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_002-O-33-2-20140716";"HARV";200;"HARV_002";"HARV_002-O-33-2-20140716";4.58623654932062;14.49;29;"HARV.002.23.33.2.O.20140716";1.28107221753167;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_002-O-4-9-20140716";"HARV";200;"HARV_002";"HARV_002-O-4-9-20140716";4.58623654932062;10.08;27.7;"HARV.002.21.4.9.O.20140716";1.28107221753167;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-10-34-20140715";"HARV";200;"HARV_004";"HARV_004-M-10-34-20140715";4.62518444380406;5.34;17.7;"HARV.004.39.10.34.M.20140715";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-19-1-20140812";"HARV";200;"HARV_004";"HARV_004-M-19-1-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.21.19.1.M.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-25-6-20140715";"HARV";200;"HARV_004";"HARV_004-M-25-6-20140715";4.62518444380406;4.73;15.7;"HARV.004.23.25.6.M.20140715";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-3-28-20140812";"HARV";200;"HARV_004";"HARV_004-M-3-28-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.39.3.28.M.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-9-34-20140812";"HARV";200;"HARV_004";"HARV_004-M-9-34-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.21.9.34.M.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-M-9-4-20140715";"HARV";200;"HARV_004";"HARV_004-M-9-4-20140715";4.62518444380406;4.3;19.4;"HARV.004.21.9.4.M.20140715";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-O-10-34-20140715";"HARV";200;"HARV_004";"HARV_004-O-10-34-20140715";4.62518444380406;35.35;22.2;"HARV.004.39.10.34.O.20140715";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-O-19-1-20140812";"HARV";200;"HARV_004";"HARV_004-O-19-1-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.21.19.1.O.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-O-25-6-20140715";"HARV";200;"HARV_004";"HARV_004-O-25-6-20140715";4.62518444380406;32.61;19.3;"HARV.004.23.25.6.O.20140715";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
"HARV_004-O-3-28-20140812";"HARV";200;"HARV_004";"HARV_004-O-3-28-20140812";4.62518444380406;13.8650830904477;20.536518995453;"HARV.004.39.3.28.O.20140812";-0.197376012102776;1.105;7.47083342075348;8.907954;0.626999974250793;1
