"","latitude","longitude","depth_max","forest","map","map_sd","mat","mat_sd","map_CV","mat_CV","mdr","aridity","NPP","relEM","pH"
"ram_samp_71",53.444053,-2.214306,10,0,0.831,0.0481506944048568,9.63333333376795,1.21911783105724,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.62
"ram_samp_72",53.444053,-2.214306,10,0,0.831,0.0483296705663544,9.63333333376795,1.25016750093167,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.64
"ram_samp_73",53.444053,-2.214306,10,0,0.831,0.0471448560291907,9.63333333376795,1.24824743380385,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.55
"ram_samp_74",53.444053,-2.214306,10,0,0.831,0.0499571244227679,9.63333333376795,1.26421983362415,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.7
"ram_samp_75",53.444053,-2.214306,10,0,0.831,0.0470937998355587,9.63333333376795,1.24297972531098,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.54
"ram_samp_76",53.444053,-2.214306,10,0,0.831,0.0465863845982793,9.63333333376795,1.28153463413442,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.64
"ram_samp_77",53.444053,-2.214306,10,0,0.831,0.0496531131419783,9.63333333376795,1.27133933838095,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.62
"ram_samp_78",53.444053,-2.214306,10,0,0.831,0.0464645484614487,9.63333333376795,1.28439627835575,18.281250292903,450.486265596358,7.25000006270905,1.38100004196167,0.675000011920929,0.898120641708374,7.63
"ram_samp_79",52.468993,-3.143635,15,1,1.274,0.0481815176696077,7.93333330843598,1.26713065184139,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4.12
"ram_samp_80",52.468993,-3.143635,15,1,1.274,0.051246045027433,7.93333330843598,1.24837693097814,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,3.71
"ram_samp_81",52.468993,-3.143635,15,1,1.274,0.0466273981071107,7.93333330843598,1.27439955806107,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4
"ram_samp_82",52.468993,-3.143635,15,1,1.274,0.0496740149174522,7.93333330843598,1.29036262173046,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4.14
"ram_samp_83",52.468993,-3.143635,15,1,1.274,0.0487459853858923,7.93333330843598,1.29331096761764,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4.17
"ram_samp_84",52.468993,-3.143635,15,1,1.274,0.0480806672558157,7.93333330843598,1.24423367853294,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4.63
"ram_samp_85",52.468993,-3.143635,15,1,1.274,0.0490068013976839,7.93333330843598,1.23189482131186,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,4.9
"ram_samp_86",52.468993,-3.143635,15,1,1.274,0.0495951810007215,7.93333330843598,1.26115984137216,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,5.07
"ram_samp_87",52.468993,-3.143635,15,1,1.274,0.0471306940437227,7.93333330843598,1.22167014029693,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,3.32
"ram_samp_88",52.468993,-3.143635,15,1,1.274,0.0481700846323887,7.93333330843598,1.25294521460326,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,5.93
"ram_samp_89",52.468993,-3.143635,15,1,1.274,0.0476892700746789,7.93333330843598,1.23301845630074,25.2582045004976,415.256394608474,7.18333317649861,1.86300003528595,0.648999989032745,0.871110439300537,5.91
