"","other","bacillus","bradyrhizobium","chthoniobacter","devosia","mycobacterium","opitutus","phenylobacterium","pseudomonas","rhodoplanes","sphingomonas"
"X7_14.1",0.918823481627311,0.01951722103709,0.00183211866779964,2.98151460942159e-05,0.00126889925474061,0.0019447629503876,0.000255103711270125,0.00171947438521169,0.00115625497215265,0.0526345451236136,0.000818323124329159
"X7_3",0.904390812302922,0.0308074027601073,0.00174466888276685,2.98151460942159e-05,0.00490368849827072,0.00210577034889684,0.0014740590202743,0.00273747967763864,0.00237649720441264,0.0472338201896243,0.00219598596899225
"X7_4",0.935503867911687,0.00991401171341682,0.000617046127251043,2.98151460942159e-05,0.00130203827853309,0.000127709308288611,0.00257436140500894,0.00149775860697674,0.00149775860697674,0.046514375092904,0.000421257802862254
"X7_22",0.925439344097973,0.0131833217518784,0.00139997243834228,2.98151460942159e-05,0.00208505058449612,0.000577878462969589,0.00277012973059034,0.000851909121466905,0.0037292385352415,0.0494924774971974,0.000440862633750745
"X7_16",0.900086730971855,0.0278976032826476,0.0018632218129994,2.98151460942159e-05,0.00125208625736434,0.000640949701788909,0.000885403124090638,0.000518722990638044,0.0023521306574836,0.0639546120644603,0.000518723990578414
"X7_15",0.912868719732677,0.0203388520400716,0.00130912485593321,2.98151460942159e-05,0.00274834702957662,0.000349642073583781,0.00354791534824091,0.00258843456577221,0.00322808842075134,0.0491233165116875,0.00386774427561121
"X7_18",0.941912611733631,0.00462809793279666,0.000899760267918903,2.98151460942159e-05,0.00139687262319618,0.000278370323792487,0.00214254015617174,0.000775482679069768,0.00127259403440668,0.0456398162462135,0.00102403885670841
"X7_13",0.914013023493441,0.0322744642735838,0.00163314053363148,2.98151460942159e-05,0.00145499415718545,0.000742404651639833,0.00163314053363148,0.00234572903923673,0.00163314053363148,0.0436758903626714,0.000564257275253429
"X7_19",0.897443187616518,0.013337449560644,0.0021310208431127,2.98151460942159e-05,0.00236448692063208,0.00119715053339296,0.00166408568825283,0.00119715153333333,0.00329835623041145,0.0742724067746571,0.0030648891529517
"X7_20",0.897211940406679,0.0358747295759094,0.000826369644484198,2.98151460942159e-05,2.98151460942159e-05,0.000826368644543828,0.00268499480751342,0.00135740397686345,0.00188844030912343,0.0584437536981515,0.000826368644543828
