"","other","bacillus","bradyrhizobium","chthoniobacter","devosia","mycobacterium","opitutus","phenylobacterium","pseudomonas","rhodoplanes","sphingomonas"
"X24_cp215",0.964292206716454,0.00326298736667112,0.00322312616436474,0.00289181836771266,0.00120246290102392,0.00183704567581371,0.00298791001465896,0.00163710071222535,0.00146708464891411,0.0145887157162265,0.0026095417159355
"X24_cp288",0.964110260802194,0.00336696517608764,0.00323870423143545,0.00294395588838959,0.00123131368546488,0.00184920968578162,0.00292894489064612,0.00159783727639598,0.0015387473128179,0.014486305594413,0.00270775545637377
"X24_cp289",0.964459936736741,0.00316217385275976,0.00320757563426997,0.00284056223332925,0.00117427076609012,0.00182493471605808,0.00304801718109316,0.00167730418031608,0.0013987387975193,0.0146916327466526,0.00251485315517107
"X24_cp229",0.964781282822835,0.0029189341241829,0.00318063818045069,0.00271197812494264,0.00110301945867433,0.00179539178162922,0.0032080041923936,0.00178580521455233,0.00124037538934551,0.0149962359831586,0.00227833472783483
"X24_cp281",0.96435563730912,0.00322548243105659,0.00321739373718077,0.00287283268254626,0.0011920004546104,0.00183257753467406,0.00300992071565615,0.00165180196635346,0.00144152693043535,0.0146265732248064,0.00257425301356068
"X24_cp248",0.964369833177693,0.0031914689015651,0.0032248777158531,0.00285357568822705,0.00118003816256336,0.00182958652068287,0.00303165959629505,0.00166693192405886,0.00142058384274056,0.0147005890935643,0.00253085537675703
"X24_cp282",0.963848591941752,0.00350876170057176,0.00325924098729314,0.00301392294840596,0.00127030310922531,0.00186529456775518,0.00285306231716915,0.00154757007415667,0.00163836273037618,0.0143523175626061,0.00284257206068878
"X24_cp228",0.965006645828732,0.002779511454291,0.00314405570858287,0.00263910074154719,0.00106513817273632,0.00177578541968373,0.00330722341646971,0.00185268965315789,0.00114978737597763,0.0151195707472175,0.00216049148160381
"X24_cp214",0.964566686688043,0.00309497096184746,0.00319695243535822,0.00280599332256097,0.00115535357820503,0.00181667918277415,0.0030898126429064,0.0017053650244556,0.00135380824587251,0.0147623447883809,0.00245203312959581
"X24_cp221",0.965137237507088,0.0026211890213361,0.00312773883702336,0.00255045505574007,0.00101680194136034,0.00175482428572978,0.00343343217514582,0.00193990993942926,0.00105335722590691,0.0153577834662112,0.00200727054502869
"X24_cp227",0.964948855120745,0.00282589300118103,0.00315216870059713,0.00266414251711407,0.00107855564745229,0.00178203462530797,0.00327283946383918,0.00182924102053262,0.00117905966609917,0.0150642101126175,0.00220300012451452
"X24_cp213",0.964319626488669,0.00324686151066776,0.00322066894763368,0.00288366703485824,0.00119796809039816,0.00183512987438427,0.00299732412688621,0.00164338556158669,0.00145607667529108,0.0146049319201443,0.0025943597694802
"X24_cp226",0.964198240223297,0.00331731203861002,0.00323132181210594,0.00291914846529972,0.00121756451033773,0.00184344121782445,0.00295673477782353,0.00161631997423061,0.00150437846024889,0.014534752843952,0.00266078567626969
"X24_cp222",0.965339782294101,0.00237306669045725,0.00307928751567696,0.00240959383581332,0.000943087084153733,0.00171796692889456,0.00365507704928296,0.00209366460615054,0.000905735258225964,0.0156972002784796,0.00178553845876409
"X24_cp223",0.964527072199324,0.00309283134426507,0.00320928378332851,0.00280296686089734,0.00115235923278792,0.00181750494222757,0.00309261318286794,0.00170784937892953,0.00135438953527032,0.0148041341125852,0.00243899542751675
"X24_cp403",0.963392028810108,0.00372077423039516,0.00330159130552237,0.00311411410259123,0.00132512797382812,0.0018894823332635,0.00274960699306674,0.00148004172416551,0.00179393988032227,0.0142010433465274,0.00303224930020957
"X24_cp283",0.964245718894416,0.00329003927362379,0.00322722304855442,0.00290545277790453,0.00120999076906865,0.00184024161614234,0.00297228305390476,0.00162667799713549,0.00148561529958886,0.0145617167821394,0.00263504048752178
"X24_cp207",0.965181675887352,0.00262301539872954,0.00311573630852488,0.00255322156602794,0.00101944911686553,0.00175403572537876,0.0034303400593562,0.00193709764494274,0.00105291037134681,0.0153145074354964,0.00201801048597937
"X24_cp284",0.964425789230665,0.0031831394745142,0.00321084706665706,0.00285128040398225,0.00118015192476816,0.00182747994931455,0.00303526703425331,0.00166876106531616,0.00141285940488855,0.0146699235828927,0.00253450086274794
"X24_cp208",0.964942882404144,0.00283057294398293,0.00315298051696479,0.0026666591907988,0.00107990643911923,0.0017826603960421,0.00326942013468136,0.0018269121754504,0.00118202733651704,0.0150586821851904,0.00220729627710925
"X24_cp212",0.964948855120745,0.00282589300118103,0.00315216870059713,0.00266414251711407,0.00107855564745229,0.00178203462530797,0.00327283946383918,0.00182924102053262,0.00117905966609917,0.0150642101126175,0.00220300012451452
"X24_cp225",0.964090267095775,0.00337809819118385,0.00324034556650333,0.00294949585801774,0.00123438951282444,0.00185049316501485,0.00292280357208655,0.00159375806398491,0.00154649012875133,0.0144755548241709,0.00271830402168684
"X24_cp428",0.965344544879104,0.00236520852165736,0.00307767911951853,0.00240502994071537,0.000940722250536034,0.00171674823543808,0.00366269911369173,0.00209899015176913,0.000901186268251134,0.0157086100751294,0.00177858144418891
"X24_cp286",0.964874838478836,0.00288255966692302,0.00316191661846428,0.00269449344997398,0.00109487460725413,0.00178955404209896,0.00323203461156628,0.00180148535394986,0.00121516590719738,0.0149979722282551,0.00225510503548102
