"","other","acidimicrobiia","actinobacteria","alphaproteobacteria","bacilli","betaproteobacteria","deltaproteobacteria","gammaproteobacteria","gemmatimonadetes","nitrospira","thermoleophilia"
"X24_cp568",0.56712893768546,0.0184785786350148,0.0270030727002967,0.0834747210682493,0.0206284510385757,0.062925940652819,0.0816498293768546,0.0498767151335312,0.0124789347181009,0.0116039866468843,0.0647508323442137
"X24_cp480",0.597227151335312,0.0141788338278932,0.0238282611275964,0.0920992091988131,0.00705425667655786,0.0606760741839763,0.0794499599406528,0.059976115727003,0.0148287952522255,0.00990408753709199,0.0407772551928783
"X24_cp558",0.629300247774481,0.0131038976261128,0.0127289198813056,0.0576762522255193,0.00745423293768546,0.0642008649851632,0.108098259643917,0.0468268961424332,0.00965410237388724,0.012328943620178,0.0386273827893175
"X24_cp476",0.617625940652819,0.0159537284866469,0.0420021824925816,0.0899243382789317,0.0100540786350148,0.0432771068249258,0.054501440652819,0.0444770356083086,0.0250281899109792,0.00297949851632047,0.0541764599406528
"X24_cp490",0.610076388724036,0.00897914243323442,0.0249531943620178,0.0789499896142433,0.0156537462908012,0.042077178041543,0.127272121661721,0.0389773620178042,0.00485438724035608,0.008904146884273,0.0393023427299703
"X24_cp727",0.653898787833828,0.00442941246290801,0.0145788100890208,0.07929996884273,0.0354025741839763,0.0380024198813056,0.0828247596439169,0.0811748575667656,0.00177956973293769,0.00357946290801187,0.00502937685459941
"X24_cp455",0.545880198813056,0.0243782284866469,0.0412522270029674,0.100223727002967,0.0151037789317507,0.0682006275964392,0.0764501379821959,0.0387273768545994,0.0253031735905045,0.00837917804154303,0.0561013456973294
"X24_cp466",0.539955550445104,0.0225783353115727,0.0426271454005935,0.110698105341246,0.0143538234421365,0.0600761097922849,0.0755001943620178,0.0499017136498516,0.0151787744807122,0.00867916023738872,0.060451087537092
"X24_cp563",0.630425181008902,0.00775421513353116,0.0060293175074184,0.0644508501483679,0.00575433382789318,0.0755001943620178,0.115397826409496,0.0413272225519288,0.00725424480712166,0.026228118694362,0.0198784955489614
"X24_cp540",0.632350066765579,0.00677927299703264,0.0196035118694362,0.072825353115727,0.0175286350148368,0.0419271869436202,0.0962489629080119,0.0659007640949555,0.0109540252225519,0.00677927299703264,0.0291029480712166
"X24_cp726",0.584777890207715,0.0125289317507418,0.0256781513353116,0.0914492477744807,0.0502516928783383,0.0405772670623145,0.0732753264094955,0.0566513130563798,0.013328884272997,0.010379059347181,0.0411022359050445
"X24_cp491",0.571503678041543,0.0185535741839763,0.0211284213649852,0.0905243026706231,0.037652440652819,0.0724003783382789,0.0909492774480712,0.0351525890207715,0.00715425074183976,0.00735423887240356,0.0476268486646884
"X24_cp728",0.587052755192878,0.00397943916913947,0.0131038976261128,0.0626509569732938,0.0216283916913947,0.066875706231454,0.15879525074184,0.0604260890207715,0.008904146884273,0.0124789347181009,0.00410443175074184
"X24_cp555",0.569853775964392,0.010379059347181,0.029177943620178,0.0900493308605341,0.0325527433234421,0.0478018382789317,0.066350737388724,0.0998237507418398,0.0104540548961424,0.0126789228486647,0.0308778427299703
"X24_cp564",0.628600289317507,0.0152537700296736,0.0264281068249258,0.0815498353115727,0.00477939169139466,0.062875943620178,0.0893993694362018,0.0466269080118694,0.0108290326409496,0.00662928189910979,0.0270280712166172
"X24_cp467",0.677097410979228,0.00907913649851632,0.0569012982195846,0.137246529673591,0.00332947774480712,0.0102790652818991,0.0336776765578635,0.0393773382789318,0.00377945103857567,0.000204663204747774,0.0290279525222552
"X24_cp477",0.610276376854599,0.0112290089020772,0.0529265341246291,0.116647752225519,0.00412943026706231,0.0207284451038576,0.0519515919881306,0.0511516394658754,0.0228533189910979,0.00280450890207715,0.0553013931750742
"X24_cp565",0.599302028189911,0.0118289732937685,0.0174786379821958,0.0981738486646884,0.00660428338278932,0.051551615727003,0.101523649851632,0.0713254421364985,0.00855416765578635,0.00885414985163205,0.024803203264095
"X24_cp462",0.60925143768546,0.0100790771513353,0.0534765014836795,0.126722154302671,0.00350446735905045,0.0422271691394659,0.0650508145400593,0.0352025860534125,0.0125289317507418,0.000729632047477745,0.0412272284866469
"X24_cp557",0.626875391691395,0.0103540608308605,0.0153537640949555,0.0688005919881306,0.0142538293768546,0.0680506364985163,0.09614896884273,0.0249031973293769,0.0245282195845697,0.0163037077151335,0.0344276320474777
"X24_cp461",0.666498040059347,0.0101040756676558,0.0199784896142433,0.076825115727003,0.0205284569732938,0.0507516632047478,0.0725503694362018,0.0321277685459941,0.0120039629080119,0.00720424777448071,0.0314278100890208
"X24_cp729",0.551929839762611,0.00717924925816024,0.0263031142433234,0.121297476261128,0.0377274362017804,0.0536264925816024,0.0690755756676558,0.112522997032641,0.00620430712166172,0.00252952522255193,0.0116039866468843
"X24_cp484",0.627325364985163,0.00567933827893175,0.0215033991097923,0.100948683976261,0.0214784005934718,0.0379024258160237,0.0892993753709199,0.0741752729970326,0.0034544703264095,0.00422942433234421,0.0140038442136499
"X24_cp497",0.627100378338279,0.0105790474777448,0.0176536275964392,0.0563513308605341,0.0236532715133531,0.0662757418397626,0.10349853264095,0.0232532952522255,0.0206784480712166,0.0130788991097923,0.0378774272997033
"X24_cp725",0.636149841246291,0.00982909198813056,0.0157537403560831,0.0764751364985163,0.0180036068249258,0.0627009540059347,0.075825175074184,0.0727253590504451,0.00665428041543027,0.0124039391691395,0.0134788753709199
"X24_cp566",0.672647675074184,0.00527936201780415,0.0106540430267062,0.0625259643916914,0.0063292997032641,0.0503766854599407,0.0965489451038576,0.0524765608308605,0.00782921068249258,0.0150537818991098,0.020278471810089
"X24_cp724",0.607976513353116,0.00640429525222552,0.0132788872403561,0.0775250741839763,0.0215533961424332,0.0786750059347181,0.0819248130563798,0.0834247240356083,0.00557934421364985,0.0142038323442137,0.00945411424332344
"X24_cp460",0.555954600890208,0.010904028189911,0.050026706231454,0.111123080118694,0.0320527729970326,0.0458019569732938,0.0662257448071217,0.0934741275964392,0.0060293175074184,0.000929620178041543,0.0274780445103858
"X24_cp730",0.597002164688427,0.0189035534124629,0.0379024258160237,0.0920992091988131,0.00342947181008902,0.0572762759643917,0.0852746142433234,0.0442270504451039,0.0130788991097923,0.0052293649851632,0.0455769703264095
"X24_cp479",0.597802117210682,0.00957910682492582,0.015803737388724,0.0847496454005935,0.017328646884273,0.0655757833827893,0.096573943620178,0.0776250682492582,0.00492938278931751,0.0124039391691395,0.0176286290801187
