"","other","assim_nitrate_reduction","assim_nitrite_reduction","cellulolytic","chitinolytic","copiotroph","denitrification","dissim_nitrate_reduction","dissim_nitrite_reduction","lignolytic","methanotroph","n_fixation","nitrification","oligotroph"
"ram_samp_106",0.882992,0.00123321,0.00345085,0.00258841,0.00333333,0.0341996,0.00426195,0.00493684,0.00640554,0.00170599,0.000185956,0.00881448,0.000528066,0.0453658
"ram_samp_107",0.878023,0.00161296,0.00429576,0.00285456,0.00481979,0.0407698,0.00465376,0.00539324,0.00670945,0.00259376,0.000121426,0.0081409,0.000523213,0.0394855
"ram_samp_108",0.880892,0.00136818,0.00394723,0.00271294,0.00386589,0.0357854,0.00445235,0.00514953,0.0066367,0.00202306,0.000149897,0.00861476,0.000571785,0.0438295
"ram_samp_109",0.877446,0.00165988,0.00421614,0.00286121,0.00487427,0.0413545,0.00479342,0.00549553,0.00686041,0.00257599,0.000118804,0.00823334,0.000527771,0.0389807
"ram_samp_110",0.879523,0.00144501,0.0043346,0.00280268,0.00427354,0.0366334,0.00459599,0.00537288,0.00677714,0.00213193,0.000135739,0.00836231,0.000619707,0.0429915
"ram_samp_111",0.880223,0.00145196,0.0039812,0.00279965,0.00400657,0.0357125,0.00473001,0.00532024,0.00697452,0.00193563,0.000153933,0.00869405,0.000634686,0.0433788
"ram_samp_112",0.879615,0.00150683,0.00407679,0.00284654,0.00414285,0.0359706,0.0048454,0.00539003,0.00712234,0.00199044,0.000148321,0.00871483,0.000659714,0.0429706
"ram_samp_113",0.878892,0.00145161,0.00449271,0.00282163,0.00445568,0.0370873,0.00466969,0.00557728,0.00680855,0.00205568,0.000132902,0.00815309,0.00064741,0.042752
"ram_samp_114",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_115",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_116",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_117",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_118",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_119",0.880508,0.00114811,0.00321387,0.00333375,0.00815147,0.0323044,0.00590898,0.00538823,0.0066956,0.00124891,0.000423874,0.00637402,0.000404006,0.0448963
"ram_samp_120",0.878192,0.00151122,0.00461639,0.00287161,0.00462504,0.0374206,0.00478153,0.00564603,0.00695185,0.00213665,0.000126917,0.00816967,0.000671264,0.0422775
"ram_samp_121",0.879269,0.00142205,0.00442654,0.00279605,0.00437072,0.0369398,0.00460758,0.00553452,0.00672856,0.00202043,0.000136227,0.00814255,0.00063311,0.0429723
"ram_samp_122",0.878762,0.00152845,0.00435599,0.00288362,0.00442053,0.0366242,0.00489017,0.00557582,0.00712376,0.00201909,0.000139135,0.00843692,0.000687461,0.0425506
"ram_samp_123",0.879485,0.00140485,0.00442879,0.00277881,0.00434713,0.0370216,0.0045199,0.00546187,0.00662399,0.0020737,0.000135166,0.00811108,0.000611344,0.0429989
"ram_samp_124",0.878631,0.0015873,0.00416993,0.0029093,0.00431132,0.0362333,0.00507265,0.00554456,0.00740516,0.00200449,0.000142211,0.00879064,0.000709633,0.0424923
"ram_samp_125",0.8811,0.00137048,0.00376086,0.00272927,0.00375315,0.0350113,0.00465461,0.00529756,0.00686436,0.00173322,0.000169576,0.00872731,0.000621157,0.0442056
"ram_samp_126",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_127",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_128",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_129",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_130",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_131",0.886769,0.000777528,0.00322846,0.00308158,0.00677261,0.027622,0.00453538,0.00486343,0.00524601,0.000861629,0.000719212,0.00545065,0.000354016,0.0497162
"ram_samp_132",0.877638,0.00167084,0.00353017,0.00220017,0.0109699,0.0386367,0.00473874,0.00585376,0.00447127,0.0011748,0.000127999,0.00563817,0.00043645,0.0429104
"ram_samp_133",0.877638,0.00167084,0.00353017,0.00220017,0.0109699,0.0386367,0.00473874,0.00585376,0.00447127,0.0011748,0.000127999,0.00563817,0.00043645,0.0429104
"ram_samp_134",0.877515,0.00168165,0.00354637,0.0022064,0.0110308,0.038692,0.00475647,0.00586515,0.00448657,0.00118261,0.000127003,0.00563997,0.000438959,0.042834
"ram_samp_135",0.877515,0.00168165,0.00354637,0.0022064,0.0110308,0.038692,0.00475647,0.00586515,0.00448657,0.00118261,0.000127003,0.00563997,0.000438959,0.042834
"ram_samp_136",0.879538,0.00142296,0.00437409,0.00280509,0.0042861,0.03635,0.00463302,0.00548991,0.00679128,0.00198582,0.000140586,0.00825022,0.000646969,0.0432829
"ram_samp_137",0.881938,0.00129774,0.00365496,0.00265781,0.00359191,0.0348792,0.0044386,0.00514937,0.00659172,0.0017295,0.00017473,0.00867318,0.000570458,0.0446535
"ram_samp_138",0.878515,0.00151318,0.00453301,0.00288545,0.00451874,0.0366991,0.00483982,0.00562302,0.00705186,0.00205195,0.000133651,0.00829039,0.000695322,0.0426457
"ram_samp_139",0.891138,0.00188434,0.00303283,0.00303554,0.00852838,0.0316395,0.00659569,0.00508548,0.00765577,0.00114915,0.000229001,0.00481533,0.000932932,0.0342791
"ram_samp_140",0.892877,0.00172565,0.00284735,0.0029217,0.00788187,0.0309114,0.00627496,0.00495056,0.00732074,0.00104961,0.000254778,0.00479408,0.000863022,0.0353279
"ram_samp_141",0.8907,0.00192557,0.0030807,0.00306365,0.00869731,0.0318437,0.0066688,0.00511353,0.00773237,0.00117925,0.000222763,0.00481919,0.000947936,0.0340042
"ram_samp_142",0.893477,0.00167092,0.00278225,0.00288108,0.00765639,0.0306464,0.00616121,0.00490203,0.00720148,0.00101536,0.000264914,0.00478633,0.000838762,0.0357128
"ram_samp_143",0.889592,0.00202664,0.00319538,0.00313316,0.00909928,0.0322472,0.00687285,0.00519995,0.00794387,0.0012387,0.000209609,0.00483302,0.000995125,0.0334141
"ram_samp_144",0.8949,0.00154308,0.00262775,0.00278321,0.00712461,0.029996,0.00588865,0.00478423,0.00691473,0.000935514,0.000291669,0.00476726,0.000781764,0.0366646
"ram_samp_145",0.891577,0.00184437,0.00298655,0.00300739,0.00836654,0.0314615,0.00651612,0.00505226,0.00757281,0.00112404,0.000235037,0.00481014,0.000915381,0.0345344
"ram_samp_146",0.890338,0.00195884,0.00311879,0.00308656,0.00883102,0.0319867,0.00673373,0.00514039,0.0077999,0.00120026,0.000218174,0.00482335,0.000962442,0.0338006
"ram_samp_147",0.891223,0.00187627,0.00302352,0.00302989,0.0084958,0.0316039,0.0065797,0.00507882,0.00763911,0.00114408,0.000230196,0.0048143,0.000929395,0.0343301
"ram_samp_148",0.893277,0.00168898,0.00280379,0.00289456,0.00773091,0.0307347,0.00619892,0.00491816,0.00724104,0.00102665,0.000261492,0.00478891,0.000846773,0.0355844
"ram_samp_149",0.897638,0.00129884,0.00232219,0.00258216,0.00609002,0.0286324,0.00533079,0.0045337,0.0063237,0.000786464,0.000358502,0.00472495,0.000669267,0.0387082
"ram_samp_150",0.887292,0.00224069,0.00343386,0.00327306,0.0099427,0.0330925,0.00727327,0.00536212,0.0083579,0.00137388,0.000185471,0.00485758,0.00108788,0.032227
"ram_samp_151",0.895692,0.00147166,0.00253985,0.00272653,0.00682435,0.0296117,0.00573187,0.00471544,0.00674915,0.000891015,0.000308837,0.00475595,0.000749709,0.0372316
"ram_samp_152",0.897892,0.00127658,0.00229353,0.00256287,0.00599416,0.028495,0.00527837,0.00450982,0.00626779,0.000772625,0.00036603,0.00472087,0.000659141,0.0389147
"ram_samp_153",0.892638,0.00174864,0.00287469,0.00293801,0.00797834,0.0310436,0.00631466,0.0049651,0.00736271,0.00106763,0.000250443,0.00479593,0.000870413,0.0351526
"ram_samp_154",0.893531,0.00166792,0.00277883,0.00287831,0.00764604,0.0306546,0.00614752,0.00489389,0.00718751,0.00101693,0.000265193,0.00478456,0.000834763,0.035717
"ram_samp_155",0.893115,0.00170421,0.00282128,0.00290595,0.00779279,0.0308062,0.00623117,0.00493179,0.0072747,0.00103567,0.000258818,0.0047912,0.000853642,0.0354777
"ram_samp_156",0.8893,0.0020536,0.00322508,0.0031513,0.00920549,0.0323557,0.00692497,0.00522113,0.00799773,0.00125508,0.000206388,0.00483637,0.001007,0.0332579
"ram_samp_157",0.891008,0.00189715,0.00304779,0.00304394,0.00858242,0.0317191,0.00661313,0.00509038,0.00767435,0.00116113,0.000226868,0.00481563,0.000935569,0.0341812
"ram_samp_158",0.898631,0.00120963,0.00220561,0.0025042,0.00570182,0.0280434,0.00512499,0.00444126,0.00610333,0.000728069,0.000391255,0.00470966,0.000630686,0.039576
"ram_samp_159",0.894631,0.00156711,0.00265647,0.00280202,0.0072243,0.0301196,0.00594121,0.004807,0.00696998,0.000950038,0.000286446,0.00477108,0.000792623,0.0364802
"ram_samp_160",0.892123,0.00179433,0.00292754,0.00297174,0.00816207,0.0312314,0.00641597,0.00501009,0.00746809,0.00109211,0.000243154,0.00480362,0.000893478,0.0348627
"ram_samp_161",0.889831,0.00200577,0.00317194,0.00311852,0.00901847,0.0321839,0.00682465,0.00517778,0.00789429,0.00122971,0.000212025,0.00482915,0.000982902,0.0335197
"ram_samp_162",0.894331,0.00159433,0.0026895,0.00282304,0.0073378,0.03026,0.00599966,0.00483235,0.00703154,0.000967015,0.000280549,0.0047752,0.000804778,0.0362743
"ram_samp_163",0.888785,0.00210239,0.00328076,0.00318299,0.00940231,0.0325786,0.00700838,0.00525282,0.00808473,0.00129084,0.000200225,0.00484062,0.00102479,0.0329622
"ram_samp_164",0.894062,0.00161852,0.00271873,0.00284156,0.00743841,0.0303831,0.00605124,0.00485464,0.0070858,0.000982115,0.000275488,0.00477881,0.000815564,0.0360942
"ram_samp_165",0.897354,0.0013245,0.00235489,0.0026042,0.00620002,0.0287877,0.00539091,0.00456094,0.0063877,0.000802301,0.000350232,0.00472962,0.000680951,0.0384745
"ram_samp_166",0.893354,0.00168238,0.0027953,0.00288972,0.00770282,0.0307003,0.00618574,0.0049124,0.00722705,0.00102202,0.000262889,0.0047881,0.000843961,0.0356317
"ram_samp_167",0.897246,0.00133316,0.00236525,0.00261212,0.00623468,0.0288151,0.00541809,0.00457525,0.00641614,0.000804544,0.000348097,0.00473261,0.000687159,0.0384146
