"","mean.other","mean.Mortierellales","mean.Filobasidiales","mean.Tremellales","mean.Umbelopsidales","mean.Russulales","mean.Hypocreales","mean.Eurotiales","mean.Chaetothyriales","mean.Cantharellales","mean.Sordariales","mean.Atheliales","mean.Agaricales","mean.Sebacinales","mean.Helotiales","mean.Thelephorales","mean.Pezizales","mean.Boletales","mean.Pleosporales","mean.Mytilinidales"
"DSNY_002",0.121759173986649,0.0357466483837374,0.0172574097277452,0.03025623696525,0.0390933245563467,0.156285996373491,0.0294188950150829,0.033032072420775,0.0601017962182531,0.0462777114991714,0.0275036084195082,0.037995778750264,0.078590215539427,0.0136838265121023,0.0458237693802599,0.0732631234740767,0.0307534052187765,0.0395945767467825,0.0618070301676009,0.0217554006447011
"DSNY_003",0.122956706191521,0.036640552379084,0.0163649696501532,0.0297404997990215,0.0392877657304141,0.139484162840976,0.0315796010815663,0.0334057692474036,0.0618391224579527,0.0490344000027886,0.0274836095845944,0.037941144483391,0.084117320065695,0.0141898174211098,0.0468897174944443,0.0737249497927628,0.0312939951075041,0.0396848505881274,0.0625565965156104,0.0217844495658799
"DSNY_004",0.122928165101596,0.0370731248132175,0.0182607073890597,0.0312173513671104,0.0452421571735254,0.155626262019241,0.0289803950398149,0.0343677714714195,0.0630078256261868,0.0473644834698824,0.0267888799007548,0.0413600688575841,0.0706137474755774,0.0122049520852594,0.0504576250891516,0.0646986741770538,0.0284981486365076,0.0400415632445305,0.0588466122565118,0.0224214848060159
"DSNY_009",0.124816772228895,0.0373612855966086,0.0188409582614114,0.0320590744018384,0.0354623731184224,0.169432384082968,0.0308159280945549,0.0325064409070004,0.057743861900175,0.0414339152082417,0.0292145669622808,0.035766440655975,0.0711546511469384,0.0140058896520767,0.0437710322296505,0.0712409203664041,0.0299833949004076,0.0386367571553454,0.0639944582164598,0.0217588949143463
"DSNY_016",0.119648554736755,0.0346686570956155,0.0173781978655095,0.0303262239944774,0.0244513119209416,0.174036421762621,0.0320000879860396,0.0291596991714925,0.0503014775144112,0.037251013189604,0.0320692470975488,0.0286856867384257,0.085470572108934,0.0178972024565564,0.0338027723166309,0.0905346503253275,0.0346494304781771,0.0365674729052682,0.0707348967971743,0.0203664235384899
"DSNY_043",0.118443522451471,0.0335581044853876,0.0158921280311342,0.028714863397938,0.0273273084891848,0.159248104552894,0.0302133435607602,0.0299767518074136,0.0531637990659568,0.0420176181946778,0.0295318578308781,0.0311075089681402,0.0940600890217759,0.0174231939149427,0.0364328503261806,0.0918340087750503,0.0352217064767906,0.0378165616487121,0.0673267243616952,0.0206899546390156
"HARV_001",0.126348400731284,0.123140885295915,0.0307009320619535,0.0245006500924904,0.0434461914172382,0.0660647269222578,0.0375624583545781,0.0294415736782163,0.0454246075450562,0.0337983788377395,0.0217088987848947,0.0410728570047946,0.120804688690157,0.0334679968072279,0.0665941385024673,0.0574005595000634,0.0306494660571945,0.023331064575459,0.0215387876416223,0.0230027374993908
"HARV_002",0.132656965512737,0.147157627983854,0.0323017987307039,0.025570196187302,0.0501679161649184,0.0448857314250203,0.0492528014022075,0.030587444224653,0.0461005559568879,0.032923503125653,0.0235452120289427,0.0363075842817861,0.1078058671441,0.0288449330071841,0.0745204456249723,0.0433368551364367,0.0277979850114598,0.022171475648177,0.0224822853899634,0.021582816013041
"HARV_004",0.14024464168713,0.198612883643165,0.0364124831398691,0.0300002328960573,0.043618179061238,0.0173274831925816,0.0869276044467512,0.0307680060917914,0.0445624860066057,0.027125060172482,0.0276787334164755,0.027093724950776,0.0759375147396531,0.028063427897643,0.0780730894292046,0.0257865454276713,0.0210420074876229,0.0178054445675667,0.0236421183359221,0.0192783334097926
"HARV_010",0.120466672756654,0.10907200772787,0.0274673388573482,0.0225288670645023,0.0427150588597464,0.0717887309065274,0.0334455896899644,0.029188720951061,0.0462186303996468,0.0363324017245758,0.0196475830658459,0.0446606656414692,0.133589023657236,0.0344513729508299,0.0654463306507541,0.0643295195307151,0.0315091223665339,0.023771693422163,0.0200862380092337,0.0232844317673231
"HARV_013",0.127855255688809,0.129756257810397,0.0342490850083719,0.0252680624077043,0.0413143282641166,0.0778013924288162,0.0391993418389852,0.0286732126510771,0.0423204016100047,0.0296268560829647,0.0240730861095972,0.0367191857890384,0.111977150681362,0.0324024626548527,0.0623506270471823,0.0568964214333062,0.0311083854907463,0.023032427540696,0.0231602129541577,0.0222158465078138
"HARV_016",0.12654019702625,0.125671745984444,0.032872088692204,0.026039188287884,0.0369434695457011,0.0752168380219241,0.0409149056606454,0.0286021777365211,0.0440701243934861,0.0306181712901446,0.0226123751130737,0.0400830360255733,0.112700644627038,0.0365790105101141,0.0623816907331023,0.0602711166201033,0.030038055491979,0.022674140034797,0.0217531215263292,0.0234179026786853
"HARV_020",0.121085326484859,0.265195708133858,0.0333626860082157,0.0267771447265361,0.0608299410852764,0.00379522952649605,0.152586686941208,0.0277311196500667,0.0375875086462298,0.0205913671573424,0.0267697897480517,0.0154968674460242,0.0387751658766663,0.0130643327047054,0.0917429228063906,0.00761826365371247,0.011600383387296,0.0121093271944044,0.0206609389245927,0.0126192898980677
"HARV_021",0.120093160848144,0.112938870528358,0.0276725664616316,0.0220629180691743,0.0482132266976372,0.0722058374110154,0.0333742232269782,0.0290822839816011,0.0458848703562346,0.0365807707387179,0.0198460999401706,0.043637587756766,0.131330537658432,0.0307607043811606,0.06834505298945,0.0596173532907769,0.0314986660633724,0.0240138799281473,0.02028627196403,0.0225551177082024
"HARV_033",0.134729291367258,0.145757617313693,0.0336765556199508,0.0273819183561382,0.0412024553534242,0.0441701579246658,0.0507153011131824,0.0305519141282983,0.0462802935381911,0.0317610128114875,0.0243032975126798,0.0369108212274611,0.106843744501625,0.0346214476215177,0.0693536160274547,0.0471353486057675,0.0276481586932439,0.0216668452867158,0.0227998204696,0.0224903825276455
"HARV_034",0.122811092839752,0.112478478246745,0.0279564429260098,0.0233237512329078,0.0430308221121287,0.0608255737286201,0.0343714507919719,0.029664121956209,0.0475426647831011,0.0375901364971402,0.0200336274265448,0.0456925724434609,0.131811068623309,0.0357539782700875,0.0674064707381953,0.0611892603970218,0.0306643142854299,0.0237261143100429,0.0203250979532305,0.0238029604380924
"HARV_035",0.123019473745679,0.111671636860511,0.0276886582635006,0.0235441044574803,0.0430586373405217,0.0599727209213723,0.0343533641796211,0.0295628059792894,0.0478970310168229,0.0376173392784356,0.0201522487600133,0.0453798166314901,0.132631204013783,0.0361447925899984,0.067520355345669,0.0613866184157921,0.0308451204561044,0.023631900258527,0.0203742338443883,0.0235479376410006
"JERC_001",0.0984152797616297,0.0218855240194585,0.0155130819377758,0.0191649883290954,0.0149998831804974,0.186290116187864,0.0288080434523984,0.0256636697987798,0.037202795741302,0.0377203916273156,0.0323560568093625,0.0143812913149031,0.136931963595764,0.0378206115876532,0.0246922438413372,0.109118046404749,0.0505919727208834,0.0272384176596213,0.0656253029634806,0.0155803190661287
"JERC_002",0.0952457084641839,0.0201435871585388,0.0127928853245627,0.0170969874154033,0.0206569284281417,0.151004073129673,0.025544987141602,0.0279786942700145,0.043395052153002,0.0509792505939731,0.027358185263464,0.0180157582994681,0.16214436705995,0.0341482813193721,0.0302820537539016,0.106907257472969,0.0512917519024079,0.0299156433044455,0.0588426171039272,0.0162559304409987
"JERC_003",0.0978075546025802,0.0215209008614812,0.0150073344393868,0.0188279493361363,0.0161425847342381,0.179900961387921,0.0281819530250395,0.0262105665674572,0.0384369630689189,0.0403401089928115,0.03159630404123,0.0150570644032512,0.141485924983433,0.0370847279743356,0.0256432141677435,0.108410010863244,0.0507237779580054,0.0276490571073219,0.0642772321515913,0.0156958093338737
"JERC_005",0.0950348035896292,0.0202362858904277,0.0130976373618434,0.0172443549397538,0.0200515967174555,0.154717673169722,0.0260581057063222,0.027626565098774,0.0425838569521595,0.0501754150818559,0.0278988579968427,0.0176523794920897,0.159755398674134,0.0346846863969857,0.0296726089518329,0.107147890351006,0.0511135827275167,0.0294967005116537,0.0595427501970128,0.0162088501929814
"JERC_006",0.0964745736633383,0.0207871807949403,0.0137628166738539,0.01782588834581,0.0188580771078362,0.162704171181142,0.0267383481341863,0.027155448708617,0.0415884265112453,0.0469130883837011,0.0291169049235189,0.0168237860060596,0.153031509594464,0.0351736163846079,0.0283963570009852,0.107308185575204,0.0511217907689047,0.0290824608913913,0.0611138145787087,0.0160235547714846
"JERC_008",0.0961980710366803,0.020688133418989,0.0136659442741706,0.0177525916280751,0.0179624112763808,0.164340119762186,0.0267987392222376,0.0268637168474118,0.0407060853856283,0.0454239949860473,0.0293802284673653,0.0163804734621,0.15352379194985,0.0359535184017431,0.0275221513211572,0.109070947124305,0.0513642991618121,0.0287680908806837,0.0618344912971569,0.0158022000960207
"JERC_047",0.0979473579649609,0.0215146564425161,0.0144013472079965,0.0184164313889067,0.0169221287148898,0.167496152278299,0.0285844755430807,0.0265996447031037,0.0395838437157051,0.0425152988784805,0.0310597908203031,0.015340667472337,0.148551228716355,0.0369737578271827,0.0265841304870755,0.108477539255446,0.0513198679826256,0.0281075862311423,0.0638445513139751,0.0157595430556189
"JERC_048",0.0971875403449222,0.0212094224766668,0.0138951906058852,0.0180096264602735,0.017927124945863,0.1613775198672,0.028128128711749,0.0268938675761361,0.0405798837684842,0.0452627756856604,0.0299241683762248,0.016223326213486,0.152860478601202,0.0363571035194478,0.0277424339410419,0.108079905135619,0.0513222374398842,0.0286527218000991,0.0624634265228991,0.0159031180072566
"JERC_049",0.0972209924968975,0.0212215914942216,0.0138420430226235,0.0179006377581683,0.0188421116185196,0.159232167961812,0.0280113123699946,0.0274647041043855,0.0415980920588616,0.0464247194864836,0.0295473083934347,0.0165118910808992,0.153872742223499,0.035483060090259,0.0286408125652004,0.106460638553284,0.0510351551322718,0.0288187928306948,0.0618628412362661,0.0160083855222231
"ORNL_001",0.128448143456492,0.149967131348021,0.0247919984067306,0.0302354902266346,0.0384225598355659,0.0479159437295501,0.0723182541932672,0.0300582650826505,0.0466208539684407,0.032147689978048,0.028333155124193,0.0226229512430838,0.120538637987218,0.0276340565828649,0.0448244279697613,0.053539296354291,0.0295210377349108,0.021554321520909,0.0291946647700526,0.0213111204873154
"ORNL_003",0.124983320687613,0.137451042624237,0.024044313157271,0.0293325118921648,0.0392169665752133,0.0563023358588821,0.0633023585664253,0.0296868973235047,0.0467113113550344,0.0333404883101865,0.0267783281662337,0.0241146447843838,0.128803132372665,0.0282268718561138,0.0443434537026934,0.0600562663773896,0.0309658612399425,0.0223717256115123,0.0281930830050265,0.0217750865335068
"ORNL_021",0.125553414087523,0.208059001182638,0.0249434500744365,0.031560509015895,0.0420075005282543,0.0115510987508401,0.141669973270047,0.0286978832909175,0.0431321644975982,0.0276230661166705,0.0311959959616085,0.0144293985584574,0.0893281146663187,0.0221191129266521,0.0509576683969539,0.0253910005040037,0.0204567026073186,0.0158967159525172,0.0289322382235134,0.0164949913878359
"ORNL_029",0.125811665088678,0.162782291106684,0.0249541209472915,0.0306462272404117,0.0395807572255793,0.0320579120178837,0.0868417044682075,0.0291664836119432,0.044758050692062,0.0314828399236977,0.028741969221999,0.0193173825378034,0.125229472170739,0.0281201270104336,0.0459691313992938,0.0482426980620311,0.0277386783375639,0.019832008178134,0.0291370552661448,0.0195894254934182
"ORNL_031",0.117253875085694,0.241320234450391,0.0248415840057795,0.0314969477412762,0.0418753600219965,0.00545966382275661,0.190080737208027,0.0271358929082015,0.0391704526870621,0.0229255033087685,0.0314056594038838,0.0107709987222536,0.063188655097825,0.0168806481542099,0.0523846662509521,0.0148952491832884,0.0152960712494086,0.0126644586322855,0.0274302790711544,0.0135230629947854
"ORNL_037",0.119645229188637,0.128482181940786,0.0235145260981004,0.0280780036959443,0.0390770993138183,0.0635161145294773,0.05548089920924,0.0285679454967772,0.0450845348736269,0.0332079474554748,0.0255787261212974,0.0245431308741576,0.142350682037125,0.0293540501275874,0.0426218499563788,0.067913942092985,0.0317168707085622,0.0224919256728024,0.0271103214601634,0.0216640191470585
"ORNL_043",0.126362214936606,0.14398445631038,0.0251298292529382,0.0298093705011645,0.0398130663699846,0.0532586631560633,0.0649147866992685,0.0297008313594972,0.0458569124561678,0.0318076420799884,0.0268431719617913,0.0232284885905771,0.127640957635408,0.0277548982382593,0.0445636805543147,0.0579452166234381,0.0301398501693447,0.0216887990191463,0.02815319016903,0.0214039739166327
"OSBS_001",0.105122969474529,0.0845727861599851,0.0148906988324828,0.0261913772032689,0.05216431502255,0.115267804327528,0.0379270404277677,0.0322876946438327,0.0602401756571326,0.0451795623764472,0.0188867004098119,0.0286295942620082,0.136385366484514,0.0185055180726539,0.0351148056455889,0.0807711001693499,0.0336925293902203,0.026567420083165,0.0230556243152158,0.0245469170419483
"OSBS_002",0.0890842837517829,0.0636018213929353,0.0096714874748947,0.0196725218606714,0.0351434340668973,0.0943290090434975,0.0336995478083676,0.0273103929498213,0.0535502594259273,0.0503457266407808,0.0171939251318348,0.0238473402458434,0.208940398033038,0.0242876565040974,0.0258747917111891,0.112685684347415,0.0410964599072227,0.0248081268394779,0.0231654653830022,0.0216916674813037
"OSBS_003",0.112535027128036,0.102292958607892,0.0127422057639917,0.0258188256228365,0.059134108420654,0.0474306251067045,0.058288519778324,0.0350765657005659,0.0671250618513488,0.0546680824724626,0.0199588275185729,0.0253234564741034,0.151887491704038,0.0185032822028384,0.0410289558730802,0.0626867550844553,0.0324025104087415,0.0253893118613123,0.0245821139765374,0.0231253144435045
"OSBS_022",0.107707443057798,0.0936839424435846,0.0180953043113928,0.0298188508872908,0.0412439803413531,0.133932389164157,0.0444548062331082,0.0305634785422014,0.0540664738145432,0.0348716240052158,0.0219499601255196,0.0237912996859566,0.123056335803812,0.0206332058568828,0.0307179886250722,0.084051755094682,0.033541452308223,0.0246647833072128,0.0253448866049933,0.0238100397870018
"SCBI_002",0.112195175977077,0.201881305531951,0.0222268085303413,0.0268020802218557,0.0221977445524899,0.0082421214820234,0.190448850299297,0.0237969100677069,0.02670118920121,0.0251539629522557,0.0363637561142822,0.00702170040360377,0.126468763046738,0.0335508612899673,0.0318295589020334,0.0229484651146971,0.0220890708611327,0.0117981449403048,0.0324016190180997,0.0158819114929325
"SCBI_003",0.113666634129354,0.143426812245449,0.0220540342168654,0.0255316478481437,0.0205681228385866,0.0332157242882255,0.0971009815426092,0.0239906600890694,0.0282246790127159,0.0294810603097679,0.0326183674088616,0.0105687061700381,0.193401444188529,0.0446681329983869,0.0275890479499114,0.052869264199843,0.0327593735577192,0.0156943296480175,0.0323752436320079,0.0201957337258987
"SCBI_006",0.111682505262806,0.201591725490687,0.0220806701851455,0.0266842622603976,0.0214508086794935,0.00816860479792744,0.193267566709635,0.0235552031651305,0.0263950933895286,0.0247321154676757,0.0366297426782987,0.00679692576702211,0.126537242460196,0.0338988330706588,0.0310770640371294,0.0231473276665145,0.0221364132042964,0.0116777232700433,0.0327620246738361,0.0157281477635786
"SCBI_012",0.11076347553441,0.197398855814088,0.0212904463317756,0.0261375003862259,0.0207295786852806,0.00805537377811291,0.192913822373057,0.0233047223055472,0.026214373401196,0.0250057544841648,0.0365121856763211,0.00666199011928218,0.132628831611042,0.0349751465420747,0.0302620712753401,0.0240267765671489,0.0227865212413144,0.0116715248337887,0.0330326477872065,0.0156284012526219
"SCBI_033",0.11263325759923,0.205880173661812,0.0229720265791244,0.0273816418563894,0.0227307114478796,0.00828091530008145,0.194015316546743,0.0239321379197204,0.0267773374792192,0.0245665300203952,0.0365551340543252,0.00698451517937182,0.119540835643869,0.0323194994321686,0.0322232437523228,0.0219277025906111,0.0213905860532861,0.0117172696846275,0.0322462735670765,0.0159248916317474
"SCBI_045",0.113310533489261,0.211241953064328,0.0235326450010726,0.027789433998746,0.0244109068829939,0.00795649049823458,0.196946152691293,0.0243739825668572,0.0273970070790225,0.0246485480809095,0.0361430011156102,0.00711590669677932,0.111478546069459,0.0302239376908199,0.0337658304724813,0.0201538591708534,0.0203351162457502,0.0116619426634406,0.031605296423735,0.0159089100983527
"STER_005",0.130674571875161,0.064776951158086,0.0297578172421599,0.0223431066637337,0.0180091864012245,0.00760456987903455,0.100358645601421,0.021711069285141,0.0254315422987521,0.0247659465473791,0.0587900983460799,0.00974823621598713,0.198022533768847,0.0427812873247558,0.0383870601139576,0.0419610172135444,0.0596274129159425,0.0160219556280811,0.0741122288453966,0.0151147626753157
"STER_006",0.144697034791624,0.0790892182492736,0.0401156961361454,0.0272403920092827,0.0246376184504631,0.00887617212334612,0.109513509717005,0.024441408373156,0.0280095792768607,0.0236954462527846,0.0625422966486649,0.011381030643566,0.143736748999064,0.0341482292077723,0.0482766872877369,0.0318989261885519,0.0506770498585697,0.0167910603391851,0.0737102137259154,0.0165216817210325
"STER_007",0.136136935722242,0.0698304913937371,0.0330548276302371,0.0240281370985605,0.0210875138407348,0.00795454743119913,0.102676426213682,0.0229436317882035,0.0268358470497261,0.0250328489704572,0.0593269341839613,0.0106653955081769,0.17853294642393,0.039237316815583,0.0432412077534818,0.0376070402610851,0.0560833761739398,0.0164772482441662,0.0735800552108958,0.0156672722860004
"STER_018",0.129497936990915,0.0639176150959697,0.0289982563391406,0.0219682537440316,0.0176126006614917,0.00751110527326656,0.0994709312136586,0.0215302967388519,0.0252007709880693,0.0248838278495048,0.0580916691037332,0.00959480785882571,0.202857931986693,0.0432259813917068,0.0378126670072029,0.0427003872018301,0.0601401322647789,0.0159316362649148,0.0740342189962706,0.0150189730291442
"STER_026",0.143085859937671,0.076477772941611,0.0377038108616367,0.0263858526075577,0.0249908463633148,0.00851006871950523,0.106528386180324,0.02449293888594,0.02847504689845,0.0248760143112562,0.060638166208842,0.0115879255131809,0.152463399696805,0.0345858456446296,0.0483841209208343,0.0328284546001884,0.0518356480080603,0.0169351946320184,0.0727182171928811,0.0164964298752934
"STER_027",0.130925131190061,0.0654911079470937,0.0301479702773844,0.0224935649748143,0.0184101642963907,0.00765928074026377,0.100216264301736,0.0217983262187084,0.0253935044504151,0.0247290322963333,0.0588290513532576,0.00980257907790757,0.196379201874115,0.0424662185407438,0.0388746319790894,0.0416459217076231,0.0591931692737272,0.0159988103762941,0.0742778605279614,0.01526820859608
"STER_028",0.127726109588459,0.0629179616180794,0.0285520155544354,0.0218010338089368,0.016346319468778,0.00750654935257704,0.0991984219633216,0.0209441948849652,0.0244432387630499,0.0240304703226912,0.0586836793942223,0.00922137551184301,0.20724281678972,0.04494571264384,0.0359486600896709,0.0442044410722844,0.0609221425312606,0.0156445077461711,0.0749792244507576,0.0147411244449373
"STER_029",0.139111444553925,0.0732126042825109,0.035365338734822,0.0251769880203086,0.021779792549852,0.00831004812637946,0.105612422081604,0.0233516230816228,0.0270659596825507,0.0242906690071738,0.0609502677708798,0.0107439194824298,0.166045487113767,0.0377246882154247,0.0442367596686733,0.0359085026316588,0.0543177885533893,0.0165304368216367,0.0743045373915107,0.0159607222298798
"STER_031",0.14421902299803,0.079007472049247,0.0404781937326998,0.0274152432850654,0.0237432094512062,0.0089981825898074,0.110228126087229,0.0241727309428546,0.0274946943480092,0.0230643812969355,0.0634831931947953,0.0110540761660233,0.143652769367528,0.0348337908257842,0.046953136613377,0.0324622001535853,0.0510976500149508,0.0166191237038523,0.0746297921901921,0.0163930109888265
"STER_033",0.12811226297354,0.0635051121360658,0.0290300097608678,0.0217986327057926,0.0168616553002506,0.00752720371892135,0.0993870009876182,0.0212196931581213,0.0247372203974614,0.0243224672993942,0.0584244003398056,0.00932555628830753,0.205842826597665,0.0442003929835501,0.0367991307590929,0.0435785803073885,0.0606956918648597,0.015646314991369,0.0742709050696273,0.0147149423603008
"STER_034",0.114262545921824,0.0521889554935016,0.0216061841166627,0.0177352653576712,0.0142852521492217,0.00611914576760872,0.0873282018302416,0.0192491240758867,0.0230483288173247,0.0262286095698779,0.0514951434178645,0.0085040903004702,0.26204488635717,0.0489168808063521,0.0317333878487055,0.0512410937825617,0.0655863180436454,0.0150511800811993,0.0697848603234519,0.013590545938759
"STER_035",0.112838770492476,0.0516507356839809,0.0218757239120121,0.0178045294198334,0.0122538252360061,0.0063917470415493,0.0897078182642979,0.0183321526936851,0.0215990553825488,0.0239573011366762,0.0538697766895628,0.00774825318703425,0.2599161135297,0.0522742382181965,0.029068079257244,0.0533438507110976,0.0667860500612681,0.0144292628895992,0.0730063491711193,0.0131463670221124
"TALL_001",0.128828867234945,0.154609013876382,0.0199382779411923,0.0280357296378007,0.0718469865317516,0.0183335362949686,0.102732053934872,0.0386889932599329,0.0675753839657862,0.0419923365419707,0.0247543902888661,0.0208865613031087,0.0830115827473667,0.0176596248245367,0.0666593177407001,0.0271547003555062,0.0237679996268734,0.0206555661453634,0.0248628257606223,0.0180062519874546
"TALL_002",0.119222327682826,0.108048577836067,0.0153112657585024,0.0229781121979893,0.0493544834666961,0.0346074236291905,0.0677015418036201,0.035434171277988,0.0637168841426324,0.0484646064059285,0.0229680680259059,0.0220834742326543,0.149945544662743,0.0273451719560127,0.0490670334425257,0.0584449338296833,0.0361640400432832,0.02348421931819,0.0263973693810851,0.0192607509064769
