"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"STER_031-M-2-0-20140723",0.40567867346581,0.0924742997083839,0.0461654816970028,0.0236934806340734,0.0234189055459656,0.0122274673761354,0.0293241716802117,0.0268951568760828,0.025403852753398,0.0184435179714101,0.0430781040370538,0.0113068723179788,0.0104580640408661,0.0424023412376373,0.0287863082437017,0.0231358686405622,0.0347859186793419,0.0226043498676035,0.0286102651624729,0.0182196007691403,0.0328872992951676
"STER_033-M-23-30-20140723",0.40604419174351,0.0785792912794417,0.0352641236809991,0.0203782094779118,0.019746671713028,0.010312936025001,0.0273973562670671,0.0263370307621801,0.0255559654779471,0.0192630767122331,0.0413526296873254,0.0108740535446064,0.011677943184703,0.0640247360384242,0.0351969277468379,0.0218307441917909,0.043615485664275,0.0219020210910736,0.0308263741358514,0.0178507560229948,0.0319694755527987
"STER_033-M-30-38-20140723",0.403010013035418,0.0741159409234086,0.0321130066382515,0.0194137202646725,0.0183053983242056,0.00979729818859375,0.0265793646193567,0.0260694747546334,0.0252041446078091,0.0195344444075412,0.0408443305068939,0.0105055351345798,0.0117777677757885,0.0739992153312898,0.0379230838050883,0.0209678754081893,0.0474571425936675,0.0216515033055914,0.0314834815574347,0.017697929638935,0.0315493291786511
"STER_033-M-33-4-20140723",0.394305020965098,0.063156726200595,0.0248845377384001,0.0167067418598768,0.0160724635827188,0.00831335282357102,0.0247141723532138,0.0251941462168113,0.0252660835595877,0.0198037375405531,0.0384225880887726,0.0101167458219471,0.0130787642399484,0.101275289576782,0.0427477393030604,0.0198816937172526,0.0554720630739722,0.0207178244147057,0.0326460450630297,0.0171296181748625,0.0300946456852412
"STER_034-M-19-30-20140723",0.385875739907097,0.0562780993808858,0.0210547833795778,0.0151747143892234,0.0148282764003284,0.00740656255265432,0.0234873864775899,0.0246559519783795,0.0253219079350564,0.0198930515520244,0.036432897572728,0.00994805831848401,0.0139985625943179,0.121424054445866,0.0453561356613474,0.0192615214961542,0.0606576708583147,0.0201742783794484,0.0331377990879403,0.0167867864945553,0.0288457611380263
"STER_034-M-23-8-20140723",0.393164429147054,0.0595221393993227,0.0227493944445962,0.0159166543804187,0.0164786908008383,0.00774366836177898,0.024285936217947,0.0253428600463965,0.0262419793374824,0.0197737211272355,0.0366740060489663,0.0104689254993904,0.0146595517977708,0.107850704133406,0.0419271571379094,0.0205650339392743,0.0565771933149018,0.0206318211268705,0.0329615084698571,0.0171880343693014,0.0292765908992816
"STER_035-M-18-37-20140723",0.379536849015406,0.0570021506611671,0.0216377746897453,0.0153658599379529,0.0128156873230374,0.00770870507196494,0.0231064338374201,0.0240284915371834,0.0232379539963577,0.0200338637310742,0.0386700561919991,0.0089886281993793,0.0116523768366952,0.126313186070175,0.0503723521091894,0.017492937029617,0.0632199666682833,0.0198036396670966,0.0332262740437835,0.0163105984396859,0.0294762149427863
"STER_035-M-2-27-20140723",0.376241702194515,0.0614879240850477,0.0245927459918256,0.016469979689175,0.0114627252815925,0.00864284736622286,0.0234073220381067,0.0239167376124205,0.0211803975246852,0.0202132772172807,0.0422708400135725,0.00810926581069551,0.0090733287651482,0.119816926131653,0.0546346415302314,0.0159210823823227,0.063164918000563,0.0196375001024678,0.032957320073085,0.015965030784091,0.0308334874052985
"STER_035-M-33-17-20140723",0.372529988661139,0.0633890324812205,0.0260928684678166,0.0170393811041939,0.0105595243374954,0.00914180937290501,0.0234057479204392,0.0236772807088707,0.0199703192775922,0.0203390620211708,0.044464831028349,0.0076279403856141,0.00781572831759431,0.117429506880594,0.0580171884709049,0.0149424273152919,0.0637224882924809,0.0195575927177263,0.0328606558567751,0.0157056337536286,0.0317109926281973
"TALL_001-M-14-7-20140804",0.310716440049932,0.140879710844549,0.018844744497977,0.023833643228113,0.065257679893863,0.0180067077132166,0.0314021736431443,0.0287867743009814,0.0671689318224777,0.0173824760581089,0.0194698554822395,0.0200279975432006,0.041428528781523,0.0374971247372698,0.012430561733132,0.0268443977760588,0.0271934931943527,0.0271725914597574,0.022932481285711,0.0184265034358049,0.0242971825185871
