"","mean.other","mean.Mortierellaceae","mean.Piskurozymaceae","mean.Trimorphomycetaceae","mean.Umbelopsidaceae","mean.Russulaceae","mean.Hypocreaceae","mean.Aspergillaceae","mean.Herpotrichiellaceae","mean.Clavulinaceae","mean.Chaetomiaceae","mean.Atheliaceae","mean.Cortinariaceae","mean.Inocybaceae","mean.Sebacinaceae","mean.Helotiaceae","mean.Thelephoraceae","mean.Tricholomataceae","mean.Pyronemataceae","mean.Gloniaceae","mean.Helotiales_fam_Incertae_sedis"
"HARV_001",0.279909613597523,0.119219527743167,0.0293786841790448,0.0216026856294182,0.0423563373400518,0.0577056563676008,0.0232495430012513,0.0235025452415085,0.0400586965796391,0.0222718336895158,0.0190672104751435,0.0389318346677532,0.0375229117647052,0.0428794349085229,0.0245728233229275,0.0300538376003138,0.0505857329714969,0.0260288266065035,0.0248276617074178,0.0214694367553192,0.0248051658511754
"HARV_002",0.291509467859568,0.143230014164378,0.0315598216337091,0.021953519856633,0.0477593628810166,0.0399749940922809,0.0250369916569141,0.0240034451339841,0.0410273498146382,0.0196161401348726,0.0200074080640977,0.0343572400863942,0.0359879670735208,0.0367082636166295,0.0201550959924808,0.0320439425056104,0.0388089399364418,0.0255897698786118,0.0238342707293694,0.0201672080414576,0.0266687868473915
"HARV_004",0.305472635644519,0.195366857605382,0.0359406309316641,0.0248993865960631,0.0410991576922496,0.0168004451403307,0.0286277078599262,0.02613021909151,0.0397506235728686,0.0191076559111516,0.0243914965839467,0.0250604200630643,0.0202467284069639,0.0247625234939353,0.0201071310525317,0.0282223456879857,0.0246841105525889,0.027458495014687,0.0235679966174235,0.0184521220959075,0.0298513103853004
"HARV_010",0.274159295635153,0.104810469102042,0.0267443845657263,0.020695995943124,0.041825537183495,0.0632789719266789,0.0221602807193912,0.0229499347231579,0.0407086329227972,0.0231056278939992,0.0175771293922841,0.043255367334847,0.0432027106639379,0.0467754944868215,0.0252042464229855,0.0306053406959172,0.056172496247206,0.0263925912646688,0.0250320839015127,0.022068980524544,0.0232744284497103
"HARV_013",0.275976612045296,0.126672740388817,0.032731217942107,0.0224677246219554,0.0395700146907922,0.0672578292949977,0.0236156374383796,0.022947688862852,0.0361943964407515,0.0211437658694724,0.0206275521433975,0.0344844905330424,0.0322850344244163,0.0438487766870525,0.0251456603085471,0.0284222036972065,0.0512697087256954,0.0245399766601725,0.0242647179282908,0.0204457439419019,0.0260885073548567
"HARV_016",0.276235279662899,0.1234229390776,0.0319789140834014,0.0230295850487607,0.0360467279003121,0.0634056973606926,0.0233689867621005,0.0235206191581846,0.0374496393476285,0.0240714279898321,0.0204509250816407,0.0374597908938985,0.0297245570186538,0.0414548874755634,0.028868752774684,0.027250926344949,0.0540889927219299,0.0268952645333313,0.0249898597747812,0.0212957028967203,0.0249905240924364
"HARV_020",0.281445606614078,0.287376943138932,0.0369331294297517,0.0221443385847629,0.0603115276398516,0.00439726130015372,0.0313684540908886,0.0248018002268245,0.0397466817601271,0.0107395957452955,0.0232886138962678,0.0155105872738148,0.0177714610169565,0.0115315205141878,0.00817739056485846,0.0319152672543164,0.00829858838998573,0.0218363867474805,0.0176138143009916,0.0134063844069744,0.0313846471035003
"HARV_021",0.272370719486269,0.109578152129783,0.0269895410052163,0.0198676564658183,0.0469552865721721,0.0628479001789665,0.0224100494505608,0.0225002895835072,0.0411736384320894,0.0209344498618719,0.0171690557999342,0.0422322763834341,0.0484236800779331,0.0458959215345571,0.0218503305399325,0.0326441608913093,0.0521740688100573,0.0250932853167242,0.024052121602831,0.0214133432449691,0.0234240726320644
"HARV_033",0.293983098166594,0.140207490643138,0.0321197767775517,0.0236566979441069,0.0383495689366249,0.0387792165337149,0.0250647933200846,0.0247047077869212,0.0398515065796374,0.023075003732603,0.0216950423508865,0.0343591507108841,0.0280158735904191,0.0369687885451727,0.0263802810174405,0.0285015567555909,0.0430777431721897,0.0281638980005644,0.0255083680841369,0.0210217173029666,0.0265157200487726
"HARV_034",0.280047741546028,0.10984429188043,0.0270913447592369,0.0209295844430568,0.0423427736547635,0.0528591764650072,0.0226949029370357,0.0234767178499043,0.0420361991113677,0.0238153440863433,0.0180115107455385,0.0428051144035826,0.0416108051582269,0.0440009613938563,0.0259528359208272,0.0311024110168008,0.0527632757606932,0.0274929184076544,0.0251872702164799,0.0221100572325826,0.0238247630105833
"HARV_035",0.279522301041668,0.109945854906041,0.0272457078847091,0.0208286814848511,0.0428091907345951,0.0519479733622394,0.0228600717507116,0.0236333490653049,0.0419096094525803,0.0236694926467953,0.0179697542033207,0.0434562507169374,0.0422481328930948,0.0438448950070577,0.0256406550888778,0.0311928892538999,0.052604773038895,0.0275377259389264,0.025247144968941,0.0222189842241503,0.0236665623364032
"JERC_001",0.291755088225729,0.0234607099923823,0.0160820643409257,0.0202405475653433,0.0174633717227185,0.196828859401722,0.025627828389894,0.0225219724829135,0.0327012289125623,0.0272545397792216,0.0211545772130441,0.0163730346453127,0.0247142195192714,0.052112560672217,0.0327905351365921,0.0178662114753444,0.0966047610439225,0.014781640780439,0.0190510848299001,0.0175110489238003,0.0131041149467436
"JERC_002",0.299657792584086,0.0216202468068216,0.0136461659615414,0.0182854170289718,0.0246239107800374,0.163609643621243,0.0260556990157176,0.023558977777247,0.0409026043114626,0.0265791691816265,0.0178038608749221,0.0213385755833358,0.0443259072735049,0.0525625272595302,0.0258146186908494,0.0236585436013467,0.0897431898477384,0.0156080490584703,0.0193412531812708,0.0189038786752254,0.0123599688850506
"JERC_003",0.292549235024603,0.0232331472788537,0.0158075383693214,0.0200176087729961,0.0185926500569314,0.191514554151272,0.0256296062596554,0.0226670936842523,0.0341400807562443,0.0272577388527444,0.0207657574423234,0.0171564361950599,0.0277730742790379,0.051976106293837,0.0318437489188773,0.0188825558533297,0.0952503584137602,0.0149099867043196,0.0191591037060322,0.0178518947960195,0.0130217241905294
"JERC_005",0.296938090244776,0.0216953622531613,0.0138342140157522,0.018413539515873,0.0241657849239128,0.166150525772628,0.0258900301376748,0.0234533182947288,0.0404981275846996,0.0265792651163067,0.0181494219265687,0.0211554914366329,0.044684857754123,0.0526940473018343,0.026672461338642,0.0232148772271092,0.0897137588053756,0.0155232893431692,0.0194856778049196,0.0187447281412505,0.0123431310608618
"JERC_006",0.297577331022217,0.0222690222675113,0.0144708211026829,0.0189944958897414,0.0224015512827806,0.174146039216046,0.026016577794224,0.0231360427361888,0.0382555439046357,0.0268082967672494,0.0188933763497049,0.0197720579570308,0.0378126155704295,0.0521250186041588,0.0280197184749201,0.0218233387227059,0.091752792553664,0.0153649134991693,0.0192429538578511,0.0184995170634524,0.0126179753636364
"JERC_008",0.296414691111007,0.022275469801447,0.0144428633166389,0.0189254169695682,0.0214302469476348,0.175204440910112,0.0258161658626713,0.0231665956302668,0.0375217701083136,0.0268642518094992,0.0191182989957565,0.0192341674422044,0.0362286726954779,0.0536637137171734,0.0289963884072899,0.0213843427412565,0.093796608872585,0.0152586444838324,0.0193013169301105,0.0183082460279684,0.0126476872191855
"JERC_047",0.298561564044948,0.0234177494629891,0.0151762156722396,0.0196249686515843,0.019755641356445,0.178784343679169,0.0260262759347778,0.0231018673732638,0.0355946524267302,0.0269940601304032,0.0203695327138294,0.0177300205530184,0.0308144639716689,0.0532847132433363,0.0308654027727013,0.0198796710350732,0.0944118307850805,0.015159999841734,0.0193639574019959,0.0179961761247888,0.0130868928242235
"JERC_048",0.298213363906858,0.0228211790343177,0.0146728621920569,0.0190877685035351,0.0211425125131814,0.174285102065273,0.0259015887159306,0.0232872113165955,0.0374217445282373,0.0269032770151541,0.0194487988055941,0.0189637097100062,0.0350230062683891,0.0533280447902286,0.0293734607820359,0.0208932057155839,0.0935791706455116,0.0153237146817555,0.0193400536422793,0.0182096321018731,0.0127805930656031
"JERC_049",0.300542920834461,0.0228119507751661,0.0145791881920129,0.0191061004985807,0.0226932753204185,0.169322729614107,0.0263093731126927,0.0232592764183336,0.0389081670953829,0.0269773461359819,0.0191031098588122,0.0196753732896831,0.0378444087297292,0.0520850823132775,0.0280082050290441,0.0220098021382626,0.0906538677523647,0.0154829622547385,0.0193627814173668,0.0185300184013332,0.0127340608182512
"ORNL_001",0.291973733534988,0.148238639296701,0.0243404366810219,0.0275250846490239,0.0384691529950071,0.0441892184583408,0.0272858128993353,0.0237084909614632,0.0410557153583674,0.0207738827273673,0.0237097929358674,0.0213633837647744,0.0260768118933935,0.0555277094604421,0.0228074658438727,0.0197506926017139,0.0490073836763863,0.0264254747479116,0.021597873989218,0.0205182854329744,0.0256549580918296
"ORNL_003",0.285241913222682,0.138369945422149,0.024063322712068,0.0270051830317431,0.0394671460788388,0.0504444074605742,0.026607641135827,0.0231057701766219,0.0410735203502447,0.0209040253453996,0.0226422116611125,0.0230507409813853,0.0288206514560794,0.0601647230473287,0.0234405135446943,0.0203571050245516,0.0527353797014815,0.025765858593588,0.0214899757555634,0.020599424039662,0.0246505412584053
