"","mean.other","mean.Mortierellomycota","mean.Basidiomycota","mean.Mucoromycota","mean.Ascomycota"
"DSNY_002-M-30-5-20140813",0.0640515013937342,0.0622550276110107,0.482616989792727,0.0582811177127457,0.332795363489783
"DSNY_002-M-9-4-20140910",0.0645694453065941,0.062493477060154,0.48615111149104,0.0571991352623317,0.32958683087988
"DSNY_003-M-1-7-20140813",0.0636405154610288,0.0630225153247429,0.476784794734454,0.0555491088788668,0.341003065600908
"DSNY_003-M-3-26-20140813",0.0658251808754353,0.0597003162658342,0.452591852568708,0.0667862537810048,0.355096396509017
"DSNY_003-M-33-0-20140813",0.0680975651980781,0.0599909890945955,0.444839334114464,0.0696932020607591,0.357378909532104
"DSNY_004-M-21-38-20140813",0.0719807327536821,0.0667504837338632,0.436191638250432,0.0762087146721473,0.348868430589875
"DSNY_009-M-2-0-20140813",0.0635058995915236,0.0652342514397887,0.494028618578309,0.0532843181138447,0.323946912276534
"DSNY_009-M-26-3-20140701",0.0641702265236528,0.0647581184338755,0.489464503202823,0.0547990368312405,0.326808115008408
"DSNY_009-M-29-2-20140701",0.064236260603968,0.0646808199665889,0.490145604489158,0.0547185887273758,0.326218726212909
"DSNY_009-M-33-11-20140910",0.0642470503899707,0.0647830416893317,0.490050944849111,0.0546202151434176,0.326298747928169
"DSNY_009-M-39-30-20140813",0.0643687248629258,0.0644798674220121,0.488246885811466,0.0553970476579112,0.327507474245685
"DSNY_009-M-8-11-20140813",0.061693661041751,0.0632305964627172,0.498473622843352,0.0522957644471446,0.324306355205036
"DSNY_016-M-0-30-20140910",0.0549579573444983,0.0585555615357496,0.546573362799249,0.0389951207760457,0.300917997544457
"DSNY_016-M-16-7-20140910",0.0553197768643184,0.058412672994691,0.545656962246412,0.0387251815315584,0.30188540636302
"DSNY_016-M-23-38-20140910",0.0551598503761897,0.0583646567034274,0.545226172463961,0.0387965799798907,0.302452740476531
"DSNY_016-M-35-24-20140701",0.0551244708785968,0.0585983297341528,0.546717396974957,0.0385654772388588,0.300994325173435
"DSNY_016-M-5-26-20140701",0.0551438952170801,0.0585279769644294,0.545982660707581,0.0388267858995286,0.301518681211381
"DSNY_016-M-6-12-20140813",0.0521120570192797,0.0583549847321994,0.569727503822866,0.0324118198404063,0.287393634585249
"DSNY_043-M-18-37-20140814",0.0517265103272974,0.0524942887414204,0.555776975621165,0.0372173185910402,0.302784906719077
"DSNY_043-M-2-27-20140814",0.0442031856700978,0.045011514023566,0.600494970326802,0.0277520416876772,0.282538288291857
"HARV_001-M-14-7-20140812",0.0638451953187731,0.149422804041877,0.462310541424023,0.0690309490526268,0.2553905101627
"HARV_001-M-15-1-20140812",0.0633358994517867,0.148746701551356,0.464212008956689,0.0680900185899654,0.255615371450203
"HARV_001-M-39-16-20140812",0.0639508951661886,0.149888205643942,0.460271884531721,0.0689889606155479,0.2569000540426
"HARV_001-M-7-0-20140715",0.0744497456926681,0.170261070826632,0.425745119370937,0.0751867358809499,0.254357328228813
"HARV_001-O-14-7-20140812",0.0643751152748849,0.15007646182738,0.458544093775208,0.0696040870493432,0.257400242073184
"HARV_001-O-15-1-20140812",0.0635001548949419,0.148715759165513,0.463667343098554,0.0681895185167827,0.255927224324208
"HARV_002-M-24-40-20140716",0.0763638561234202,0.191974885420596,0.38102268461663,0.0733682059684406,0.277270367870914
"HARV_002-O-33-2-20140716",0.0662373354981151,0.158068858845006,0.400952772469459,0.0784028356956759,0.296338197491744
"HARV_004-M-19-1-20140812",0.0796724715108901,0.228728977840226,0.277925029645299,0.0786125663239987,0.335060954679587
"HARV_004-M-25-6-20140715",0.0915196513658005,0.258622750163323,0.247464726544323,0.0828202760452877,0.319572595881266
"HARV_004-M-3-28-20140812",0.0802449912027928,0.229417620788685,0.277092547802572,0.0794014983551242,0.333843341850826
"HARV_004-M-9-34-20140812",0.079868651895761,0.229341492744468,0.278560538888605,0.0788097322071157,0.33341958426405
"HARV_004-M-9-4-20140715",0.0935820372107513,0.249572537303705,0.237400598006709,0.0922349102287919,0.327209917250043
"HARV_004-O-10-34-20140715",0.0507717723955159,0.183453367193717,0.381909299526947,0.0478869725428167,0.335978588341004
"HARV_004-O-19-1-20140812",0.0797611020175324,0.22885471908873,0.277886655895546,0.0781698344557965,0.335327688542396
"HARV_004-O-25-6-20140715",0.053053668071183,0.194035230820993,0.376155845272392,0.0473379706090605,0.329417285226371
"HARV_004-O-3-28-20140812",0.0800095534652822,0.229283262720194,0.276817535165849,0.079373753703593,0.334515894945083
"HARV_010-M-2-0-20140715",0.07188776165058,0.154301851166825,0.444225606954698,0.0789860480771369,0.25059873215076
"HARV_010-M-8-11-20140715",0.0711999054518144,0.149078951608566,0.442976990827535,0.0821550051923715,0.254589146919714
"HARV_010-O-2-0-20140715",0.033783462946598,0.0980258977193374,0.610344470639198,0.0355151897078811,0.222330978986985
"HARV_010-O-39-30-20140715",0.0411333493569279,0.109462048033252,0.573215720849359,0.0440570854918991,0.232131796268562
"HARV_010-O-8-11-20140715",0.0325996752243452,0.0973041107295844,0.620638789026035,0.0328938885020458,0.21656353651799
"HARV_013-M-0-13-20140812",0.0672674314757402,0.158423600798744,0.456501297427294,0.0679633970361037,0.249844273262118
"HARV_013-M-14-6-20140812",0.0674429180224978,0.159053919356174,0.455628911773787,0.0683127353552614,0.24956151549228
"HARV_013-M-28-3-20140812",0.0672375514673413,0.158181916753556,0.457098963605056,0.0675691820290888,0.249912386144958
"HARV_013-O-14-6-20140812",0.0672954648648231,0.158310739925413,0.457423328476329,0.0678858707028274,0.249084596030608
"HARV_013-O-15-7-20140717",0.0641223012147247,0.155421710936305,0.468929824998041,0.0633562038006305,0.248169959050299
"HARV_013-O-28-3-20140812",0.0675817615747803,0.15781651407116,0.455110065939171,0.0685580541806984,0.25093360423419
"HARV_016-M-0-30-20140715",0.0702936400863204,0.174211637415453,0.443818050414707,0.0662620534002433,0.245414618683276
"HARV_016-M-16-7-20140715",0.0687509729758754,0.168474554421017,0.448863876425015,0.0666383919970203,0.247272204181072
"HARV_016-O-0-30-20140715",0.0262770725286626,0.0926672374317951,0.64169845089085,0.0257552613244992,0.213601977824193
"HARV_020-M-12-33-20140812",0.109733025986374,0.305152388418669,0.10260386221844,0.122254488081673,0.360256235294843
"HARV_020-M-30-27-20140812",0.109381677478784,0.304764277005719,0.102818395494728,0.122531189455029,0.36050446056574
"HARV_020-M-37-22-20140812",0.109447498469572,0.304067609012447,0.103072354595158,0.122141594868888,0.361270943053936
"HARV_020-O-12-33-20140812",0.108934462372086,0.304652833827963,0.103175396880206,0.121956224418654,0.361281082501091
"HARV_020-O-30-27-20140812",0.109510932831928,0.304767314650521,0.103002393585417,0.12168984036738,0.361029518564754
