"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"SCBI_033",0.458783018934945,0.214236897235741,0.0263319258596674,0.0270564975635562,0.0245855224985576,0.0133511848756412,0.032566494913643,0.0261009670719498,0.0113714784284128,0.0450178125910296,0.0171732195982327,0.0179376286323001,0.0218168071064982,0.0275338089707677,0.0174711761181349,0.0186655596009229
"SCBI_045",0.457084632381352,0.219775916967548,0.0271948473702403,0.0273821147584223,0.0263805546030826,0.0129468593339235,0.032992299477829,0.0262709184012904,0.0116292314793753,0.0403293565499352,0.0156469703880448,0.0184351346585166,0.0220113289034435,0.0257356541735399,0.0175373363057746,0.0186468442476809
"STER_005",0.579007942928221,0.0714711935320697,0.0314374284365672,0.0199121023131272,0.020780017185252,0.0120601174150639,0.0260317123743856,0.0258831113840762,0.0139257844727012,0.0635006590879571,0.0219498592498199,0.017466975875857,0.0190319312035074,0.0419366495609031,0.0167233691763527,0.0188811458041385
"STER_006",0.577817068762567,0.0839983069486648,0.0403846551422313,0.0228013148983129,0.0268609291873468,0.0135571437860828,0.0276542207504106,0.0265262050028045,0.0136050645611765,0.0396647264532994,0.0169697918887575,0.0196555348014564,0.0199584837357932,0.0332711053536052,0.0180279982769208,0.0192474504505698
"STER_007",0.579745221744285,0.0757819181974349,0.0342923495227314,0.0207645091139215,0.0239341519507763,0.0124033641444058,0.026630568458168,0.0261969772742244,0.0144846021725982,0.0535482444685082,0.0193000583308161,0.018614834499552,0.0195630278965709,0.0383355674184747,0.0172310958042937,0.0191735090032389
"STER_018",0.5783423453224,0.070817404041163,0.0309763812332612,0.0197075206056864,0.0202733301796031,0.0119738283191428,0.0258675549616572,0.0257990375262418,0.0138262516407608,0.0655671807396693,0.0225065411679775,0.017325595960144,0.0189264035645585,0.0426497390694893,0.0166337064393703,0.0188071792288745
"STER_026",0.58024401083617,0.0809740380794379,0.0379943566887998,0.0221114397602188,0.0273560331880457,0.0130158847528128,0.0274504758503953,0.0264857687609066,0.014596566475405,0.0418977942575169,0.0168090543452501,0.01981930463294,0.0200688078763979,0.0340174020772332,0.0177939563613087,0.0193651060571615
"STER_027",0.577805004376917,0.072082885644463,0.0319211866191079,0.0200591636369603,0.0212041897374336,0.0121235115573106,0.0260313242024383,0.0258573937171994,0.0139099714860975,0.0630116346757073,0.0218228651720404,0.0175419354312757,0.0190769182098175,0.0417889346427037,0.0168462440838079,0.0189168368067203
"STER_028",0.574579716545321,0.0702909167393617,0.0306310925636974,0.019612318400576,0.0189471945532967,0.0119541358999375,0.0254927707009268,0.0255983506120931,0.0130509641733631,0.0710303485456367,0.0241187968511754,0.0166656780232515,0.0186257161812189,0.0444162820220529,0.0164315994303181,0.0185541187577728
"STER_029",0.579535129802981,0.0789533450464499,0.0364927445371554,0.0215500937249727,0.0242611746682127,0.0129139479932664,0.026973458623294,0.026242219448397,0.0138163744483565,0.0485606674587641,0.018915477081623,0.0187845345279223,0.0195622395754991,0.036785756365945,0.0175392980699759,0.0191135386271846
"STER_031",0.576788883528106,0.0842064651863424,0.0405654297242938,0.0228534594706047,0.0261662136555759,0.0136436806067244,0.0275166968550575,0.0264409983423804,0.013214677900716,0.0409765677481873,0.0175093151570924,0.0193666364511872,0.0197042221336341,0.0338529621065748,0.0180088317705458,0.0191849593629774
"STER_033",0.57523493546617,0.0705091216785662,0.0307785412362622,0.019675276482535,0.0194586794972008,0.0120381911263802,0.0256544906351972,0.0257578291874947,0.0132833960050328,0.0698568431524977,0.0234459959716388,0.0169488554129857,0.0186458289125438,0.04360745398549,0.0164342699999964,0.0186702912500086
"STER_034",0.566290708423037,0.0595348175439499,0.0238960413198892,0.0168614982582663,0.0173625383238201,0.0102165428813515,0.0239615191266345,0.024769324688215,0.0152316549985024,0.0976294569539279,0.026078573043938,0.0158338371660602,0.0180997641363562,0.0506195223018531,0.0151858733041623,0.0184283275300368
"STER_035",0.561017201294903,0.0607149481561074,0.0249624018642903,0.0173321049418824,0.0152659413408768,0.0108416658830588,0.0238441218627827,0.0245637342158135,0.01295012721636,0.101673875885119,0.0288988159487959,0.0149416704997784,0.0175512659770324,0.0521214960222512,0.0152439303862492,0.0180766985046981
