"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"DSNY_002",0.0745346437215623,0.0418861590347008,0.0415800185723939,0.0397063913331507,0.451819392744814,0.0525493177076106,0.0849343682937984,0.0396441307313846,0.0429564657277975,0.130389112132787
"DSNY_003",0.0754918826265657,0.0426329642299565,0.0390653219569798,0.0405304304564929,0.447371436761235,0.0531835866430186,0.0883691731646478,0.0403803223456405,0.0437635393745788,0.129211342440885
"DSNY_004",0.0801500297312988,0.0444005715422305,0.0460610728259376,0.0477739536732975,0.419102265088147,0.0527535938631563,0.0925149894288915,0.0441366014171576,0.0412155427062744,0.131891379723608
"DSNY_009",0.0761819712121045,0.043669115957923,0.0450578519177148,0.0378710898077889,0.443560660715685,0.0567603323749891,0.0821143049913072,0.0396100471705639,0.0415527534201378,0.133621872431786
"DSNY_016",0.0651258158950433,0.0392232347054179,0.0384697775543458,0.0251928394994958,0.501925937383292,0.0578980586250062,0.0662545127120617,0.0309078075625215,0.0438663840820518,0.131135631980764
"DSNY_043",0.0649864303950327,0.0377840560691429,0.036148441891802,0.027544322951457,0.505804038703716,0.052813163552495,0.0700706643709573,0.0320122394575411,0.0447637655266202,0.128072877081235
"HARV_001",0.0953638428679006,0.129146454167977,0.0487368164732603,0.0492674471478159,0.39665416318551,0.0489958288910514,0.068059433552669,0.0798984309517207,0.0357938980007885,0.0480836847613065
"HARV_002",0.113451611166909,0.156236578556334,0.0553521734276958,0.0591133545556144,0.307107966947454,0.0608389534357095,0.0740368799832382,0.0905521932302802,0.0343056001815717,0.0490046885151932
"HARV_004",0.130832702359961,0.208029110321011,0.0668311070188111,0.0581213744562741,0.18747264472022,0.0974060518025093,0.077116096042312,0.101605144380699,0.0254138871962709,0.0471718817019323
"HARV_010",0.0853627602488186,0.11379786000264,0.0423976170789194,0.0460467391085944,0.446397100380613,0.0412310446546849,0.0669298138322785,0.075238809658784,0.036588717836601,0.0460095371980657
