"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"HARV_013-O-28-3-20140812",0.165357735218669,0.34425922847856,0.343277092880728,0.0828958448098332,0.0306380407954143,0.0335720578167954
"HARV_016-M-0-30-20140715",0.172232426588917,0.36284952505456,0.306725834909871,0.0877066069362569,0.0324347975478603,0.0380508089625341
"HARV_016-M-16-7-20140715",0.168538588235297,0.359626399689918,0.316340617855445,0.086654067961303,0.031623699206176,0.0372166270518616
"HARV_016-O-0-30-20140715",0.106245060927593,0.244336579100539,0.512604984688513,0.0895310970954145,0.0214349403350564,0.0258473378528842
"HARV_020-M-12-33-20140812",0.193980133651041,0.583643503820124,0.0140465645888001,0.102998830895493,0.0308034521181077,0.0745275149264347
"HARV_020-M-30-27-20140812",0.194692097322544,0.582893658211609,0.0140029204376029,0.10306876992416,0.0308431821035889,0.0744993720004946
"HARV_020-M-37-22-20140812",0.194293949505117,0.583474342240889,0.013972085295688,0.102983243944141,0.0307873467791081,0.0744890322350569
"HARV_020-O-12-33-20140812",0.194439488176415,0.58298252795646,0.0140502161720431,0.103198208662934,0.0307922194509537,0.0745373395811948
"HARV_020-O-30-27-20140812",0.194764099600679,0.583033150610752,0.0139692566932032,0.102726122390876,0.0308881216015456,0.0746192491029444
"HARV_020-O-37-22-20140812",0.194162633472139,0.583662104230934,0.0140298217008107,0.1028430804705,0.030849428435543,0.0744529316900741
"HARV_021-M-36-16-20140717",0.142040797175748,0.293325917880093,0.449344155624073,0.0657780439963726,0.0248187685814662,0.0246923167422471
"HARV_021-M-6-12-20140717",0.143558343117233,0.298886024565581,0.43435934676366,0.071054486525705,0.0258378571885167,0.0263039418393039
"HARV_021-O-3-37-20140717",0.14662307281377,0.301489388939674,0.430252842843324,0.069182047659003,0.0260467965329526,0.0264058512112758
"HARV_021-O-36-16-20140717",0.148238756709445,0.306124961151756,0.421626471263019,0.0704813053345427,0.0265223280135096,0.0270061775277281
"HARV_033-M-23-30-20140717",0.190097149775392,0.424959428841325,0.211858842607314,0.0959015595417686,0.0340218326122026,0.0431611866219979
"HARV_033-M-30-38-20140717",0.191971069019622,0.429081115300962,0.199287878196871,0.0988991265571621,0.0351773433204605,0.0455834676049216
"HARV_033-M-33-4-20140717",0.190276241632357,0.425424929522537,0.207399056089756,0.0981564595207924,0.0345090087142176,0.0442343045203401
"HARV_033-O-23-30-20140717",0.134975145441429,0.324899801436581,0.369919175355133,0.110254403321327,0.0260451576813808,0.0339063167641493
"HARV_033-O-30-38-20140717",0.137895385170173,0.330998211554485,0.353323459818944,0.114689819815146,0.0271580128647541,0.0359351107764979
"HARV_034-M-23-8-20140717",0.166753094706042,0.349072679752986,0.340926602393787,0.0803237921672533,0.0302970540342962,0.0326267769456357
"HARV_034-M-31-3-20140717",0.167803351869954,0.348619471265915,0.342597364970602,0.0785700383797085,0.0301939361200965,0.0322158373937233
"HARV_035-M-18-37-20140717",0.166037806810808,0.345482184853828,0.352971500543457,0.075613011936096,0.0292899690993214,0.0306055267564897
"HARV_035-O-18-37-20140717",0.102588910770765,0.230139300776493,0.555261371701142,0.0729853503752696,0.0189564617611274,0.020068604615203
"JERC_001-M-17-34-20140710",0.0848241772967842,0.145666468544895,0.690568307013248,0.0450264726849807,0.0168088336594802,0.0171057408006117
"JERC_001-M-29-2-20140710",0.0852036969176026,0.14586937521634,0.689721092481708,0.0451369470611941,0.016902871142219,0.0171660171809363
"JERC_001-M-7-5-20140805",0.0881791768054596,0.151103130631518,0.678858166038743,0.0466829263604516,0.0174206564612491,0.0177559437025787
"JERC_001-M-9-17-20140805",0.0866776041935174,0.148296287568137,0.684532305129804,0.0459044589771667,0.0171988253980154,0.0173905187333599
"JERC_002-M-11-0-20140805",0.0805102179689997,0.136394244267106,0.714148142577336,0.0394108014705031,0.0151518449638498,0.0143847487522049
"JERC_002-M-12-7-20140710",0.078118149171984,0.132958209833527,0.721531708229162,0.0384433688510524,0.0148496255708095,0.0140989383434659
"JERC_002-M-27-36-20140805",0.0757360278646298,0.129641719440493,0.72879132073192,0.0374990227670267,0.0144986491245089,0.0138332600714211
"JERC_002-M-30-5-20140805",0.0935978672636441,0.155793473505684,0.673312714866333,0.0440076654733874,0.0170943652477841,0.0161939136431681
"JERC_003-M-1-7-20140805",0.0857573307603923,0.146642852052106,0.689252373677347,0.0447895733317428,0.0167603883125685,0.0167974818658426
"JERC_003-M-3-26-20140805",0.0993028917749024,0.167302833464652,0.643605948841255,0.051098452778082,0.0191757220452157,0.0195141510958927
"JERC_003-M-33-0-20140805",0.0863084838010402,0.149112990697288,0.679263148946432,0.0485031970541614,0.0178749027286407,0.0189372767724375
"JERC_005-M-24-40-20140805",0.0770442401954713,0.130459478929006,0.729373591851915,0.0358342547871809,0.0142706466366031,0.0130177875998235
"JERC_005-M-33-2-20140805",0.0739876597422964,0.127029804784643,0.734302119167349,0.0368969059247214,0.0142479793289851,0.0135355310520051
"JERC_005-M-4-9-20140805",0.0681496105958988,0.11466195799767,0.763186974294032,0.0305976395747701,0.0125389327255147,0.0108648848121147
"JERC_006-M-15-33-20140710",0.0803096447943594,0.13734511827274,0.711241581670191,0.0405681441141032,0.0154595632152242,0.0150759479333823
"JERC_006-M-2-0-20140805",0.0861245530500002,0.145362104727105,0.695392346709463,0.0416411778295765,0.0161224063558645,0.0153574113279905
"JERC_006-M-21-39-20140710",0.0806237073914614,0.137592970512436,0.710355690139435,0.0407482316166551,0.0155382387361446,0.0151411616038676
"JERC_006-M-8-11-20140805",0.0807495904151512,0.137722447010597,0.71076744367775,0.0403314395292557,0.0154883568623923,0.0149407225048537
"JERC_008-M-23-30-20140805",0.0654369802610499,0.115073432853415,0.75858547426138,0.0346962424464259,0.013216960864835,0.0129909093128938
"JERC_008-M-33-4-20140805",0.0780577552025227,0.133869051819427,0.719342543513569,0.0392387008613637,0.0149784749200228,0.014513473683095
"JERC_047-M-36-16-20140805",0.0824971161790515,0.143197146727989,0.699452184934853,0.0425350805183421,0.0160148260964229,0.0163036455433419
"JERC_047-M-6-12-20140805",0.0891425477847128,0.155967741102575,0.668532607290242,0.0490273933208354,0.0180130012982313,0.0193167092034029
"JERC_048-M-19-30-20140805",0.0781095249333437,0.135124300896478,0.718066487657667,0.039076180232031,0.0149440974465252,0.0146794088339546
"JERC_048-M-31-3-20140805",0.0821472900484681,0.14296633817746,0.699593681556874,0.0429496740301365,0.0160422719829572,0.0163007442041042
"JERC_049-M-2-27-20140805",0.0908733038252482,0.152397999309815,0.683258958397842,0.0419736867273791,0.0162979019647886,0.0151981497749264
