"","mean.other","mean.Mortierellales","mean.Filobasidiales","mean.Tremellales","mean.Umbelopsidales","mean.Russulales","mean.Hypocreales","mean.Eurotiales","mean.Chaetothyriales","mean.Cantharellales","mean.Sordariales","mean.Atheliales","mean.Agaricales","mean.Sebacinales","mean.Helotiales","mean.Thelephorales","mean.Pezizales","mean.Boletales","mean.Pleosporales","mean.Mytilinidales"
"SCBI_012-M-2-33-20140618",0.10966171920892,0.189435278960636,0.0203867316309066,0.0261095704768642,0.0195453612444871,0.00802738180221345,0.19378300890547,0.0227259531427876,0.0258234741238197,0.0248886776716374,0.0369704279029448,0.00643332510761187,0.141976994139688,0.0345837992762982,0.0294278683590212,0.025409725705432,0.023879326961654,0.0118004456703746,0.0330501952375285,0.016080734471704
"SCBI_012-M-21-38-20140715",0.114509299632422,0.212689402107225,0.0247890907505857,0.0293602358372355,0.0241487666042512,0.00880850815265606,0.199019938965665,0.0241098044328272,0.0269979258472156,0.0230898461968219,0.0376354815861557,0.00697068961946732,0.10604614126444,0.0279039898815068,0.0336695415867599,0.0198420992443636,0.0202987479292637,0.011826892199262,0.0317182144846962,0.0165653836771802
"SCBI_012-M-21-39-20140618",0.109438944721874,0.188245185979988,0.0202040148037918,0.0259857489700352,0.0194250931550843,0.00804294207467324,0.19327680535151,0.0227306907214689,0.0259254745816826,0.0250123804014352,0.0369408573390313,0.00639619428269922,0.143621427097095,0.0347338789296703,0.0292045221998983,0.0257037141345341,0.0240692893845233,0.0118296278713962,0.0331295307997167,0.0160836771998917
"SCBI_012-M-33-4-20140715",0.109800874370205,0.189751239089737,0.0204968625786453,0.026153602614846,0.0196966444346679,0.00808654471607012,0.193515418471415,0.0227759366277816,0.0259227977643657,0.0248705941351073,0.0369784904993822,0.00644753281798926,0.14129143937467,0.0344109961548774,0.0295771895459217,0.0253473504541146,0.0238402375914239,0.0118605338399862,0.0330752004933228,0.0161005144254706
"SCBI_033-M-36-16-20140826",0.111513182435018,0.197789057443934,0.0218895277335053,0.0272889474959643,0.0209118363529733,0.00836328283075213,0.196418037114334,0.0231653150477075,0.0261665973361983,0.02411961327458,0.0374668469903306,0.00655423508500222,0.128555875389876,0.032224922986256,0.0306123239849256,0.0234800564856199,0.0227012165035729,0.0118183200583672,0.0327660201217807,0.0161947853293023
"SCBI_033-M-4-38-20140826",0.114479701203025,0.208481575395861,0.0238665290492334,0.0288761528827761,0.0241429486722452,0.00850983705050464,0.195842019805994,0.0242874556074692,0.027563117558313,0.0242222312290052,0.0368085413394003,0.00717099097407674,0.111606301537003,0.02874275278405,0.03404646470165,0.0205202900761492,0.0206979182435769,0.0119663581258515,0.0314079769944534,0.0167608367693619
"SCBI_033-M-6-12-20140826",0.114314475322393,0.208600504892387,0.0241753038251316,0.0290115013613715,0.02333886176135,0.00864509056767581,0.197747242584596,0.0239952829638262,0.0270979075246127,0.0235668393271831,0.0373349096200821,0.00701497939937958,0.110915083679834,0.0291911152903425,0.0332819838197081,0.0206988625797336,0.0207749349443014,0.011876346516479,0.0317600223906993,0.0166587516289138
"SCBI_045-M-23-30-20140825",0.114597261989476,0.212577225377329,0.0242182212831262,0.0290118167891278,0.0259298064722456,0.00814126753107442,0.1980509685203,0.0246064884411847,0.027909004105357,0.0243568529681618,0.03642569412598,0.00727545091385693,0.10591725782922,0.0269660650113444,0.0354712454537784,0.0191137649024914,0.0199044898566819,0.0119088457965398,0.0308590282336887,0.0167592443990345
"SCBI_045-M-30-38-20140825",0.114346223354714,0.211885896761897,0.0239990975665574,0.0288409212600375,0.0257830650617265,0.00811005439672562,0.197880560558783,0.0245237203511728,0.0277880332103582,0.0244263179173339,0.0364223733302933,0.00723121708337178,0.107542146034483,0.0271523890876345,0.0352315184796694,0.019292961612363,0.0200389469610444,0.0119468002794748,0.0308845135615843,0.0166732431307758
"SCBI_045-M-31-2-20140825",0.113837977515566,0.210214304852525,0.0236987349304505,0.0285627259969101,0.0246595480405729,0.00811144863678112,0.198577961306807,0.0241801524325437,0.0273739796116942,0.0241655901650689,0.0367582772198674,0.00707420895135636,0.110308800693589,0.0280678466350846,0.0343000618798186,0.0198768109626074,0.0204338770166988,0.0118629652245511,0.0313887529797144,0.0165459749477936
