"","mean.other","mean.Mortierella","mean.Solicoccozyma","mean.Saitozyma","mean.Umbelopsis","mean.Russula","mean.Trichoderma","mean.Penicillium","mean.Cortinarius","mean.Inocybe","mean.Sebacina","mean.Lactarius","mean.Cladophialophora","mean.Tomentella","mean.Mycena","mean.Cenococcum"
"OSBS_002-M-5-26-20140701",0.392940701850472,0.0623020617283853,0.0105711601652068,0.0224303227241601,0.0416418446313731,0.0758970970652006,0.0219674505248765,0.0217772248270933,0.0515045070484861,0.111439751606874,0.0205345179600237,0.0201881273061572,0.0344848489689506,0.067353042712116,0.0204478986401486,0.0245194422404759
"OSBS_003-M-17-9-20140701",0.43946224807254,0.0973156571869763,0.0137702681931641,0.0265675925283142,0.0649722493558225,0.0445867337536336,0.0275108168545204,0.0253650515275569,0.0446883893336949,0.0538278145730153,0.0107840481851758,0.0238293524807529,0.0390697598342356,0.0414779744754302,0.0223585862663712,0.0244134573787958
"OSBS_003-M-17-9-20140818",0.43660984600886,0.0863296344368896,0.0113520147589001,0.0238288319801151,0.070005959991107,0.0386544698310928,0.0268182730240854,0.0252927380261512,0.0559621338499728,0.0611279432845224,0.00989766801517656,0.0247108158480522,0.0401151153300981,0.0430446436866595,0.0213178324834788,0.0249320794448389
"OSBS_003-M-9-11-20140818",0.441516253949878,0.0886390133285054,0.0117181835643871,0.0243421061605613,0.0586840203369526,0.0410168174022721,0.0268144828665927,0.0252210579165605,0.0468430542337455,0.0690988019008123,0.0118047850714146,0.0229361321172688,0.038815747667326,0.0467388221600999,0.0214260418319688,0.0243846794916545
"OSBS_022-M-15-33-20140701",0.399165772024498,0.0918736462036553,0.018740272931623,0.0309117832146639,0.0431721437601489,0.104628363558736,0.0250648873001455,0.0225138625780803,0.0257083532712165,0.0642617856836802,0.0187475149899475,0.020727093338763,0.0340292158209115,0.0523904222877563,0.0242210407425564,0.023843842293617
"OSBS_022-M-21-39-20140701",0.394552585660042,0.105519647186666,0.0232494776767794,0.0346313571440894,0.0530090802342684,0.116950559059311,0.0265571721291584,0.0229928265558541,0.025055963869995,0.0348446384494428,0.0140534739258323,0.0230282960179042,0.0349853877277016,0.0402105891908526,0.025801449292498,0.0245574958796049
"SCBI_002-M-1-6-20140715",0.465576232858616,0.203362573360283,0.0242088666745251,0.0253110162878384,0.0227856948487916,0.0132621887056164,0.0318384237922237,0.0260714011790933,0.0118436247931596,0.0513864019037101,0.0194354204163749,0.0173478230731264,0.0223994139368972,0.0297683482603937,0.017122688105098,0.0182798818042522
"SCBI_002-M-17-34-20140618",0.464413086621079,0.207038873788358,0.0249735700330744,0.025709439810042,0.0235021408201891,0.0134205205106922,0.0320038550126261,0.0261094740724858,0.0117244819099287,0.0479159017241262,0.018768252987134,0.017617334881672,0.0224991190965588,0.02872012306239,0.0172633012986912,0.018320524370952
"SCBI_002-M-26-3-20140618",0.466772680102262,0.199238532700043,0.0234987975826969,0.0249773367162023,0.0221306364117425,0.0130784442999409,0.031635582259579,0.0260677441766224,0.0119005855064403,0.0549000877613051,0.0200840868690959,0.0171391351835533,0.0223479266859941,0.0308565448353315,0.0170311596662148,0.0183407192429765
"SCBI_002-M-29-2-20140618",0.469143315907863,0.18722325976325,0.0211366979084747,0.0237678952224757,0.0199666306908132,0.0125030856994335,0.0309901321336817,0.0258923412365409,0.0120567433743419,0.067290283614547,0.0224465731531624,0.0163837455611351,0.0221358334564618,0.0342076382007701,0.0165861945728582,0.0182696295041907
"SCBI_002-M-7-5-20140715",0.463547203064367,0.2088216304703,0.0253998064653574,0.0259659642813218,0.0239945616601226,0.0134879286732818,0.0320821271541117,0.026093639686019,0.0117675788263644,0.0463356537826813,0.0183399947404777,0.0177494567905708,0.0225113788856705,0.028234302432642,0.0173317804224699,0.0183369926642425
"SCBI_002-M-9-17-20140715",0.466927671999978,0.198832764570118,0.0233421098578776,0.0249879081597932,0.0219119104908881,0.0130456218867976,0.0316305942180255,0.02605180521028,0.0118477196517367,0.0554613833617541,0.0203548419527036,0.0170519871243312,0.0222640428961075,0.0309998853729129,0.0170301540424195,0.0182595992042761
"SCBI_003-M-11-0-20140715",0.457274401731852,0.140142606602539,0.0241629001482776,0.0254751072675998,0.0217198581249893,0.0383711010829451,0.0270511447843584,0.0233954987086448,0.0155011904297265,0.0720992948819966,0.0295229192623622,0.0190156363189373,0.0218646688407818,0.044490630503703,0.01844954574907,0.0214634955622165
"SCBI_003-M-13-6-20140618",0.456420522216336,0.134024932054741,0.0224875584083593,0.0244424167021577,0.0200182222294738,0.0368509258434145,0.0264253424564892,0.0231349833288474,0.015471303714904,0.0825973418670866,0.0318742340384464,0.0183462611475621,0.0214157523458778,0.0473121457395811,0.0179709915152907,0.0212070663914327
"SCBI_003-M-27-36-20140715",0.456882519420036,0.13715065243813,0.0232805045994017,0.024962321142519,0.0208743782893072,0.0375051327884828,0.0267288375217857,0.0232502595528275,0.0155133424317816,0.0773138926808223,0.0307158977149162,0.0186954628586113,0.0216480317546213,0.0459378391981165,0.0181697287569255,0.0213711988517151
"SCBI_003-M-30-5-20140715",0.451809526182593,0.163748899072879,0.0310089103074586,0.0289472179641181,0.0280274708633776,0.0424664527567244,0.0286321900237309,0.0237367386917465,0.0150691368861738,0.0440836883085669,0.0225662864046677,0.0213513710930505,0.02255064032976,0.034647753107596,0.0196628663325917,0.021690851674966
"SCBI_003-M-35-24-20140618",0.452064362597778,0.123165642023657,0.0198988168385261,0.0228977463934088,0.0177151904992081,0.0348943468825013,0.0254988974547154,0.0226972606529886,0.0155215429850235,0.101551813165964,0.0354771653437804,0.0171987877515744,0.0208781322121464,0.0523467212881719,0.0172978735597224,0.0208957003508338
"SCBI_003-M-5-26-20140618",0.44477021918769,0.111857729933678,0.0172751521038524,0.0211020138722698,0.0154434605604627,0.032328698746625,0.0242999891150281,0.0221137924445079,0.0154604931244417,0.125396057203135,0.0391988587501649,0.0160429239628808,0.0201887338853189,0.0576432458578132,0.0164513359016121,0.0204272953505192
"SCBI_006-M-1-7-20140715",0.466623064431104,0.198308743945114,0.0230717487572684,0.0248074195036512,0.0210787750371912,0.0128594942193025,0.0314511714087485,0.0260352916543441,0.0115050320534062,0.0575976624729125,0.0209817402037072,0.0167717307591999,0.0221543658739349,0.0315954660340783,0.016960039490024,0.0181982541560126
"SCBI_006-M-15-7-20140827",0.459363682308033,0.21718948397893,0.0267689373448113,0.0264577243480825,0.0248526974107438,0.0136475950686917,0.0323643148519231,0.0260050985567485,0.0113827508572411,0.0420434145444709,0.0173328456633477,0.0179612582188458,0.0224042948127445,0.0266626113114245,0.0174258909921946,0.0181373997317674
"SCBI_006-M-17-9-20140618",0.466417653341089,0.199329276054269,0.023305338492763,0.0249524909322606,0.0212944165233898,0.0129519620257182,0.0315790466171789,0.0260306846514748,0.0114943825152617,0.0564766785364166,0.0207198280051432,0.0168559366176453,0.0221734302411899,0.0312444138316439,0.0169889196002668,0.0181855420142896
