"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"DSNY_002-M-10-34-20140910",0.0753565212550919,0.0413560846145749,0.0419459243140483,0.0397856914648621,0.449243268453302,0.0530593148408706,0.0868416692604264,0.0413864538092727,0.0425418487596061,0.128483223227945
"DSNY_002-M-11-0-20140813",0.0753511692670542,0.0418004721304696,0.0419513223432055,0.0396520863270194,0.449328733024912,0.0526620471966158,0.0868453118904237,0.0412791670660751,0.0425135330025139,0.128616157751711
"DSNY_002-M-25-6-20140910",0.0755567513935011,0.0416437318912159,0.0420698176310687,0.0398371386886398,0.447688988324496,0.0529327520319597,0.0870865702796631,0.0414110903977045,0.0425365616629909,0.12923659769876
"DSNY_002-M-30-5-20140813",0.0753803655878101,0.0413836057526156,0.0413198780931682,0.0404044444619679,0.448901226280087,0.0513084047589547,0.0892091619704355,0.0421449108671456,0.0419759692189716,0.127972033008843
"DSNY_002-M-9-4-20140910",0.07536355741777,0.0416453244560693,0.0425035244397719,0.0392880566739739,0.449432385854955,0.0529583343859328,0.0861099491336837,0.0413074187147721,0.0425843570284893,0.128807091894582
"DSNY_003-M-1-7-20140813",0.0752973671991764,0.0423718002674925,0.0390837443398194,0.0380726140745501,0.45262117202277,0.0544584152519915,0.0875059228185876,0.0408975108059224,0.042998525363712,0.126692927855978
"DSNY_003-M-3-26-20140813",0.0755108616379297,0.0398219994086737,0.0347760911952011,0.0471821087137121,0.444711991826272,0.0464860358491865,0.10105647656704,0.0444622760714467,0.0442265027734362,0.121765655957102
"DSNY_003-M-33-0-20140813",0.075235009400395,0.0392778034684138,0.0333264851101056,0.0484703560960527,0.445074883023413,0.0446686888310287,0.101701649518351,0.0439501082967262,0.0460169859170973,0.122278030338417
"DSNY_004-M-21-38-20140813",0.0838381892117328,0.0441431783638037,0.045708176744348,0.0550990412694288,0.399972580491401,0.0497393129914921,0.103151030477151,0.0500656777285291,0.0403258100258554,0.127957002696259
"DSNY_009-M-2-0-20140813",0.0766945582454371,0.0439096648125449,0.0465144756181611,0.0366104938968542,0.441815212458044,0.0582968630194908,0.0827865753545029,0.0411712988250023,0.0404105786080631,0.131790279161899
"DSNY_009-M-26-3-20140701",0.0765488041921877,0.0433648588598497,0.0453596009147168,0.0374915820503779,0.443054719729896,0.0568546640432531,0.083709628170306,0.0410826390045207,0.0409912978729125,0.13154220516198
"DSNY_009-M-29-2-20140701",0.0769429313475152,0.0435554898327142,0.0455387161931246,0.0375516246944416,0.44216754413399,0.0570401911547648,0.0835521232643087,0.0414612111760301,0.0409814941069035,0.131208674096207
"DSNY_009-M-33-11-20140910",0.0766734262972991,0.0434232600529508,0.0452523698281175,0.0375739303578351,0.442832690335344,0.056957589683719,0.0839364775708886,0.0412506018819801,0.0410200314203311,0.131079622571535
"DSNY_009-M-39-30-20140813",0.0767213726265101,0.0431802670449603,0.0448385699407794,0.0381043626280006,0.443000697250198,0.0560924450575804,0.0846461687786814,0.0414114279490413,0.0412573140127347,0.130747374711514
"DSNY_009-M-8-11-20140813",0.0746765300505101,0.0425905444700419,0.0444217429138763,0.0360471671312706,0.451629429223977,0.0559471964912904,0.0835286122739243,0.0407280112712865,0.0403953620876064,0.130035404086216
"DSNY_016-M-0-30-20140910",0.0656901499260317,0.0390971057434265,0.0391154600625601,0.0251304176469844,0.500086075554013,0.0585042537650496,0.0679651232172718,0.0322705508846634,0.0430734210638629,0.129067442136137
"DSNY_016-M-16-7-20140910",0.06562346550191,0.0390805545189582,0.0387922774843214,0.024962079399909,0.501778981010434,0.0583209523969585,0.0677103018483581,0.0322208737087579,0.0431254909917612,0.128385023138632
"DSNY_016-M-23-38-20140910",0.0657371875544391,0.0392177099521275,0.0390951001791402,0.0249078082202781,0.501349555808341,0.0582362748441588,0.0676265438158148,0.0324016598305759,0.0429939857413179,0.128434174053806
"DSNY_016-M-35-24-20140701",0.0656728685993699,0.0391718384256206,0.0393209507607443,0.0250131885773979,0.50076713092361,0.0584133099057082,0.0676375470958313,0.0323157341954454,0.0433375239576413,0.128349907558631
"DSNY_016-M-5-26-20140701",0.0655540876191135,0.0390885423289836,0.0386286402120193,0.0249816931634454,0.501524465747894,0.058298266594419,0.0677285191518189,0.0322553883441668,0.0434419959411336,0.128498400897006
