"","mean.other","mean.Saprotroph","mean.Ectomycorrhizal","mean.Wood_Saprotroph","mean.Animal_Pathogen","mean.Plant_Pathogen"
"HARV_021",0.148323748871791,0.304421348406007,0.424108789738756,0.0695939495012617,0.0263893486695993,0.0271628148125848
"HARV_033",0.17865225706785,0.405539686988009,0.244433592037139,0.0985711627376879,0.0319977157237597,0.0408055854455534
"HARV_034",0.150298822629464,0.317476193960054,0.398642702624221,0.0777484066940788,0.0268514500350075,0.0289824240571745
"HARV_035",0.14979568968841,0.317007044892675,0.398928145175337,0.0784757632312277,0.0268042287561781,0.0289891282561723
"JERC_001",0.0845291701388681,0.144079256695876,0.691580400668994,0.0451153559907965,0.0171410321064011,0.0175547843990649
"JERC_002",0.077646741146953,0.130599256364242,0.723752472299441,0.0382475271776175,0.015152960844944,0.0146010421668024
"JERC_003",0.0836317405267325,0.142414417323338,0.695618086386102,0.0441661411198375,0.0169970037670813,0.0171726108769085
"JERC_005",0.0782204258369175,0.131864557978471,0.720392800465417,0.0390132752046681,0.0154590385180862,0.0150499019964405
"JERC_006",0.0803335812101506,0.135494829440675,0.712171694941995,0.0405533330948267,0.015843767669604,0.0156027936427479
"JERC_008",0.0795436216383219,0.134929050419565,0.713414866528364,0.040641310457659,0.0158256723077738,0.0156454786483156
"JERC_047",0.084462897341982,0.146569438084345,0.690044967439197,0.044520196969512,0.0168885013043591,0.0175139988606051
"JERC_048",0.0812605010399282,0.138393160165686,0.706016450777884,0.0418593951339949,0.0161077478009404,0.0163627450815658
"JERC_049",0.0832451179920683,0.142869173302309,0.698275563241477,0.0425532831205897,0.0163188364267129,0.0167380259168435
"ORNL_001",0.155161248803499,0.457488700513527,0.21155114963038,0.0978510897220191,0.0300343901449447,0.0479134211856307
"ORNL_003",0.150144405202009,0.428146755775611,0.254831728701614,0.0935849957774022,0.0291920274831749,0.0441000870601895
"ORNL_021",0.164636744353925,0.56805570486812,0.0537256943361144,0.112468500661563,0.0303217840784178,0.0707915717018603
"ORNL_029",0.158060775725709,0.487681545118813,0.16525163228269,0.104843905439637,0.0300883837479225,0.0540737576852289
"ORNL_031",0.156583217085099,0.599606961321976,0.0223621732718054,0.112696049847272,0.0282224881389905,0.0805291103348568
"ORNL_037",0.141952501095611,0.392829097611431,0.313137225776625,0.0851928545666126,0.0272480348163934,0.0396402861333277
"ORNL_043",0.151573572543813,0.434713590215064,0.246966996268664,0.0936999321295362,0.0289740518975201,0.0440718569454028
"OSBS_001",0.101709460433094,0.307621234184005,0.47915480219849,0.0666042489116802,0.0197484717483859,0.0251617825243444
"OSBS_002",0.0737160275191453,0.232307390779848,0.607739611794398,0.0515087734197034,0.0152515835420504,0.0194766129448547
"OSBS_003",0.125150655465932,0.423710779945521,0.309319265619711,0.0830548534444546,0.0229952582285564,0.035769187295824
"OSBS_022",0.106612265883076,0.327199319481264,0.438919465907595,0.0760201574741967,0.0216921572993776,0.029556633954491
"SCBI_002",0.159702562602959,0.568280329701504,0.0411548782538872,0.109658097865203,0.0341741772522788,0.0870299543241686
"SCBI_003",0.154712275397984,0.465997134574599,0.186611172793969,0.0981609250592366,0.0344813157188818,0.0600371764553295
"SCBI_006",0.158706265831224,0.56824826600581,0.0405965700275656,0.110385299136215,0.0342285786638278,0.0878350203353584
"SCBI_012",0.157677679074736,0.567924002562637,0.0424367481412359,0.109984788008032,0.0342109981341513,0.0877657840792078
"SCBI_033",0.160159317997537,0.569259139865444,0.0387982237371752,0.11006791588052,0.0342006446977508,0.0875147578215725
"SCBI_045",0.161306601847239,0.57284057865806,0.034924744988634,0.109576012509491,0.033833382897705,0.0875186790988706
"STER_005",0.211612078970382,0.457904166460888,0.0942165565446269,0.112407407620718,0.0348016980764637,0.0890580923269204
"STER_006",0.224322176129932,0.470093317543543,0.0671638337072191,0.113425716296616,0.0350479045681855,0.089947051754504
"STER_007",0.217358917427387,0.462133006286796,0.0844947183223849,0.112397423263767,0.0347489951155639,0.088866939584101
"STER_018",0.210169060795872,0.457430744512397,0.0969181324534315,0.11222492934953,0.0346724679762378,0.0885846649125314
"STER_026",0.22322551278375,0.469635530379111,0.0714201314055469,0.112353302618064,0.0346809659443252,0.0886845568692028
"STER_027",0.212185675944163,0.458803597831438,0.0931940029136899,0.112237437962374,0.034693354881448,0.0888859304668872
"STER_028",0.208291823498469,0.454626491222394,0.0999938984968624,0.112672562241439,0.0346692927653062,0.0897459317755288
"STER_029",0.219193720030739,0.465241870516439,0.0780863216034595,0.112801043472083,0.0349123310340092,0.0897647133432708
"STER_031",0.223523060785604,0.469577893727567,0.0674712964921992,0.11393508001792,0.0350836477713194,0.0904090212053901
"STER_033",0.209327355944568,0.455644298946352,0.0986182013291296,0.112356170469819,0.034775980006677,0.0892779933034534
