"sampleID";"pC";"cn";"pH";"NPP";"map";"mat";"forest";"conifer";"relEM";"P";"K";"Ca";"Mg"
"DSNY_001-M-17-9-20140701";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_001-M-22-32-20140909";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_001-M-29-37-20140701";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_001-M-7-0-20140909";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_001-M-7-5-20140813";0.86;24.4;4.91;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_001-M-9-11-20140701";1.08690853915186;24.1350623353387;4.81614353003406;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.46943402849638;0.704633125048793;0.505996027929079;-0.137183119869777
"DSNY_002-M-10-34-20140910";1.72044623569504;25.730383591628;4.50862412936845;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_002-M-11-0-20140813";1.72044623569504;25.730383591628;4.50862412936845;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_002-M-25-6-20140910";1.72044623569504;25.730383591628;4.50862412936845;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_002-M-30-5-20140813";2.87;26.6;4.44;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_002-M-9-4-20140910";1.72044623569504;25.730383591628;4.50862412936845;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.41336751563213;0.702709789751512;0.301876045273155;-0.137183119869777
"DSNY_003-M-1-7-20140813";2.54;26.4;4.66;0.856000006198883;1218;22.1041667064031;0;1;6.24098299474368;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_003-M-3-26-20140813";3.46;32.5;4.56;0.856000006198883;1218;22.1041667064031;0;1;6.24098299474368;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_003-M-33-0-20140813";2;33.5;4.64;0.856000006198883;1218;22.1041667064031;0;1;6.24098299474368;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_004-M-21-38-20140813";2.91;30.1;4.04;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.55846730950286;0.704633125048793;-0.618942708679221;0.230793665424818
"DSNY_009-M-2-0-20140813";2.5;22.6;4.41;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_009-M-26-3-20140701";2.04483590599061;23.3601687443409;4.43335657860693;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_009-M-29-2-20140701";2.04483590599061;23.3601687443409;4.43335657860693;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_009-M-33-11-20140910";2.04483590599061;23.3601687443409;4.43335657860693;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_009-M-39-30-20140813";2.13;23.9;4.43;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_009-M-8-11-20140813";3.67;23.5;4.43;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.48531980928869;0.704633125048793;0.602906040937136;-0.313274378925458
"DSNY_016-M-0-30-20140910";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_016-M-16-7-20140910";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_016-M-23-38-20140910";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_016-M-35-24-20140701";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_016-M-5-26-20140701";0.998891074514264;18.9522003544129;4.99612427879212;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
"DSNY_016-M-6-12-20140813";0.27;14.6;5.15;0.856000006198883;1218;22.1041667064031;0;1;6.39622413062165;1.57808075014064;0.715383238055167;0.37206394884123;-0.24234401818645
