"","other","Mortierellomycota","Basidiomycota","Mucoromycota","Ascomycota"
"SRR1502565",0.00298507462686567,0.0159203980099502,0.792039800995025,0.00099502487562189,0.188059701492537
"SRR1502566",0.00796019900497512,0.0606965174129353,0.791044776119403,0.0119402985074627,0.128358208955224
"SRR1502567",0.00099502487562189,0.00099502487562189,0.819900497512438,0.0497512437810945,0.128358208955224
"SRR1502568",0.00895522388059702,0.0427860696517413,0.698507462686567,0.00099502487562189,0.248756218905473
"SRR1502569",0.0129353233830846,0.072636815920398,0.641791044776119,0.00099502487562189,0.271641791044776
"SRR1502570",0.0218905472636816,0.0786069651741294,0.719402985074627,0.0258706467661692,0.154228855721393
"SRR1502571",0.0348258706467662,0.0865671641791045,0.413930348258706,0.0527363184079602,0.411940298507463
"SRR1502572",0.0169154228855721,0.0835820895522388,0.425870646766169,0.0527363184079602,0.42089552238806
"SRR1502573",0.00696517412935323,0.597014925373134,0.0606965174129353,0.0139303482587065,0.321393034825871
"SRR1502574",0.0567164179104478,0.11044776119403,0.21592039800995,0.159203980099502,0.45771144278607
"SRR1502575",0.0119402985074627,0.0378109452736318,0.337313432835821,0.265671641791045,0.34726368159204
"SRR1502576",0.0208955223880597,0.0417910447761194,0.234825870646766,0.309452736318408,0.393034825870647
"SRR1502577",0.0169154228855721,0.0676616915422886,0.541293532338308,0.160199004975124,0.213930348258706
"SRR1502578",0.00696517412935323,0.0527363184079602,0.372139303482587,0.355223880597015,0.212935323383085
"SRR1502581",0.25273631840796,0.0328358208955224,0.613930348258707,0.0228855721393035,0.0776119402985075
"SRR1502587",0.00099502487562189,0.0258706467661692,0.764179104477612,0.0537313432835821,0.155223880597015
"SRR1502588",0.0398009950248756,0.017910447761194,0.346268656716418,0.0388059701492537,0.557213930348259
"SRR1502589",0.00199004975124378,0.14726368159204,0.702487562189055,0.0746268656716418,0.0736318407960199
"SRR1502590",0.0109452736318408,0.117412935323383,0.735323383084577,0.0318407960199005,0.104477611940299
"SRR1502596",0.00298507462686567,0.67363184079602,0.186069651741294,0.0328358208955224,0.104477611940299
"SRR1502597",0.0407960199004975,0.156218905472637,0.458706467661692,0.174129353233831,0.170149253731343
"SRR1502617",0.00696517412935323,0.0835820895522388,0.589054726368159,0.0378109452736318,0.282587064676617
"SRR1502618",0.0109452736318408,0.229850746268657,0.557213930348259,0.0218905472636816,0.180099502487562
"SRR1502619",0.0208955223880597,0.500497512437811,0.324378109452736,0.00796019900497512,0.146268656716418
"SRR1502626",0.00597014925373134,0.166169154228856,0.443781094527363,0.159203980099502,0.224875621890547
